
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	11,	0.00,	0.00,	25.70,	0.00,	0,	24.27,	3.40,	35
0.00,	-9,	0.00,	0.00,	20.99,	0.00,	0,	24.63,	2.78,	35
0.00,	-4,	71.20,	0.00,	26.85,	0.00,	0,	23.26,	3.55,	35
0.00,	-8,	-0.40,	0.00,	27.12,	0.00,	0,	24.51,	3.49,	36
0.00,	-10,	-4.00,	0.00,	29.81,	0.00,	0,	25.51,	3.63,	38
0.00,	-6,	-7.40,	0.00,	30.70,	0.00,	0,	25.64,	3.74,	38
0.00,	-6,	-6.80,	0.00,	30.19,	0.00,	0,	26.74,	3.68,	38
0.00,	-8,	-7.60,	0.00,	30.06,	0.00,	0,	25.50,	3.66,	38
0.00,	-9,	-7.80,	0.00,	29.68,	0.00,	0,	24.75,	3.62,	38
0.00,	-5,	-6.80,	0.00,	30.17,	0.00,	0,	24.97,	3.68,	38
0.00,	-11,	-7.80,	0.00,	28.20,	0.00,	0,	25.51,	3.44,	38
0.00,	-5,	-7.60,	0.00,	30.56,	0.00,	0,	24.75,	3.82,	37
0.00,	-9,	-7.80,	0.00,	27.25,	0.00,	0,	25.77,	3.41,	37
0.00,	-10,	-8.00,	0.00,	23.70,	0.00,	0,	23.70,	2.97,	37
0.00,	-5,	-8.00,	0.00,	28.52,	0.00,	0,	24.88,	3.57,	37
0.00,	-7,	-7.20,	0.00,	18.57,	0.00,	0,	24.51,	2.32,	37
0.00,	-2,	-6.60,	0.00,	28.58,	0.00,	0,	24.60,	3.58,	37
0.00,	-8,	-6.40,	0.00,	28.63,	0.00,	0,	23.90,	3.58,	37
0.00,	-11,	-6.60,	0.00,	29.47,	0.00,	0,	24.07,	3.69,	37
0.00,	-11,	-7.80,	0.00,	30.71,	0.00,	0,	26.04,	3.74,	38
0.00,	-7,	-7.80,	0.00,	24.07,	0.00,	0,	25.13,	3.01,	37
0.00,	-9,	-9.20,	0.00,	29.62,	0.00,	0,	24.39,	3.71,	37
0.00,	-11,	-9.80,	0.00,	29.32,	0.00,	0,	26.32,	3.57,	38
0.00,	-6,	-8.80,	0.00,	24.33,	0.00,	0,	26.01,	3.04,	37
0.00,	-12,	-9.00,	0.00,	28.04,	0.00,	0,	25.39,	3.51,	37
0.00,	-13,	-10.20,	0.00,	21.23,	0.00,	0,	25.00,	2.73,	36
0.00,	-12,	-10.80,	0.00,	27.36,	0.00,	0,	24.98,	3.52,	36
0.00,	-9,	-10.40,	0.00,	22.07,	0.00,	0,	25.13,	2.84,	36
0.00,	-11,	-11.40,	0.00,	27.45,	0.00,	0,	24.64,	3.53,	36
0.00,	-11,	-11.20,	0.00,	27.53,	0.00,	0,	25.13,	3.54,	36
0.00,	-6,	-9.80,	0.00,	26.83,	0.00,	0,	25.25,	3.45,	36
0.00,	-7,	-8.80,	0.00,	27.67,	0.00,	0,	25.13,	3.56,	36
0.00,	-7,	-8.40,	0.00,	26.33,	0.00,	0,	25.00,	3.39,	36
0.00,	343,	62.40,	0.00,	26.25,	0.00,	0,	24.88,	3.38,	36
0.00,	7,	66.00,	0.00,	22.75,	0.00,	0,	24.63,	2.93,	36
0.00,	6,	68.40,	0.00,	12.45,	0.00,	0,	25.51,	1.56,	37
0.00,	-9,	68.00,	0.00,	27.91,	0.00,	0,	25.38,	3.49,	37
0.00,	-13,	66.80,	0.00,	23.14,	0.00,	0,	23.98,	2.98,	36
0.00,	-8,	-3.40,	0.00,	27.31,	0.00,	0,	23.04,	3.51,	36
0.00,	-9,	-6.60,	0.00,	22.49,	0.00,	0,	25.00,	2.81,	37
0.00,	-9,	-9.60,	0.00,	26.95,	0.00,	0,	24.27,	3.47,	36
0.00,	-9,	-9.60,	0.00,	21.31,	0.00,	0,	24.15,	2.74,	36
0.00,	-6,	-8.20,	0.00,	27.12,	0.00,	0,	24.39,	3.49,	36
0.00,	-9,	-8.40,	0.00,	25.79,	0.00,	0,	24.63,	3.32,	36
0.00,	-10,	-8.60,	0.00,	26.95,	0.00,	0,	24.80,	3.47,	36
0.00,	-6,	-8.00,	0.00,	26.94,	0.00,	0,	24.39,	3.46,	36
0.00,	-13,	-8.80,	0.00,	17.73,	0.00,	0,	25.38,	2.28,	36
0.00,	-6,	-8.80,	0.00,	27.08,	0.00,	0,	23.79,	3.48,	36
0.00,	-9,	-8.80,	0.00,	28.15,	0.00,	0,	25.25,	3.52,	37
0.00,	-10,	-8.80,	0.00,	30.98,	0.00,	0,	25.25,	3.98,	36
0.00,	-5,	-8.60,	0.00,	25.81,	0.00,	0,	25.25,	3.41,	35
0.00,	-11,	-8.20,	0.00,	25.69,	0.00,	0,	25.25,	3.30,	36
0.00,	-8,	-8.60,	0.00,	27.50,	0.00,	0,	24.76,	3.54,	36
0.00,	-12,	-9.20,	0.00,	28.74,	0.00,	0,	26.04,	3.60,	37
0.00,	-9,	-9.00,	0.00,	23.37,	0.00,	0,	25.91,	2.92,	37
0.00,	-6,	-9.20,	0.00,	26.21,	0.00,	0,	24.90,	3.37,	36
0.00,	-10,	-9.00,	0.00,	24.47,	0.00,	0,	25.91,	3.06,	37
0.00,	-8,	-9.00,	0.00,	27.92,	0.00,	0,	26.88,	3.49,	37
0.00,	-9,	-8.40,	0.00,	27.57,	0.00,	0,	25.90,	3.45,	37
0.00,	-8,	-8.20,	0.00,	27.22,	0.00,	0,	25.77,	3.50,	36
0.00,	-11,	-9.20,	0.00,	28.28,	0.00,	0,	25.65,	3.54,	37
0.00,	-8,	-8.80,	0.00,	28.38,	0.00,	0,	26.04,	3.65,	36
0.00,	-7,	-8.60,	0.00,	28.58,	0.00,	0,	25.64,	3.58,	37
0.00,	-10,	-8.80,	0.00,	100.09,	0.00,	0,	25.25,	12.52,	37
0.00,	-4,	-8.00,	0.00,	27.34,	0.00,	0,	24.04,	3.52,	36
0.00,	-8,	-7.40,	0.00,	27.84,	0.00,	0,	25.38,	3.48,	37
0.00,	-12,	-8.20,	0.00,	27.57,	0.00,	0,	25.91,	3.45,	37
0.00,	-8,	-8.40,	0.00,	26.86,	0.00,	0,	25.64,	3.45,	36
0.00,	-9,	-8.20,	0.00,	20.56,	0.00,	0,	24.63,	2.64,	36
0.00,	-6,	-8.60,	0.00,	26.83,	0.00,	0,	24.51,	3.45,	36
0.00,	-7,	-8.40,	0.00,	17.11,	0.00,	0,	24.63,	2.20,	36
0.00,	-10,	-8.00,	0.00,	26.59,	0.00,	0,	25.13,	3.42,	36
