
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

-15,	310,	0,	43,	235.626
-15,	310,	0,	43,	235.626
-15.8,	311,	0,	43,	235.631
-16.1,	311,	0,	43,	235.636
-15.2,	312,	0,	43,	235.641
-15.1,	313,	0,	43,	235.646
-14.8,	313,	0,	43,	235.651
-3.5,	336,	0,	44,	235.837
-3.5,	336,	0,	44,	235.837
-3,	337,	0,	44,	235.842
-1,	338,	0,	44,	235.848
0.4,	338,	0,	44,	235.853
2.2,	339,	0,	44,	235.858
3.5,	339,	0,	44,	235.863
21.1,	359,	0,	45,	236.018
21.1,	359,	0,	45,	236.018
21.4,	359,	0,	45,	236.023
21.9,	0,	0,	45,	236.029
22.7,	0,	0,	45,	236.034
22.7,	1,	0,	45,	236.039
23.2,	2,	0,	45,	236.044
43.5,	33,	0,	46,	236.29
43.5,	33,	0,	46,	236.29
43.4,	33,	0,	46,	236.295
43.5,	34,	0,	46,	236.3
43.6,	35,	0,	46,	236.305
43.5,	35,	0,	46,	236.31
44.4,	36,	0,	46,	236.315
36.7,	65,	0,	47,	236.532
36.7,	65,	0,	47,	236.532
36.6,	65,	0,	47,	236.537
36.7,	66,	0,	47,	236.542
36,	67,	0,	47,	236.547
35.5,	67,	0,	47,	236.552
34.9,	68,	0,	47,	236.557
30,	92,	0,	48,	236.743
30,	92,	0,	48,	236.743
30,	93,	0,	48,	236.748
29.7,	94,	0,	48,	236.753
28.6,	94,	0,	48,	236.758
27,	95,	0,	48,	236.763
26.3,	96,	0,	48,	236.768
9.2,	124,	0,	49,	236.984
9.2,	124,	0,	49,	236.984
9,	125,	0,	49,	236.99
8,	126,	0,	49,	236.994
7.8,	126,	0,	49,	237
7.6,	127,	0,	49,	237.005
8.9,	128,	0,	49,	237.01
-12,	156,	0,	50,	237.226
-12,	156,	0,	50,	237.226
-11.9,	157,	0,	50,	237.231
-11.9,	157,	0,	50,	237.236
-12.4,	158,	0,	50,	237.241
-13.3,	159,	0,	50,	237.246
