
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-37.6,	253,	0,	233,	182.74
-37.6,	253,	0,	233,	182.74
-36.7,	254,	0,	233,	182.745
-35.2,	255,	0,	233,	182.75
-34.5,	255,	0,	233,	182.755
-33.6,	256,	0,	233,	182.76
-32.7,	257,	0,	233,	182.765
-32.6,	258,	0,	234,	182.77
-32.6,	258,	0,	234,	182.77
-31.9,	258,	0,	234,	182.775
-31.5,	259,	0,	234,	182.78
-31.5,	260,	0,	234,	182.785
-30.9,	261,	0,	234,	182.79
-30.4,	261,	0,	234,	182.795
-29.7,	262,	0,	235,	182.8
-29.7,	262,	0,	235,	182.8
-29.6,	263,	0,	235,	182.805
-29.7,	264,	0,	235,	182.81
-31,	264,	0,	235,	182.814
-31.8,	265,	0,	235,	182.819
-31.8,	266,	0,	235,	182.824
-32.7,	266,	0,	236,	182.829
-32.7,	266,	0,	236,	182.829
-32.5,	267,	0,	236,	182.834
-32.8,	268,	0,	236,	182.839
-32.6,	269,	0,	236,	182.844
-32.5,	269,	0,	236,	182.849
-31.9,	270,	0,	236,	182.854
-31.4,	271,	0,	237,	182.859
-31.4,	271,	0,	237,	182.859
-30.9,	272,	0,	237,	182.866
-31.7,	272,	0,	237,	182.869
-31.6,	273,	0,	237,	182.874
-31.8,	274,	0,	237,	182.879
-31.3,	275,	0,	237,	182.884
-30.5,	276,	0,	238,	182.889
-30.5,	276,	0,	238,	182.889
-31.1,	276,	0,	238,	182.894
-30.9,	277,	0,	238,	182.899
-30.5,	277,	0,	238,	182.904
-30.4,	278,	0,	238,	182.909
-30.2,	279,	0,	238,	182.914
-29.1,	280,	0,	239,	182.919
-29.1,	280,	0,	239,	182.919
-28.7,	280,	0,	239,	182.924
-28.3,	281,	0,	239,	182.929
-29,	282,	0,	239,	182.934
-29.1,	282,	0,	239,	182.939
-29.3,	283,	0,	239,	182.944
-30.1,	284,	0,	240,	182.949
-30.1,	284,	0,	240,	182.949
-30.2,	285,	0,	240,	182.955
-30.2,	285,	0,	240,	182.959
-30.4,	286,	0,	240,	182.964
-29.6,	287,	0,	240,	182.969
-29.2,	288,	0,	240,	182.974
-29.3,	288,	0,	241,	182.979
-29.3,	288,	0,	241,	182.979
-29.7,	288,	0,	241,	182.984
-30.1,	289,	0,	241,	182.989
-30.1,	290,	0,	241,	182.993
-29.6,	291,	0,	241,	182.998
-29.1,	291,	0,	241,	183.003
-28.8,	292,	0,	242,	183.008
-28.8,	292,	0,	242,	183.008
-28.8,	293,	0,	242,	183.014
-29,	293,	0,	242,	183.018
-28.8,	294,	0,	242,	183.023
-29,	295,	0,	242,	183.028
-29.6,	296,	0,	242,	183.033
-29.7,	296,	0,	243,	183.038
-29.7,	296,	0,	243,	183.038
-29.5,	297,	0,	243,	183.043
-29.5,	298,	0,	243,	183.048
-29.5,	299,	0,	243,	183.053
-28.8,	299,	0,	243,	183.058
-28.8,	300,	0,	243,	183.063
-28.7,	301,	0,	244,	183.068
-28.7,	301,	0,	244,	183.068
-28.7,	301,	0,	244,	183.073
-28.2,	302,	0,	244,	183.078
-27.9,	303,	0,	244,	183.083
-26.7,	304,	0,	244,	183.088
-26,	304,	0,	244,	183.093
-25.6,	305,	0,	245,	183.098
-25.6,	305,	0,	245,	183.098
-25.1,	306,	0,	245,	183.103
-24.5,	306,	0,	245,	183.108
-23.9,	307,	0,	245,	183.113
-23.9,	308,	0,	245,	183.118
-23.8,	309,	0,	245,	183.123
-23.8,	309,	0,	246,	183.128
