
Right power from force,Vector size

-1.9474,	76
-1.5000,	76
-3.5789,	76
0.8406,	69
-1.2632,	76
1.1944,	72
1.3151,	73
0.0658,	76
1.4079,	76
1.0000,	76
-1.0000,	55
1.1452,	62
1.9516,	62
-0.0435,	69
0.4737,	76
0.3816,	76
-0.9277,	83
0.4737,	76
-1.9342,	76
-1.1316,	76
1.1446,	83
-1.9079,	76
-0.4474,	76
0.6711,	76
0.5263,	76
1.3158,	76
-0.2742,	62
2.9355,	62
0.4677,	62
0.3871,	62
1.2532,	79
-0.4795,	73
1.1974,	76
0.2368,	76
0.3553,	76
0.5526,	76
0.2105,	76
0.4521,	73
-0.3611,	72
1.2632,	76
-1.2763,	76
1.8421,	76
1.8261,	69
-0.7097,	62
2.7581,	62
-6.1273,	55
-3.3188,	69
-0.7105,	76
-1.2895,	76
0.2895,	76
-3.3684,	76
0.7895,	76
-0.2500,	76
1.6184,	76
-2.4474,	76
1.3038,	79
-1.0685,	73
-0.6316,	76
1.5132,	76
0.2419,	62
1.5645,	62
-1.7258,	62
-0.0968,	62
0.0526,	76
-2.7895,	76
1.3684,	76
-2.3026,	76
1.4342,	76
0.3494,	83
3.3188,	69
1.3684,	76
0.3684,	76
1.1711,	76
0.5395,	76
-0.3684,	76
0.4348,	69
1.8657,	67
-1.2969,	64
-5.9636,	55
