
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-6,	0.20,	0.00,	28.37,	0.00,	0,	24.29,	3.65,	36
0.00,	-7,	-4.60,	0.00,	17.15,	0.00,	0,	24.75,	2.21,	36
0.00,	-8,	-5.60,	0.00,	27.46,	0.00,	0,	24.39,	3.63,	35
0.00,	-1,	-5.00,	0.00,	27.23,	0.00,	0,	23.26,	3.60,	35
0.00,	-6,	-5.60,	0.00,	18.02,	0.00,	0,	25.51,	2.32,	36
0.00,	-6,	-5.60,	0.00,	28.16,	0.00,	0,	25.53,	3.62,	36
0.00,	-5,	-5.20,	0.00,	22.60,	0.00,	0,	25.77,	2.91,	36
0.00,	-6,	-4.80,	0.00,	27.76,	0.00,	0,	25.91,	3.57,	36
0.00,	-6,	-5.80,	0.00,	27.32,	0.00,	0,	25.38,	3.51,	36
0.00,	-5,	-5.60,	0.00,	27.37,	0.00,	0,	25.64,	3.52,	36
0.00,	-1,	-4.60,	0.00,	27.67,	0.00,	0,	25.64,	3.56,	36
0.00,	-8,	-5.20,	0.00,	22.32,	0.00,	0,	25.91,	2.87,	36
0.00,	-4,	-4.80,	0.00,	27.99,	0.00,	0,	25.51,	3.60,	36
0.00,	-6,	-4.80,	0.00,	23.23,	0.00,	0,	25.38,	2.99,	36
0.00,	-3,	-4.40,	0.00,	27.48,	0.00,	0,	24.88,	3.53,	36
0.00,	-4,	-5.00,	0.00,	27.53,	0.00,	0,	25.51,	3.54,	36
0.00,	-7,	-4.80,	0.00,	27.65,	0.00,	0,	25.64,	3.56,	36
0.00,	0,	-4.00,	0.00,	27.25,	0.00,	0,	25.38,	3.50,	36
0.00,	-6,	-4.00,	0.00,	12.97,	0.00,	0,	25.64,	1.67,	36
0.00,	-5,	-4.40,	0.00,	26.19,	0.00,	0,	25.74,	3.37,	36
0.00,	-4,	-4.40,	0.00,	22.16,	0.00,	0,	25.77,	2.85,	36
0.00,	-7,	-4.40,	0.00,	27.71,	0.00,	0,	25.13,	3.56,	36
0.00,	-2,	-4.80,	0.00,	28.07,	0.00,	0,	26.95,	3.51,	37
0.00,	-6,	-4.80,	0.00,	27.25,	0.00,	0,	26.04,	3.50,	36
0.00,	-4,	-4.60,	0.00,	27.36,	0.00,	0,	25.64,	3.52,	36
0.00,	-6,	-5.00,	0.00,	27.78,	0.00,	0,	24.76,	3.57,	36
0.00,	-4,	-4.40,	0.00,	28.20,	0.00,	0,	25.51,	3.63,	36
0.00,	-6,	-5.20,	0.00,	24.76,	0.00,	0,	25.64,	3.10,	37
0.00,	-4,	-4.80,	0.00,	27.99,	0.00,	0,	26.20,	3.60,	36
0.00,	-5,	-5.00,	0.00,	27.99,	0.00,	0,	25.73,	3.60,	36
0.00,	-5,	-4.80,	0.00,	27.36,	0.00,	0,	26.04,	3.52,	36
0.00,	-5,	-5.00,	0.00,	28.26,	0.00,	0,	26.04,	3.54,	37
0.00,	-6,	-5.00,	0.00,	22.67,	0.00,	0,	26.46,	2.92,	36
0.00,	-6,	-5.40,	0.00,	28.18,	0.00,	0,	25.64,	3.62,	36
0.00,	-8,	-6.00,	0.00,	22.80,	0.00,	0,	25.33,	2.93,	36
0.00,	-6,	-6.20,	0.00,	27.92,	0.00,	0,	25.53,	3.59,	36
0.00,	-5,	-6.20,	0.00,	28.34,	0.00,	0,	25.77,	3.64,	36
0.00,	-7,	-6.40,	0.00,	25.24,	0.00,	0,	25.00,	3.25,	36
0.00,	-5,	-6.20,	0.00,	28.12,	0.00,	0,	25.64,	3.62,	36
0.00,	-3,	-5.20,	0.00,	27.82,	0.00,	0,	25.38,	3.58,	36
0.00,	-10,	-6.00,	0.00,	28.54,	0.00,	0,	25.77,	3.67,	36
0.00,	-5,	-6.00,	0.00,	19.25,	0.00,	0,	25.32,	2.48,	36
0.00,	-6,	-5.80,	0.00,	27.05,	0.00,	0,	24.75,	3.58,	35
0.00,	-5,	-5.80,	0.00,	26.88,	0.00,	0,	24.88,	3.56,	35
0.00,	-7,	-6.60,	0.00,	28.66,	0.00,	0,	25.45,	3.69,	36
0.00,	-4,	-5.40,	0.00,	28.43,	0.00,	0,	25.51,	3.66,	36
0.00,	-3,	-5.00,	0.00,	27.82,	0.00,	0,	25.51,	3.58,	36
0.00,	-7,	-5.20,	0.00,	30.03,	0.00,	0,	26.46,	3.76,	37
0.00,	-8,	-5.80,	0.00,	21.83,	0.00,	0,	26.88,	2.73,	37
0.00,	-6,	-5.60,	0.00,	27.98,	0.00,	0,	26.46,	3.60,	36
0.00,	-6,	-6.00,	0.00,	21.97,	0.00,	0,	25.25,	2.83,	36
0.00,	-7,	-6.80,	0.00,	27.84,	0.00,	0,	25.91,	3.58,	36
0.00,	-7,	-6.80,	0.00,	28.90,	0.00,	0,	25.51,	3.72,	36
0.00,	-4,	-6.00,	0.00,	24.11,	0.00,	0,	26.04,	3.10,	36
0.00,	-4,	-5.60,	0.00,	29.99,	0.00,	0,	26.74,	3.75,	37
0.00,	-5,	-5.40,	0.00,	28.15,	0.00,	0,	26.60,	3.52,	37
0.00,	-4,	-4.80,	0.00,	28.21,	0.00,	0,	26.32,	3.63,	36
