
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-29.2,	184,	0,	128,	31.1954
-29.2,	184,	0,	128,	31.1954
-31.3,	185,	0,	128,	31.2004
-32.5,	186,	0,	128,	31.2054
-34.2,	187,	0,	128,	31.2103
-34.6,	187,	0,	128,	31.2153
-35.5,	188,	0,	128,	31.2202
-49,	211,	0,	129,	31.3743
-49,	211,	0,	129,	31.3743
-48.1,	212,	0,	129,	31.3793
-48,	212,	0,	129,	31.3842
-47.7,	213,	0,	129,	31.3892
-47.6,	214,	0,	129,	31.3942
-47.6,	215,	0,	129,	31.3991
-38.6,	251,	0,	130,	31.6426
-38.6,	251,	0,	130,	31.6426
-39,	252,	0,	130,	31.6476
-37.9,	253,	0,	130,	31.6526
-37.5,	253,	0,	130,	31.6575
-37.2,	254,	0,	130,	31.6625
-36.3,	255,	0,	130,	31.6674
-24.2,	287,	0,	131,	31.8812
-24.2,	287,	0,	131,	31.8812
-23.8,	288,	0,	131,	31.8862
-24.3,	289,	0,	131,	31.8912
-24.3,	289,	0,	131,	31.8961
-24.2,	290,	0,	131,	31.9011
-23.9,	291,	0,	131,	31.9061
-18.1,	319,	0,	132,	32.09
-18.1,	319,	0,	132,	32.09
-16.8,	319,	0,	132,	32.095
-16.2,	320,	0,	132,	32.1
-16.1,	321,	0,	132,	32.1049
-15.4,	322,	0,	132,	32.1099
-14.8,	322,	0,	132,	32.1149
4.3,	345,	0,	133,	32.269
4.3,	345,	0,	133,	32.269
4.3,	346,	0,	133,	32.274
5,	346,	0,	133,	32.279
5.1,	347,	0,	133,	32.284
5.9,	348,	0,	133,	32.2889
6,	349,	0,	133,	32.2939
27.4,	16,	0,	134,	32.4778
27.4,	16,	0,	134,	32.4778
27.4,	17,	0,	134,	32.4828
27.5,	17,	0,	134,	32.4877
27.1,	18,	0,	134,	32.4927
26.8,	19,	0,	134,	32.4977
26.7,	20,	0,	134,	32.5026
34.9,	51,	0,	135,	32.7162
34.9,	51,	0,	135,	32.7162
34.9,	52,	0,	135,	32.7212
34,	53,	0,	135,	32.7262
33,	53,	0,	135,	32.7311
31,	54,	0,	135,	32.7361
31,	55,	0,	135,	32.7411
3,	92,	0,	136,	32.9845
3,	92,	0,	136,	32.9845
2.2,	93,	0,	136,	32.9895
1.8,	94,	0,	136,	32.9944
0.7,	95,	0,	136,	32.9994
0,	95,	0,	136,	33.0044
