
Right power from force,Vector size

1.3867,	406
0.4063,	347
0.8571,	532
2.1952,	538
0.8627,	539
1.2269,	551
0.5528,	559
2.9209,	556
1.0810,	531
-0.4615,	481
0.8394,	548
-1.7477,	535
2.1175,	553
-0.9982,	556
0.9660,	559
0.5523,	478
1.5068,	442
3.8759,	395
-5.3594,	448
0.6378,	555
-0.2140,	570
4.0519,	520
1.0510,	490
-5.2279,	373
0.2068,	503
-2.0611,	491
1.8390,	528
-1.6241,	564
1.8301,	559
-0.3971,	559
-0.2161,	560
4.1114,	404
0.7677,	439
2.3517,	381
2.6043,	470
-2.8607,	438
1.0726,	551
-3.2381,	462
1.8790,	372
-3.3185,	518
0.4079,	483
-3.1577,	520
-1.3369,	558
0.1879,	564
1.7299,	448
-1.0210,	428
-2.5675,	400
-0.0286,	385
-0.3450,	484
-0.2668,	416
-0.3496,	452
-3.8951,	410
-0.2748,	444
-2.1397,	501
0.6504,	492
-1.3178,	538
-1.0660,	561
-0.8000,	545
-0.9546,	551
-0.4954,	541
-0.9241,	540
1.0884,	475
0.4667,	510
-0.9604,	480
-0.1031,	485
0.2553,	474
-3.6675,	379
-2.5308,	373
-0.8104,	422
1.7700,	474
-1.5944,	503
-1.3938,	452
-0.6551,	548
-0.2117,	548
-0.5599,	534
-1.3585,	477
1.2196,	583
-0.7279,	577
1.2045,	538
0.2602,	561
1.0537,	503
1.2102,	490
-1.9918,	489
-0.3388,	369
-0.3938,	452
1.7821,	546
0.5967,	543
1.6673,	553
1.0904,	553
-0.6961,	566
1.7589,	564
-0.8089,	560
1.0681,	573
-0.2252,	564
-0.0687,	568
-0.6327,	569
-0.9460,	556
2.0232,	561
3.8299,	394
-0.1232,	487
-0.2554,	419
-4.6299,	481
0.9344,	564
0.2089,	541
0.3435,	556
-0.9271,	576
1.2575,	563
-0.5502,	518
0.0407,	565
3.1038,	501
0.3474,	567
0.2491,	574
