
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-6,	-146.60,	0.00,	26.42,	0.00,	0,	25.13,	3.40,	36
0.00,	-8,	-5.40,	0.00,	26.83,	0.00,	0,	24.51,	3.45,	36
0.00,	-9,	-6.60,	0.00,	17.22,	0.00,	0,	24.15,	2.21,	36
0.00,	-1,	-6.40,	0.00,	26.97,	0.00,	0,	25.25,	3.47,	36
0.00,	-8,	-6.40,	0.00,	22.64,	0.00,	0,	24.75,	2.91,	36
0.00,	-4,	-6.00,	0.00,	26.98,	0.00,	0,	25.27,	3.47,	36
0.00,	-4,	-5.20,	0.00,	26.52,	0.00,	0,	24.63,	3.41,	36
0.00,	-4,	-4.20,	0.00,	27.45,	0.00,	0,	24.75,	3.53,	36
0.00,	-5,	-5.00,	0.00,	25.61,	0.00,	0,	23.82,	3.39,	35
0.00,	-2,	-3.80,	0.00,	26.32,	0.00,	0,	25.13,	3.48,	35
0.00,	-6,	-4.20,	0.00,	27.25,	0.00,	0,	24.88,	3.50,	36
0.00,	-6,	-4.60,	0.00,	25.19,	0.00,	0,	25.77,	3.33,	35
0.00,	-4,	-4.60,	0.00,	20.47,	0.00,	0,	24.87,	2.71,	35
0.00,	-6,	-4.80,	0.00,	26.01,	0.00,	0,	25.25,	3.44,	35
0.00,	-5,	-5.40,	0.00,	21.82,	0.00,	0,	24.88,	2.89,	35
0.00,	-6,	-5.40,	0.00,	26.58,	0.00,	0,	25.00,	3.52,	35
0.00,	-6,	-5.40,	0.00,	25.76,	0.00,	0,	25.00,	3.41,	35
0.00,	-5,	-5.60,	0.00,	20.76,	0.00,	0,	24.88,	2.75,	35
0.00,	-9,	-6.20,	0.00,	26.08,	0.00,	0,	24.63,	3.45,	35
0.00,	-9,	-7.00,	0.00,	21.33,	0.00,	0,	24.78,	2.82,	35
0.00,	-3,	-6.40,	0.00,	25.70,	0.00,	0,	25.51,	3.40,	35
0.00,	-6,	-6.40,	0.00,	26.45,	0.00,	0,	26.04,	3.40,	36
0.00,	-6,	-6.60,	0.00,	26.47,	0.00,	0,	25.67,	3.40,	36
0.00,	-5,	-5.80,	0.00,	24.96,	0.00,	0,	24.53,	3.30,	35
0.00,	-8,	-5.60,	0.00,	19.32,	0.00,	0,	25.64,	2.56,	35
0.00,	-5,	-6.00,	0.00,	27.34,	0.00,	0,	25.91,	3.52,	36
0.00,	-6,	-6.00,	0.00,	21.45,	0.00,	0,	25.90,	2.76,	36
0.00,	-3,	-5.40,	0.00,	26.87,	0.00,	0,	25.51,	3.46,	36
0.00,	-4,	-5.20,	0.00,	26.19,	0.00,	0,	25.77,	3.37,	36
0.00,	-7,	-5.00,	0.00,	26.16,	0.00,	0,	25.70,	3.36,	36
0.00,	-6,	-5.20,	0.00,	26.28,	0.00,	0,	25.51,	3.38,	36
0.00,	-5,	-5.00,	0.00,	26.81,	0.00,	0,	25.51,	3.45,	36
0.00,	-4,	-5.20,	0.00,	26.45,	0.00,	0,	25.91,	3.40,	36
0.00,	-5,	-5.40,	0.00,	17.11,	0.00,	0,	25.44,	2.20,	36
0.00,	-6,	-5.20,	0.00,	26.86,	0.00,	0,	25.51,	3.45,	36
0.00,	-4,	-4.80,	0.00,	24.73,	0.00,	0,	26.18,	3.18,	36
0.00,	-6,	-5.00,	0.00,	27.34,	0.00,	0,	26.04,	3.52,	36
0.00,	-6,	-5.40,	0.00,	26.22,	0.00,	0,	24.99,	3.37,	36
0.00,	-7,	-5.80,	0.00,	27.28,	0.00,	0,	25.20,	3.51,	36
0.00,	-3,	-5.20,	0.00,	26.31,	0.00,	0,	25.26,	3.38,	36
0.00,	-7,	-5.80,	0.00,	29.25,	0.00,	0,	25.90,	3.76,	36
0.00,	-3,	-5.20,	0.00,	26.35,	0.00,	0,	25.91,	3.39,	36
0.00,	-4,	-4.80,	0.00,	26.76,	0.00,	0,	25.77,	3.44,	36
0.00,	-5,	-4.40,	0.00,	26.58,	0.00,	0,	25.64,	3.42,	36
0.00,	-2,	-4.20,	0.00,	26.31,	0.00,	0,	0.00,	3.38,	36
0.00,	-9,	-4.60,	0.00,	21.04,	0.00,	0,	25.00,	2.71,	36
0.00,	-10,	-6.00,	0.00,	26.94,	0.00,	0,	25.76,	3.46,	36
0.00,	-7,	-6.60,	0.00,	27.96,	0.00,	0,	24.75,	3.60,	36
0.00,	-7,	-7.00,	0.00,	27.59,	0.00,	0,	25.38,	3.55,	36
0.00,	-6,	-7.80,	0.00,	22.83,	0.00,	0,	25.77,	2.94,	36
0.00,	-8,	-7.60,	0.00,	26.45,	0.00,	0,	25.15,	3.40,	36
0.00,	-5,	-6.60,	0.00,	26.90,	0.00,	0,	25.91,	3.46,	36
0.00,	-5,	-6.20,	0.00,	22.22,	0.00,	0,	24.90,	2.86,	36
0.00,	-5,	-5.80,	0.00,	26.94,	0.00,	0,	26.18,	3.46,	36
0.00,	-7,	-6.00,	0.00,	24.58,	0.00,	0,	26.23,	3.08,	37
0.00,	-5,	-5.40,	0.00,	26.83,	0.00,	0,	25.55,	3.45,	36
0.00,	-6,	-5.60,	0.00,	22.85,	0.00,	0,	25.25,	2.94,	36
0.00,	-3,	-5.20,	0.00,	26.98,	0.00,	0,	25.20,	3.47,	36
