
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

-42.7,	248,	0,	69,	52.6449
-42.7,	248,	0,	69,	52.6449
-42.7,	248,	0,	69,	52.6499
-42.6,	249,	0,	69,	52.6549
-42,	250,	0,	69,	52.6599
-41.4,	251,	0,	69,	52.665
-41,	251,	0,	69,	52.67
-19.6,	289,	0,	70,	52.9164
-19.6,	289,	0,	70,	52.9164
-20,	289,	0,	70,	52.9215
-20.2,	290,	0,	70,	52.9265
-21,	291,	0,	70,	52.9315
-21,	292,	0,	70,	52.9366
-21,	292,	0,	70,	52.9416
-16.5,	324,	0,	71,	53.1579
-16.5,	324,	0,	71,	53.1579
-15.1,	325,	0,	71,	53.1629
-14.5,	325,	0,	71,	53.1679
-13.6,	326,	0,	71,	53.173
-11.8,	327,	0,	71,	53.178
-10.4,	328,	0,	71,	53.183
14.8,	349,	0,	72,	53.339
14.8,	349,	0,	72,	53.339
16.6,	350,	0,	72,	53.344
17.4,	350,	0,	72,	53.349
19.4,	351,	0,	72,	53.354
20.2,	352,	0,	72,	53.3591
20.2,	353,	0,	72,	53.3643
41,	19,	0,	73,	53.5501
41,	19,	0,	73,	53.5501
40.7,	19,	0,	73,	53.5551
40.7,	20,	0,	73,	53.5602
41.8,	21,	0,	73,	53.5652
43.4,	21,	0,	73,	53.5702
44,	22,	0,	73,	53.5753
50.5,	49,	0,	74,	53.7613
50.5,	49,	0,	74,	53.7613
50.4,	50,	0,	74,	53.7663
49.6,	50,	0,	74,	53.7714
49.5,	51,	0,	74,	53.7764
48.1,	52,	0,	74,	53.7814
46.9,	53,	0,	74,	53.7865
18.1,	86,	0,	75,	54.0035
18.1,	86,	0,	75,	54.0035
17.7,	87,	0,	75,	54.0085
17.7,	87,	0,	75,	54.0135
17.7,	88,	0,	75,	54.0201
17.3,	89,	0,	75,	54.0236
17.3,	90,	0,	75,	54.0286
16.8,	122,	0,	76,	54.2444
16.8,	122,	0,	76,	54.2444
16,	123,	0,	76,	54.2494
14.9,	124,	0,	76,	54.2544
13.9,	125,	0,	76,	54.2595
12.3,	125,	0,	76,	54.2645
10.5,	126,	0,	76,	54.2695
-3.7,	153,	0,	77,	54.4557
-3.7,	153,	0,	77,	54.4557
-3,	154,	0,	77,	54.4607
-2.4,	155,	0,	77,	54.4657
-2.4,	155,	0,	77,	54.4708
-2.5,	156,	0,	77,	54.4758
-2.9,	157,	0,	77,	54.4808
-21.4,	183,	0,	78,	54.6671
-21.4,	183,	0,	78,	54.6671
-23,	184,	0,	78,	54.6721
-23.9,	185,	0,	78,	54.6771
-24.4,	186,	0,	78,	54.6822
-24.9,	186,	0,	78,	54.6872
-25.2,	187,	0,	78,	54.6923
-45.3,	219,	0,	79,	54.9087
-45.3,	219,	0,	79,	54.9087
-45.5,	220,	0,	79,	54.9146
-45.9,	221,	0,	79,	54.9194
-45.9,	222,	0,	79,	54.9244
-45,	222,	0,	79,	54.9294
-44.7,	223,	0,	79,	54.9344
-33.4,	256,	0,	80,	55.1502
-33.4,	256,	0,	80,	55.1502
-33.1,	257,	0,	80,	55.1553
-32.9,	258,	0,	80,	55.1603
-32.6,	259,	0,	80,	55.1653
-32,	259,	0,	80,	55.1703
-31.2,	260,	0,	80,	55.1754
-19.3,	289,	0,	81,	55.3616
-19.3,	289,	0,	81,	55.3616
-19,	290,	0,	81,	55.3666
-18.5,	291,	0,	81,	55.3716
-18.5,	292,	0,	81,	55.3767
-18.1,	292,	0,	81,	55.3817
-18,	293,	0,	81,	55.3867
-20.9,	317,	0,	82,	55.5428
-20.9,	317,	0,	82,	55.5428
-20.2,	318,	0,	82,	55.5478
-19.8,	319,	0,	82,	55.5529
-19.6,	319,	0,	82,	55.5579
-19.5,	320,	0,	82,	55.5629
-19,	321,	0,	82,	55.568
6.3,	348,	0,	83,	55.7542
6.3,	348,	0,	83,	55.7542
9,	349,	0,	83,	55.7593
9.8,	350,	0,	83,	55.7644
