
Right power from force,Vector size

0.0120,	83
-0.9474,	76
-3.0526,	76
1.5942,	69
-0.4493,	69
-1.0806,	62
-1.4677,	62
-1.5323,	62
-1.0000,	69
-0.5789,	76
3.4474,	76
-2.2763,	76
0.5395,	76
-0.3553,	76
0.0658,	76
3.2105,	76
-1.3026,	76
2.3478,	69
-0.1687,	83
-0.1884,	69
1.8158,	76
-1.2581,	62
3.0000,	62
-2.4355,	62
2.0000,	62
-0.4605,	76
0.2609,	69
1.1842,	76
0.4337,	83
-0.4638,	69
1.4819,	83
-0.1739,	69
-0.2763,	76
0.6575,	73
-0.9747,	79
-1.0580,	69
-0.3671,	79
-1.4247,	73
1.7258,	62
-0.4194,	62
-2.4000,	55
1.0263,	76
-0.4079,	76
0.1389,	72
-1.5125,	80
1.0263,	76
0.7895,	76
-0.9620,	79
-1.8000,	75
-0.1622,	74
1.4578,	83
-1.1449,	69
-0.1974,	76
0.5395,	76
1.4677,	62
0.5806,	62
-1.6182,	55
1.4839,	62
-1.1053,	76
-1.9130,	69
-0.5789,	76
0.3421,	76
-2.4211,	76
-1.9710,	69
0.0921,	76
-1.1594,	69
0.0658,	76
1.5789,	76
-2.6087,	69
0.3684,	76
1.2895,	76
1.3710,	62
-2.5636,	55
0.9677,	62
0.0000,	61
-2.8286,	70
-1.0290,	69
