
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	0.00,	0.00,	26.93,	0.00,	0,	23.05,	3.56,	35
0.00,	-5,	0.00,	0.00,	27.29,	0.00,	0,	25.51,	3.51,	36
0.00,	-8,	-10.40,	0.00,	26.97,	0.00,	0,	25.25,	3.47,	36
0.00,	-6,	-11.60,	0.00,	17.53,	0.00,	0,	25.14,	2.25,	36
0.00,	-6,	-6.00,	0.00,	26.89,	0.00,	0,	25.13,	3.46,	36
0.00,	-6,	-6.20,	0.00,	21.43,	0.00,	0,	24.88,	2.76,	36
0.00,	-8,	-6.80,	0.00,	27.34,	0.00,	0,	24.27,	3.52,	36
0.00,	-7,	-6.60,	0.00,	26.36,	0.00,	0,	24.51,	3.39,	36
0.00,	-9,	-7.20,	0.00,	16.55,	0.00,	0,	24.75,	2.13,	36
0.00,	-8,	-7.60,	0.00,	27.12,	0.00,	0,	25.25,	3.49,	36
0.00,	-8,	-8.00,	0.00,	25.86,	0.00,	0,	25.77,	3.33,	36
0.00,	-10,	-8.40,	0.00,	30.37,	0.00,	0,	26.60,	3.80,	37
0.00,	-4,	-7.80,	0.00,	28.66,	0.00,	0,	26.74,	3.59,	37
0.00,	-6,	-7.20,	0.00,	22.60,	0.00,	0,	26.32,	2.83,	37
0.00,	-5,	-6.60,	0.00,	27.20,	0.00,	0,	26.32,	3.50,	36
0.00,	-5,	-6.00,	0.00,	23.18,	0.00,	0,	26.32,	2.90,	37
0.00,	-7,	-5.40,	0.00,	27.70,	0.00,	0,	26.21,	3.47,	37
0.00,	-5,	-5.60,	0.00,	27.09,	0.00,	0,	26.60,	3.39,	37
0.00,	-7,	-5.80,	0.00,	28.44,	0.00,	0,	26.60,	3.56,	37
0.00,	-5,	-5.80,	0.00,	27.54,	0.00,	0,	25.91,	3.45,	37
0.00,	-6,	-6.00,	0.00,	18.48,	0.00,	0,	26.46,	2.25,	38
0.00,	-6,	-5.80,	0.00,	27.36,	0.00,	0,	26.74,	3.42,	37
0.00,	-7,	-6.20,	0.00,	21.03,	0.00,	0,	26.60,	2.70,	36
0.00,	-7,	-6.20,	0.00,	27.67,	0.00,	0,	25.51,	3.56,	36
0.00,	-3,	-5.80,	0.00,	17.64,	0.00,	0,	25.69,	2.27,	36
0.00,	-3,	-5.20,	0.00,	26.67,	0.00,	0,	25.25,	3.53,	35
0.00,	-7,	-5.40,	0.00,	25.73,	0.00,	0,	24.75,	3.40,	35
0.00,	-5,	-5.00,	0.00,	20.62,	0.00,	0,	24.16,	2.73,	35
0.00,	-7,	-5.00,	0.00,	25.70,	0.00,	0,	25.38,	3.40,	35
0.00,	-8,	-6.00,	0.00,	20.85,	0.00,	0,	24.88,	2.76,	35
0.00,	-7,	-6.80,	0.00,	24.96,	0.00,	0,	24.75,	3.30,	35
0.00,	-7,	-6.80,	0.00,	20.76,	0.00,	0,	25.13,	2.75,	35
0.00,	-7,	-7.20,	0.00,	26.82,	0.00,	0,	25.38,	3.55,	35
0.00,	-4,	-6.60,	0.00,	26.02,	0.00,	0,	24.04,	3.44,	35
0.00,	-5,	-6.00,	0.00,	22.21,	0.00,	0,	24.63,	2.94,	35
0.00,	-6,	-5.80,	0.00,	27.36,	0.00,	0,	24.60,	3.52,	36
0.00,	-10,	-6.40,	0.00,	22.32,	0.00,	0,	25.00,	2.87,	36
0.00,	-5,	-6.00,	0.00,	26.89,	0.00,	0,	25.00,	3.46,	36
0.00,	-7,	-6.60,	0.00,	26.61,	0.00,	0,	25.29,	3.42,	36
0.00,	-6,	-6.80,	0.00,	16.81,	0.00,	0,	24.96,	2.16,	36
0.00,	-5,	-6.60,	0.00,	26.89,	0.00,	0,	25.51,	3.46,	36
0.00,	-6,	-5.80,	0.00,	21.24,	0.00,	0,	25.64,	2.73,	36
0.00,	-6,	-6.00,	0.00,	27.65,	0.00,	0,	25.25,	3.56,	36
0.00,	-7,	-6.00,	0.00,	28.06,	0.00,	0,	25.25,	3.61,	36
0.00,	-6,	-6.00,	0.00,	27.17,	0.00,	0,	25.02,	3.49,	36
0.00,	-8,	-6.60,	0.00,	26.50,	0.00,	0,	25.64,	3.41,	36
0.00,	-7,	-6.80,	0.00,	16.56,	0.00,	0,	25.25,	2.13,	36
0.00,	-10,	-7.60,	0.00,	27.42,	0.00,	0,	25.38,	3.53,	36
0.00,	-6,	-7.40,	0.00,	26.33,	0.00,	0,	25.00,	3.39,	36
0.00,	-6,	-7.40,	0.00,	28.55,	0.00,	0,	26.04,	3.57,	37
0.00,	-568,	-119.40,	0.00,	27.18,	0.00,	0,	25.91,	3.50,	36
0.00,	10,	-116.00,	0.00,	24.75,	0.00,	0,	24.63,	3.27,	35
0.00,	-8,	-115.60,	0.00,	15.57,	0.00,	0,	23.93,	2.06,	35
0.00,	-10,	-116.40,	0.00,	25.36,	0.00,	0,	23.47,	3.35,	35
0.00,	-7,	-116.60,	0.00,	21.17,	0.00,	0,	25.51,	2.72,	36
0.00,	-8,	-4.60,	0.00,	25.38,	0.00,	0,	24.63,	3.26,	36
0.00,	-7,	-8.00,	0.00,	26.63,	0.00,	0,	25.38,	3.42,	36
0.00,	-7,	-7.80,	0.00,	26.75,	0.00,	0,	25.77,	3.44,	36
0.00,	-4,	-6.60,	0.00,	27.14,	0.00,	0,	26.04,	3.40,	37
0.00,	-9,	-7.00,	0.00,	17.79,	0.00,	0,	26.46,	2.29,	36
0.00,	-6,	-6.60,	0.00,	25.75,	0.00,	0,	25.38,	3.31,	36
0.00,	-6,	-6.40,	0.00,	25.77,	0.00,	0,	25.13,	3.31,	36
0.00,	-9,	-6.80,	0.00,	25.96,	0.00,	0,	25.00,	3.34,	36
0.00,	-7,	-7.40,	0.00,	25.41,	0.00,	0,	25.64,	3.27,	36
0.00,	-6,	-6.80,	0.00,	20.02,	0.00,	0,	25.91,	2.57,	36
0.00,	-9,	-7.40,	0.00,	23.45,	0.00,	0,	25.51,	3.10,	35
0.00,	-6,	-7.40,	0.00,	22.89,	0.00,	0,	24.51,	3.03,	35
0.00,	-8,	-7.20,	0.00,	25.35,	0.00,	0,	25.51,	3.26,	36
0.00,	-7,	-7.20,	0.00,	21.88,	0.00,	0,	25.64,	2.81,	36
0.00,	-8,	-7.60,	0.00,	25.96,	0.00,	0,	25.72,	3.34,	36
0.00,	-5,	-6.80,	0.00,	26.39,	0.00,	0,	25.38,	3.39,	36
0.00,	-7,	-7.00,	0.00,	21.56,	0.00,	0,	24.88,	2.77,	36
0.00,	-8,	-7.00,	0.00,	26.72,	0.00,	0,	25.25,	3.44,	36
