
Right power from force,Vector size

1.6867,	83
-0.2297,	74
-2.8077,	78
0.0000,	76
-2.3038,	79
0.6000,	75
-2.8889,	81
-1.8261,	69
-1.5526,	76
-2.1447,	76
-2.6102,	59
-5.3276,	58
2.2097,	62
-2.0435,	69
1.1184,	76
-0.5797,	69
-0.5263,	76
0.6316,	76
-2.1711,	76
0.2319,	69
0.1447,	76
0.0533,	75
-0.6000,	70
-0.8986,	69
1.9868,	76
0.3816,	76
-0.0290,	69
-0.8000,	55
-1.0806,	62
-2.0161,	62
-2.6447,	76
0.7105,	76
-2.7632,	76
-0.1053,	76
0.0526,	76
-1.2763,	76
-0.3976,	83
-0.7500,	76
-0.0723,	83
-0.6842,	76
-0.1184,	76
-1.7632,	76
-0.4079,	76
-0.3710,	62
-0.7903,	62
-1.9516,	62
-1.9565,	69
-2.8551,	69
0.3855,	83
-1.5658,	76
-0.7500,	76
25.6552,	29
-565.0000,	2
6.0000,	2
16.6897,	58
-1.7024,	531
-2.4286,	567
-0.8990,	525
-0.2427,	482
-1.2966,	499
-1.0552,	507
-0.4204,	509
0.3168,	483
-1.1635,	520
-1.4692,	471
-0.1000,	490
-1.1746,	401
-1.5688,	429
-1.6323,	378
-2.6973,	446
-1.2886,	537
-1.3079,	484
-1.1458,	535
0.0356,	478
-1.1900,	500
-0.4139,	488
