
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	0,	-1.80,	-1.00,	0.00,	-0.99,	0.00,	0.00,	14.59,	0.00,	0,	25.91,	1.99,	34
0.00,	-6,	-2.20,	-2.00,	0.00,	-3.21,	0.00,	0.00,	15.88,	0.00,	0,	25.38,	2.10,	35
0.00,	-3,	-3.20,	-2.00,	0.00,	4.72,	0.00,	0.00,	15.07,	0.00,	0,	25.00,	2.05,	34
0.00,	-1,	-2.20,	-1.00,	0.00,	2.24,	0.00,	0.00,	14.42,	0.00,	0,	25.13,	1.96,	34
0.00,	-7,	-3.40,	-2.00,	-1.00,	0.95,	0.00,	0.00,	15.60,	0.00,	0,	25.00,	2.12,	34
0.00,	0,	-3.40,	-2.00,	-1.00,	4.12,	0.00,	0.00,	11.16,	0.00,	0,	25.00,	1.52,	34
0.00,	0,	-2.20,	-2.00,	0.00,	5.75,	0.00,	0.00,	13.51,	0.00,	0,	25.38,	1.84,	34
0.00,	-6,	-2.80,	-2.00,	0.00,	-0.41,	0.00,	0.00,	12.83,	0.00,	0,	24.70,	1.80,	33
0.00,	-5,	-3.60,	-2.00,	-1.00,	-1.92,	0.00,	0.00,	11.27,	0.00,	0,	23.47,	1.53,	34
0.00,	-3,	-2.80,	-2.00,	0.00,	0.97,	0.00,	0.00,	11.90,	0.00,	0,	24.88,	1.62,	34
0.00,	-5,	-3.80,	-2.00,	-1.00,	1.82,	0.00,	0.00,	12.23,	0.00,	0,	26.18,	1.62,	35
0.00,	-6,	-5.00,	-2.00,	-2.00,	-1.30,	0.00,	0.00,	20.25,	0.00,	0,	24.63,	2.68,	35
0.00,	0,	-3.80,	-2.00,	-1.00,	2.68,	0.00,	0.00,	13.90,	0.00,	0,	25.80,	1.84,	35
0.00,	-6,	-4.00,	-2.00,	-1.00,	2.09,	0.00,	0.00,	8.97,	0.00,	0,	26.71,	1.19,	35
0.00,	-3,	-4.00,	-2.00,	-1.00,	2.00,	0.00,	0.00,	13.34,	0.00,	0,	24.15,	1.87,	33
0.00,	-6,	-4.20,	-2.00,	-1.00,	1.68,	0.00,	0.00,	12.92,	0.00,	0,	24.04,	1.81,	33
0.00,	-4,	-3.80,	-2.00,	0.00,	-0.14,	0.00,	0.00,	12.05,	0.00,	0,	23.36,	1.69,	33
0.00,	-2,	-4.20,	-3.00,	0.00,	5.45,	0.00,	0.00,	14.25,	0.00,	0,	24.84,	1.94,	34
0.00,	-2,	-3.40,	-2.00,	0.00,	2.18,	0.00,	0.00,	13.35,	0.00,	0,	24.39,	1.82,	34
0.00,	-3,	-3.40,	-2.00,	0.00,	3.62,	0.00,	0.00,	15.16,	0.00,	0,	24.72,	2.06,	34
0.00,	-6,	-3.40,	-2.00,	0.00,	1.07,	0.00,	0.00,	15.00,	0.00,	0,	23.81,	2.04,	34
0.00,	-4,	-3.40,	-2.00,	0.00,	0.26,	0.00,	0.00,	15.48,	0.00,	0,	26.18,	2.05,	35
0.00,	3,	-2.40,	-2.00,	0.00,	8.68,	0.00,	0.00,	12.48,	0.00,	0,	25.64,	1.70,	34
0.00,	-4,	-2.80,	-2.00,	0.00,	0.36,	0.00,	0.00,	13.69,	0.00,	0,	25.77,	1.86,	34
0.00,	-7,	-3.60,	-2.00,	0.00,	-0.46,	0.00,	0.00,	11.78,	0.00,	0,	24.75,	1.60,	34
0.00,	-3,	-3.00,	-2.00,	0.00,	3.64,	0.00,	0.00,	15.11,	0.00,	0,	24.88,	2.06,	34
0.00,	-2,	-2.60,	-2.00,	0.00,	3.20,	0.00,	0.00,	14.29,	0.00,	0,	25.77,	1.95,	34
0.00,	-2,	-3.60,	-2.00,	0.00,	0.74,	0.00,	0.00,	10.62,	0.00,	0,	25.51,	1.45,	34
0.00,	-2,	-3.20,	-2.00,	0.00,	0.73,	0.00,	0.00,	14.28,	0.00,	0,	24.93,	1.94,	34
0.00,	-4,	-2.60,	-2.00,	0.00,	2.85,	0.00,	0.00,	14.89,	0.00,	0,	24.27,	2.03,	34
0.00,	-3,	-2.60,	-1.00,	0.00,	2.11,	0.00,	0.00,	10.24,	0.00,	0,	25.90,	1.39,	34
0.00,	-5,	-3.20,	-2.00,	0.00,	2.49,	0.00,	0.00,	13.97,	0.00,	0,	23.47,	1.90,	34
0.00,	-1,	-3.00,	-2.00,	0.00,	1.97,	0.00,	0.00,	13.39,	0.00,	0,	24.75,	1.88,	33
0.00,	-5,	-3.60,	-2.00,	0.00,	2.19,	0.00,	0.00,	10.93,	0.00,	0,	24.15,	1.53,	33
0.00,	-4,	-3.60,	-2.00,	0.00,	2.05,	0.00,	0.00,	13.61,	0.00,	0,	24.48,	1.91,	33
0.00,	-4,	-3.80,	-2.00,	-1.00,	-0.94,	0.00,	0.00,	12.76,	0.00,	0,	25.25,	1.74,	34
0.00,	-5,	-3.80,	-2.00,	-1.00,	0.60,	0.00,	0.00,	14.17,	0.00,	0,	24.63,	1.93,	34
0.00,	-6,	-4.80,	-2.00,	-1.00,	-0.13,	0.00,	0.00,	13.50,	0.00,	0,	25.77,	1.89,	33
0.00,	-2,	-4.20,	-2.00,	-1.00,	2.62,	0.00,	0.00,	13.31,	0.00,	0,	25.13,	1.81,	34
0.00,	-6,	-4.60,	-1.00,	-2.00,	-1.03,	0.00,	0.00,	13.70,	0.00,	0,	25.95,	1.87,	34
0.00,	-6,	-5.00,	-2.00,	-1.00,	2.75,	0.00,	0.00,	13.89,	0.00,	0,	25.38,	1.89,	34
0.00,	-4,	-4.80,	-2.00,	-2.00,	-1.75,	0.00,	0.00,	13.06,	0.00,	0,	26.15,	1.73,	35
0.00,	-4,	-4.40,	-2.00,	-1.00,	-0.16,	0.00,	0.00,	15.47,	0.00,	0,	26.32,	2.05,	35
0.00,	-4,	-4.80,	-2.00,	-2.00,	1.82,	0.00,	0.00,	14.26,	0.00,	0,	25.25,	1.89,	35
0.00,	-4,	-4.40,	-2.00,	-1.00,	0.04,	0.00,	0.00,	13.32,	0.00,	0,	24.27,	1.81,	34
0.00,	-3,	-3.80,	-2.00,	-1.00,	3.13,	0.00,	0.00,	13.44,	0.00,	0,	24.75,	1.83,	34
0.00,	-2,	-3.40,	-2.00,	-1.00,	0.76,	0.00,	0.00,	8.77,	0.00,	0,	24.63,	1.19,	34
0.00,	-5,	-3.60,	-2.00,	-1.00,	1.14,	0.00,	0.00,	12.29,	0.00,	0,	25.64,	1.67,	34
0.00,	-2,	-3.20,	-2.00,	0.00,	2.94,	0.00,	0.00,	13.67,	0.00,	0,	25.58,	1.86,	34
0.00,	-6,	-3.60,	-2.00,	-1.00,	0.93,	0.00,	0.00,	10.81,	0.00,	0,	24.73,	1.47,	34
0.00,	-1,	-3.20,	-2.00,	-1.00,	2.81,	0.00,	0.00,	14.30,	0.00,	0,	25.64,	1.89,	35
0.00,	-5,	-3.80,	-2.00,	-1.00,	2.90,	0.00,	0.00,	10.72,	0.00,	0,	24.15,	1.46,	34
0.00,	-2,	-3.20,	-2.00,	0.00,	2.96,	0.00,	0.00,	13.44,	0.00,	0,	24.63,	1.83,	34
0.00,	-1,	-3.00,	-2.00,	0.00,	2.75,	0.00,	0.00,	13.76,	0.00,	0,	24.39,	1.87,	34
0.00,	-6,	-3.00,	-2.00,	0.00,	2.24,	0.00,	0.00,	13.67,	0.00,	0,	25.38,	1.86,	34
0.00,	0,	-2.80,	-3.00,	0.00,	6.09,	0.00,	0.00,	11.87,	0.00,	0,	25.77,	1.62,	34
0.00,	-9,	-3.60,	-2.00,	-1.00,	-2.69,	0.00,	0.00,	11.90,	0.00,	0,	25.00,	1.72,	32
0.00,	0,	-3.20,	-2.00,	0.00,	3.91,	0.00,	0.00,	12.98,	0.00,	0,	25.51,	1.77,	34
0.00,	-5,	-4.00,	-2.00,	-1.00,	-1.66,	0.00,	0.00,	13.82,	0.00,	0,	24.29,	1.88,	34
0.00,	-1,	-3.00,	-2.00,	-1.00,	3.40,	0.00,	0.00,	12.49,	0.00,	0,	24.75,	1.75,	33
