
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-15.8,	330,	0,	118,	70.3561
-15.8,	330,	0,	118,	70.3561
-15.6,	331,	0,	118,	70.3611
-13.4,	332,	0,	118,	70.3661
-12,	333,	0,	118,	70.3711
-10.7,	333,	0,	118,	70.376
-10.5,	334,	0,	118,	70.381
13.1,	1,	0,	119,	70.5648
13.1,	1,	0,	119,	70.5648
14.9,	2,	0,	119,	70.5698
15,	3,	0,	119,	70.5747
16,	3,	0,	119,	70.5797
16.5,	4,	0,	119,	70.5847
16.6,	5,	0,	119,	70.5897
44.7,	37,	0,	120,	70.8033
44.7,	37,	0,	120,	70.8033
46.7,	38,	0,	120,	70.8082
47.3,	39,	0,	120,	70.8132
48.4,	39,	0,	120,	70.8182
47.9,	40,	0,	120,	70.8231
47.4,	41,	0,	120,	70.8281
44.9,	78,	0,	121,	71.0715
44.9,	78,	0,	121,	71.0715
44.6,	79,	0,	121,	71.0764
44.5,	79,	0,	121,	71.0814
43.9,	80,	0,	121,	71.0864
42.9,	81,	0,	121,	71.0913
42.4,	82,	0,	121,	71.0963
22,	110,	0,	122,	71.2804
22,	110,	0,	122,	71.2804
22,	111,	0,	122,	71.2854
21.7,	112,	0,	122,	71.2904
20.6,	113,	0,	122,	71.2954
20.1,	113,	0,	122,	71.3004
19.6,	114,	0,	122,	71.3054
6.4,	137,	0,	123,	71.459
6.4,	137,	0,	123,	71.459
6.2,	138,	0,	123,	71.464
6.2,	139,	0,	123,	71.4689
5.8,	140,	0,	123,	71.4738
5.1,	140,	0,	123,	71.4789
4.6,	141,	0,	123,	71.4838
-17.8,	169,	0,	124,	71.6676
-17.8,	169,	0,	124,	71.6676
-19,	170,	0,	124,	71.6726
-19.4,	170,	0,	124,	71.6776
-20.9,	171,	0,	124,	71.6825
-21.8,	172,	0,	124,	71.6875
-22.9,	173,	0,	124,	71.6924
-47.5,	204,	0,	125,	71.906
-47.5,	204,	0,	125,	71.906
-48,	205,	0,	125,	71.911
-48.3,	206,	0,	125,	71.916
-49.2,	207,	0,	125,	71.921
-49.8,	207,	0,	125,	71.926
-50.3,	208,	0,	125,	71.931
-43.8,	245,	0,	126,	72.1743
-43.8,	245,	0,	126,	72.1743
-44.3,	246,	0,	126,	72.1793
-46,	247,	0,	126,	72.1843
-46,	247,	0,	126,	72.1892
-46,	248,	0,	126,	72.1942
-46.1,	249,	0,	126,	72.1992
-41.8,	272,	0,	127,	72.3532
-41.8,	272,	0,	127,	72.3532
-41.4,	273,	0,	127,	72.3582
-40.8,	274,	0,	127,	72.3631
-40.2,	275,	0,	127,	72.3681
-40,	275,	0,	127,	72.373
-39.5,	276,	0,	127,	72.3781
-24.8,	304,	0,	128,	72.5619
-24.8,	304,	0,	128,	72.5619
-24.8,	305,	0,	128,	72.5668
-23.8,	306,	0,	128,	72.5718
-23.6,	307,	0,	128,	72.5769
-23.4,	307,	0,	128,	72.5818
-23.5,	308,	0,	128,	72.5867
-16.4,	336,	0,	129,	72.7706
-16.4,	336,	0,	129,	72.7706
-15.9,	336,	0,	129,	72.7756
-15.9,	337,	0,	129,	72.7805
-16.1,	338,	0,	129,	72.7855
-15.7,	339,	0,	129,	72.7905
-13.6,	339,	0,	129,	72.7954
21.8,	11,	0,	130,	73.0091
21.8,	11,	0,	130,	73.0091
22.5,	12,	0,	130,	73.014
23.2,	13,	0,	130,	73.019
23.8,	14,	0,	130,	73.024
23.8,	15,	0,	130,	73.0289
23.9,	15,	0,	130,	73.0339
46.5,	53,	0,	131,	73.2776
46.5,	53,	0,	131,	73.2776
46.5,	54,	0,	131,	73.2823
46.4,	55,	0,	131,	73.2874
47.5,	55,	0,	131,	73.2924
48,	56,	0,	131,	73.2975
48.3,	57,	0,	131,	73.3024
42.3,	80,	0,	132,	73.4561
42.3,	80,	0,	132,	73.4561
41.3,	80,	0,	132,	73.4611
40.7,	81,	0,	132,	73.4661
40.2,	82,	0,	132,	73.471
40,	83,	0,	132,	73.476
39.9,	84,	0,	132,	73.481
21.7,	112,	0,	133,	73.6647
21.7,	112,	0,	133,	73.6647
21.1,	113,	0,	133,	73.6697
20.2,	114,	0,	133,	73.6747
20.2,	115,	0,	133,	73.6797
20.1,	116,	0,	133,	73.6846
19.8,	116,	0,	133,	73.6896
0.5,	149,	0,	134,	73.9031
0.5,	149,	0,	134,	73.9031
-0.1,	150,	0,	134,	73.9081
-0.3,	150,	0,	134,	73.9131
-2,	151,	0,	134,	73.918
-2.5,	152,	0,	134,	73.923
-3.5,	152,	0,	134,	73.9281
-35.1,	186,	0,	135,	74.1714
-35.1,	186,	0,	135,	74.1714
-35.2,	187,	0,	135,	74.1764
-36.8,	188,	0,	135,	74.1813
-36.7,	189,	0,	135,	74.1863
-36.3,	189,	0,	135,	74.1913
-36.8,	190,	0,	135,	74.1962
-56.2,	218,	0,	136,	74.3799
-56.2,	218,	0,	136,	74.3799
-55.9,	218,	0,	136,	74.3849
-55.1,	219,	0,	136,	74.3898
-54.9,	220,	0,	136,	74.3948
-54.2,	221,	0,	136,	74.3998
-54.3,	222,	0,	136,	74.4048
-50.7,	247,	0,	137,	74.5587
-50.7,	247,	0,	137,	74.5587
-50.5,	248,	0,	137,	74.5637
-50.8,	249,	0,	137,	74.5686
-50.8,	250,	0,	137,	74.5736
-50.8,	251,	0,	137,	74.5786
-49.4,	252,	0,	137,	74.5836
-31.7,	278,	0,	138,	74.7674
-31.7,	278,	0,	138,	74.7674
-31.8,	279,	0,	138,	74.7724
-31.7,	280,	0,	138,	74.7774
-32.1,	280,	0,	138,	74.7823
-32.6,	281,	0,	138,	74.7873
-32.5,	282,	0,	138,	74.7922
-23.1,	315,	0,	139,	75.0059
-23.1,	315,	0,	139,	75.0059
-23.1,	316,	0,	139,	75.0108
-23.2,	317,	0,	139,	75.0158
-23,	317,	0,	139,	75.0208
-23.4,	318,	0,	139,	75.0257
-23.4,	319,	0,	139,	75.0307
8.9,	355,	0,	140,	75.2743
8.9,	355,	0,	140,	75.2743
9.4,	356,	0,	140,	75.2793
10.4,	357,	0,	140,	75.2843
12.1,	358,	0,	140,	75.2893
13.8,	358,	0,	140,	75.2943
14.6,	359,	0,	140,	75.2993
33.3,	22,	0,	141,	75.4529
33.3,	22,	0,	141,	75.4529
33.6,	23,	0,	141,	75.4578
34.1,	23,	0,	141,	75.4628
33.9,	24,	0,	141,	75.4678
34.6,	25,	0,	141,	75.4727
34.7,	26,	0,	141,	75.4777
50.8,	55,	0,	142,	75.6615
50.8,	55,	0,	142,	75.6615
51.2,	56,	0,	142,	75.6665
51.7,	56,	0,	142,	75.6714
53,	57,	0,	142,	75.6765
52.6,	58,	0,	142,	75.6814
52.6,	58,	0,	142,	75.6864
35.5,	87,	0,	143,	75.8701
35.5,	87,	0,	143,	75.8701
34.8,	87,	0,	143,	75.8751
33.6,	88,	0,	143,	75.88
33.2,	89,	0,	143,	75.885
33.3,	90,	0,	143,	75.89
33.2,	91,	0,	143,	75.8949
11.5,	124,	0,	144,	76.1084
11.5,	124,	0,	144,	76.1084
11.4,	124,	0,	144,	76.1134
10.3,	125,	0,	144,	76.1183
9.9,	126,	0,	144,	76.1233
9.9,	127,	0,	144,	76.1283
9.4,	127,	0,	144,	76.1332
-17.8,	165,	0,	145,	76.3766
-17.8,	165,	0,	145,	76.3766
-19,	166,	0,	145,	76.3815
-19.5,	166,	0,	145,	76.3865
-19.4,	167,	0,	145,	76.3915
-19.7,	168,	0,	145,	76.3965
