
Right power from force,Vector size

-2.7105,	76
0.3684,	76
-3.7237,	76
-1.6000,	75
-0.7714,	70
-6.0323,	62
-1.7097,	62
-4.2097,	62
-2.1774,	62
-2.1053,	76
-1.6711,	76
-1.0526,	76
-2.7237,	76
0.0789,	76
-1.1184,	76
-2.1806,	72
-3.1875,	80
-3.3623,	69
-2.0921,	76
-1.7763,	76
-1.3947,	76
0.2174,	69
-1.5645,	62
-0.6129,	62
-0.8710,	62
-4.5806,	62
-0.8072,	83
-1.8816,	76
-0.2237,	76
-3.5797,	69
-2.1566,	83
-3.6053,	76
-1.4211,	76
-1.9868,	76
-3.0789,	76
0.1447,	76
-1.6579,	76
1.3816,	76
-1.8364,	55
0.3710,	62
1.3226,	62
-2.1613,	62
2.4430,	79
-2.1781,	73
0.2763,	76
-1.4868,	76
-2.1974,	76
-1.3043,	69
-3.0000,	76
1.8841,	69
-1.5132,	76
1.9605,	76
-0.4211,	76
0.9872,	78
3.1622,	74
-1.5091,	55
1.8548,	62
-3.0161,	62
-1.7903,	62
-0.6184,	76
-1.1446,	83
1.8421,	76
-2.9605,	76
1.5921,	76
0.4737,	76
1.7237,	76
0.6184,	76
0.4474,	76
3.7368,	76
1.5658,	76
2.3289,	76
2.4516,	62
-0.0323,	62
-0.4032,	62
-0.7903,	62
0.1449,	69
