
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

-21.8,	338,	0,	138,	35.1994
-21.8,	338,	0,	138,	35.1994
-21.4,	339,	0,	138,	35.2046
-21.3,	340,	0,	138,	35.2095
-20.2,	341,	0,	138,	35.2151
-18.5,	342,	0,	138,	35.2202
-16.5,	342,	0,	138,	35.2252
29,	12,	0,	139,	35.4408
29,	12,	0,	139,	35.4408
30.2,	13,	0,	139,	35.4459
30.7,	14,	0,	139,	35.4509
32.1,	14,	0,	139,	35.4559
32.5,	15,	0,	139,	35.461
33.1,	16,	0,	139,	35.4659
50.9,	66,	0,	140,	35.803
50.9,	66,	0,	140,	35.803
49.7,	67,	0,	140,	35.808
49.9,	67,	0,	140,	35.8131
49.7,	68,	0,	140,	35.8181
48.9,	69,	0,	140,	35.8232
48.8,	69,	0,	140,	35.8282
32.5,	109,	0,	141,	36.1049
32.5,	109,	0,	141,	36.1049
32.5,	110,	0,	141,	36.1099
32.4,	111,	0,	141,	36.1149
32.4,	111,	0,	141,	36.12
32.5,	112,	0,	141,	36.125
31.6,	113,	0,	141,	36.13
10.3,	146,	0,	142,	36.3463
10.3,	146,	0,	142,	36.3463
10.1,	147,	0,	142,	36.3514
10.1,	147,	0,	142,	36.3564
10.1,	148,	0,	142,	36.3614
9.8,	149,	0,	142,	36.3665
9.6,	150,	0,	142,	36.3715
-13.2,	182,	0,	143,	36.5878
-13.2,	182,	0,	143,	36.5878
-13.8,	183,	0,	143,	36.5928
-14,	183,	0,	143,	36.5979
-14.3,	184,	0,	143,	36.6029
-14.4,	185,	0,	143,	36.6079
-14.5,	186,	0,	143,	36.613
-38.3,	218,	0,	144,	36.8293
-38.3,	218,	0,	144,	36.8293
-39.1,	219,	0,	144,	36.8344
-39.5,	219,	0,	144,	36.8394
-40.1,	220,	0,	144,	36.8444
-40.1,	221,	0,	144,	36.8495
-41.6,	222,	0,	144,	36.8546
-29.4,	259,	0,	145,	37.101
-29.4,	259,	0,	145,	37.101
-28.5,	260,	0,	145,	37.106
-27.4,	261,	0,	145,	37.1111
-27.1,	261,	0,	145,	37.1161
-26,	262,	0,	145,	37.1211
-25.5,	263,	0,	145,	37.1261
-28.9,	298,	0,	146,	37.3424
-28.9,	298,	0,	146,	37.3424
-29,	298,	0,	146,	37.3474
-30.1,	299,	0,	146,	37.3525
-30.9,	300,	0,	146,	37.3575
-31,	301,	0,	146,	37.3625
-31.1,	302,	0,	146,	37.3676
-28,	335,	0,	147,	37.5838
-28,	335,	0,	147,	37.5838
-28,	336,	0,	147,	37.5889
-27.8,	337,	0,	147,	37.5939
-27.2,	337,	0,	147,	37.599
-25.6,	338,	0,	147,	37.604
-23.6,	339,	0,	147,	37.609
45.2,	30,	0,	148,	37.9461
45.2,	30,	0,	148,	37.9461
45.8,	30,	0,	148,	37.9511
45.8,	31,	0,	148,	37.9561
45.8,	32,	0,	148,	37.9612
45.8,	33,	0,	148,	37.9662
46,	34,	0,	148,	37.9712
57.8,	68,	0,	149,	38.1881
57.8,	68,	0,	149,	38.1881
57.7,	69,	0,	149,	38.1931
57.1,	70,	0,	149,	38.1981
56,	70,	0,	149,	38.2032
55,	71,	0,	149,	38.2082
52.1,	72,	0,	149,	38.2131
38.2,	105,	0,	150,	38.4308
38.2,	105,	0,	150,	38.4308
37,	106,	0,	150,	38.4341
37,	107,	0,	150,	38.4391
36,	108,	0,	150,	38.4441
35.8,	108,	0,	150,	38.4492
35.5,	109,	0,	150,	38.4542
15.9,	138,	0,	151,	38.6404
15.9,	138,	0,	151,	38.6404
16.2,	139,	0,	151,	38.6454
16.5,	140,	0,	151,	38.6504
16.9,	140,	0,	151,	38.6555
16.9,	141,	0,	151,	38.6605
16.4,	142,	0,	151,	38.6655
-1.8,	170,	0,	152,	38.8517
-1.8,	170,	0,	152,	38.8517
-1.9,	170,	0,	152,	38.8567
-2.1,	171,	0,	152,	38.8617
-4,	172,	0,	152,	38.8668
-4.3,	173,	0,	152,	38.8718
-5.3,	173,	0,	152,	38.8768
-33.3,	197,	0,	153,	39.0328
-33.3,	197,	0,	153,	39.0328
-34.4,	197,	0,	153,	39.0378
-35.3,	198,	0,	153,	39.0428
-35.9,	199,	0,	153,	39.0479
-37.5,	200,	0,	153,	39.0529
-38.3,	200,	0,	153,	39.0579
-47.4,	231,	0,	154,	39.2441
-47.4,	231,	0,	154,	39.2441
-48,	232,	0,	154,	39.2491
-47.8,	232,	0,	154,	39.2542
-47.7,	233,	0,	154,	39.2592
-47.6,	234,	0,	154,	39.2642
-47.4,	235,	0,	154,	39.2692
-33.3,	263,	0,	155,	39.4554
-33.3,	263,	0,	155,	39.4554
-32.8,	264,	0,	155,	39.4604
-32,	265,	0,	155,	39.4655
-31.3,	266,	0,	155,	39.4709
-30.7,	266,	0,	155,	39.4756
-30.1,	267,	0,	155,	39.4806
-28.2,	291,	0,	156,	39.6366
-28.2,	291,	0,	156,	39.6366
-28.5,	292,	0,	156,	39.6416
-29,	293,	0,	156,	39.6466
-29,	294,	0,	156,	39.6517
-29.1,	294,	0,	156,	39.6567
-29.7,	295,	0,	156,	39.6617
-27.7,	333,	0,	157,	39.9082
-27.7,	333,	0,	157,	39.9082
-26.1,	333,	0,	157,	39.9133
-24.5,	334,	0,	157,	39.9183
-23.5,	335,	0,	157,	39.9233
-23.4,	336,	0,	157,	39.9283
-23.3,	336,	0,	157,	39.9334
19.1,	9,	0,	158,	40.15
19.1,	9,	0,	158,	40.15
20.7,	10,	0,	158,	40.1552
21.2,	10,	0,	158,	40.16
22.3,	11,	0,	158,	40.165
22.4,	12,	0,	158,	40.1701
23.7,	12,	0,	158,	40.175
43.7,	36,	0,	159,	40.3308
43.7,	36,	0,	159,	40.3308
44.6,	36,	0,	159,	40.3359
45.7,	37,	0,	159,	40.3409
46.5,	38,	0,	159,	40.346
47.1,	39,	0,	159,	40.351
48.8,	39,	0,	159,	40.356
58.4,	69,	0,	160,	40.5421
58.4,	69,	0,	160,	40.5421
57,	69,	0,	160,	40.5472
55.8,	70,	0,	160,	40.5522
56.5,	71,	0,	160,	40.5573
57.7,	72,	0,	160,	40.5623
57.2,	72,	0,	160,	40.5673
41.7,	105,	0,	161,	40.7837
41.7,	105,	0,	161,	40.7837
41.9,	106,	0,	161,	40.7887
41.1,	107,	0,	161,	40.7938
40,	107,	0,	161,	40.7988
39.9,	108,	0,	161,	40.8038
39.7,	109,	0,	161,	40.8088
5.7,	147,	0,	162,	41.056
5.7,	147,	0,	162,	41.056
5.7,	148,	0,	162,	41.0609
6.3,	149,	0,	162,	41.0659
7.6,	149,	0,	162,	41.0709
8.1,	150,	0,	162,	41.076
8.3,	151,	0,	162,	41.0809
-11.4,	174,	0,	163,	41.2366
-11.4,	174,	0,	163,	41.2366
-12,	175,	0,	163,	41.2416
-14.5,	176,	0,	163,	41.2466
-15.8,	177,	0,	163,	41.2516
-16.5,	177,	0,	163,	41.2567
-17.4,	178,	0,	163,	41.2617
-48.6,	207,	0,	164,	41.4478
-48.6,	207,	0,	164,	41.4478
-49.6,	207,	0,	164,	41.4529
-51.6,	208,	0,	164,	41.4579
-52.3,	209,	0,	164,	41.4629
-53.5,	210,	0,	164,	41.468
-54,	211,	0,	164,	41.473
-52.1,	239,	0,	165,	41.6591
-52.1,	239,	0,	165,	41.6591
-52,	240,	0,	165,	41.6642
-51.9,	241,	0,	165,	41.6692
-51.9,	242,	0,	165,	41.6742
-50.4,	242,	0,	165,	41.6793
-50.4,	243,	0,	165,	41.6843
-25.5,	277,	0,	166,	41.9006
-25.5,	277,	0,	166,	41.9006
-25.5,	278,	0,	166,	41.9056
-25.1,	278,	0,	166,	41.9106
-25,	279,	0,	166,	41.9156
-24.8,	280,	0,	166,	41.9207
-26.2,	281,	0,	166,	41.9257
-23.4,	315,	0,	167,	42.142
-23.4,	315,	0,	167,	42.142
-23.3,	316,	0,	167,	42.147
-23.9,	317,	0,	167,	42.152
-24.3,	317,	0,	167,	42.157
-24.3,	318,	0,	167,	42.162
-24,	319,	0,	167,	42.167
-0.5,	347,	0,	168,	42.3531
-0.5,	347,	0,	168,	42.3531
1.6,	348,	0,	168,	42.3581
2.6,	348,	0,	168,	42.3632
3.1,	349,	0,	168,	42.3682
4.3,	350,	0,	168,	42.3732
4.5,	350,	0,	168,	42.3783
32.6,	13,	0,	169,	42.5341
32.6,	13,	0,	169,	42.5341
34.1,	14,	0,	169,	42.5392
35.3,	14,	0,	169,	42.5442
36,	15,	0,	169,	42.5492
36.4,	16,	0,	169,	42.5543
36.5,	16,	0,	169,	42.5593
51.4,	45,	0,	170,	42.7454
51.4,	45,	0,	170,	42.7454
51.2,	46,	0,	170,	42.7504
51.7,	47,	0,	170,	42.7555
52,	47,	0,	170,	42.7604
51.6,	48,	0,	170,	42.7654
52.4,	49,	0,	170,	42.7705
50,	84,	0,	171,	42.9868
50,	84,	0,	171,	42.9868
49.1,	84,	0,	171,	42.9919
46.9,	85,	0,	171,	42.9969
45.9,	86,	0,	171,	43.0019
44.7,	87,	0,	171,	43.0069
44.5,	87,	0,	171,	43.012
22.6,	126,	0,	172,	43.2585
22.6,	126,	0,	172,	43.2585
22.5,	127,	0,	172,	43.2636
22.2,	128,	0,	172,	43.2686
22,	128,	0,	172,	43.2737
21,	129,	0,	172,	43.2787
21,	130,	0,	172,	43.2837
4.4,	154,	0,	173,	43.4397
4.4,	154,	0,	173,	43.4397
5.4,	154,	0,	173,	43.4448
