
Right power from force,Vector size

-1.0161,	62
-1.4032,	62
-1.6377,	69
0.3289,	76
-0.9605,	76
-1.9737,	76
-1.2763,	76
-0.5263,	76
0.1884,	69
0.5263,	76
-0.2237,	76
0.1711,	76
-3.6377,	69
-2.2763,	76
0.3289,	76
-1.0323,	62
-1.5323,	62
-2.1159,	69
-1.3710,	62
-2.1739,	69
-2.0120,	83
-1.6447,	76
-3.1053,	76
-0.4868,	76
-3.3067,	75
-1.3377,	77
-1.9710,	69
-0.3494,	83
1.6711,	76
-2.5132,	76
1.0132,	76
-3.4638,	69
-3.4194,	62
-0.3548,	62
-2.1935,	62
-1.0806,	62
-3.0132,	76
1.6579,	76
-1.7368,	76
0.5526,	76
0.3158,	76
-0.8816,	76
1.0263,	76
-0.0964,	83
0.3067,	75
-4.6104,	77
0.3243,	74
0.8718,	78
-1.5652,	69
-0.8871,	62
-1.8333,	66
-1.7241,	58
-1.6316,	76
-1.3684,	76
0.4667,	75
-0.6753,	77
-1.0290,	69
1.3026,	76
-0.5263,	76
-1.5000,	72
-1.0000,	73
0.0395,	76
-1.3158,	76
-0.5263,	76
0.0263,	76
-2.0161,	62
-1.5667,	60
-2.7719,	57
-0.0290,	69
0.7105,	76
0.1842,	76
1.0132,	76
-2.3158,	76
-0.4474,	76
-0.1579,	76
-1.6053,	76
