
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-4,	-4.80,	-4.00,	0.00,	2.42,	0.00,	0.00,	15.27,	0.00,	0,	24.04,	2.14,	33
0.00,	-3,	-4.60,	-4.00,	0.00,	3.26,	0.00,	0.00,	15.55,	0.00,	0,	25.53,	2.12,	34
0.00,	-4,	-4.60,	-4.00,	0.00,	2.76,	0.00,	0.00,	12.97,	0.00,	0,	25.13,	1.77,	34
0.00,	-5,	-4.60,	-3.00,	0.00,	1.18,	0.00,	0.00,	15.52,	0.00,	0,	25.11,	2.18,	33
0.00,	-3,	-3.80,	-3.00,	0.00,	4.38,	0.00,	0.00,	14.39,	0.00,	0,	23.92,	2.08,	32
0.00,	-5,	-4.00,	-3.00,	0.00,	2.24,	0.00,	0.00,	16.55,	0.00,	0,	24.17,	2.32,	33
0.00,	1,	-3.20,	-2.00,	0.00,	1.46,	0.00,	0.00,	16.86,	0.00,	0,	26.04,	2.23,	35
0.00,	-5,	-3.40,	-2.00,	0.00,	2.92,	0.00,	0.00,	12.27,	0.00,	0,	26.18,	1.72,	33
0.00,	-1,	-2.60,	-2.00,	0.00,	5.47,	0.00,	0.00,	13.80,	0.00,	0,	23.74,	2.00,	32
0.00,	-4,	-2.80,	-2.00,	0.00,	2.61,	0.00,	0.00,	16.15,	0.00,	0,	24.15,	2.27,	33
0.00,	-5,	-2.80,	-2.00,	0.00,	1.65,	0.00,	0.00,	14.32,	0.00,	0,	24.63,	1.95,	34
0.00,	0,	-3.00,	-2.00,	0.00,	4.51,	0.00,	0.00,	15.64,	0.00,	0,	25.80,	2.13,	34
0.00,	-4,	-2.80,	-2.00,	0.00,	-0.83,	0.00,	0.00,	15.40,	0.00,	0,	25.51,	2.16,	33
0.00,	-1,	-2.80,	-2.00,	0.00,	4.70,	0.00,	0.00,	10.72,	0.00,	0,	25.31,	1.50,	33
0.00,	-6,	-3.20,	-2.00,	0.00,	-1.12,	0.00,	0.00,	13.59,	0.00,	0,	23.59,	1.97,	32
0.00,	-4,	-3.00,	-2.00,	0.00,	4.36,	0.00,	0.00,	12.67,	0.00,	0,	24.83,	1.78,	33
0.00,	-3,	-3.60,	-2.00,	0.00,	3.10,	0.00,	0.00,	46.39,	0.00,	0,	25.25,	6.51,	33
0.00,	-5,	-3.80,	-2.00,	-1.00,	-0.80,	0.00,	0.00,	14.52,	0.00,	0,	23.97,	2.10,	32
0.00,	-1,	-3.80,	-2.00,	0.00,	5.59,	0.00,	0.00,	10.04,	0.00,	0,	24.63,	1.41,	33
0.00,	-5,	-3.60,	-3.00,	0.00,	1.55,	0.00,	0.00,	15.71,	0.00,	0,	23.93,	2.20,	33
0.00,	0,	-2.80,	-2.00,	0.00,	5.09,	0.00,	0.00,	15.62,	0.00,	0,	24.99,	2.19,	33
0.00,	-4,	-3.00,	-2.00,	0.00,	2.20,	0.00,	0.00,	12.27,	0.00,	0,	25.00,	1.72,	33
0.00,	-1,	-2.20,	-2.00,	1.00,	5.70,	0.00,	0.00,	15.25,	0.00,	0,	24.22,	2.14,	33
0.00,	-3,	-2.60,	-3.00,	0.00,	4.78,	0.00,	0.00,	13.87,	0.00,	0,	24.04,	2.01,	32
0.00,	-5,	-2.60,	-3.00,	0.00,	2.39,	0.00,	0.00,	17.02,	0.00,	0,	24.27,	2.32,	34
0.00,	-1,	-2.80,	-3.00,	0.00,	5.00,	0.00,	0.00,	15.51,	0.00,	0,	25.38,	2.18,	33
0.00,	-6,	-3.20,	-3.00,	0.00,	0.97,	0.00,	0.00,	14.03,	0.00,	0,	23.48,	2.03,	32
0.00,	3,	-2.40,	-2.00,	0.00,	5.05,	0.00,	0.00,	14.34,	0.00,	0,	24.67,	2.07,	32
0.00,	-6,	-3.00,	-2.00,	0.00,	-1.10,	0.00,	0.00,	16.57,	0.00,	0,	26.04,	2.26,	34
0.00,	-6,	-3.20,	-2.00,	0.00,	3.96,	0.00,	0.00,	14.29,	0.00,	0,	26.04,	1.95,	34
0.00,	-3,	-3.60,	-2.00,	0.00,	3.34,	0.00,	0.00,	15.07,	0.00,	0,	25.38,	2.18,	32
0.00,	-5,	-3.40,	-2.00,	-1.00,	-4.46,	0.00,	0.00,	15.97,	0.00,	0,	25.13,	2.24,	33
0.00,	-3,	-4.60,	-2.00,	-1.00,	4.34,	0.00,	0.00,	11.91,	0.00,	0,	25.97,	1.62,	34
0.00,	-3,	-4.00,	-2.00,	-1.00,	2.07,	0.00,	0.00,	16.69,	0.00,	0,	24.75,	2.27,	34
0.00,	-1,	-3.00,	-2.00,	0.00,	3.54,	0.00,	0.00,	15.42,	0.00,	0,	24.88,	2.10,	34
0.00,	-3,	-3.00,	-2.00,	0.00,	3.25,	0.00,	0.00,	12.69,	0.00,	0,	24.83,	1.78,	33
0.00,	-2,	-2.40,	-2.00,	0.00,	4.41,	0.00,	0.00,	15.07,	0.00,	0,	24.16,	2.11,	33
0.00,	-2,	-2.20,	-2.00,	0.00,	3.27,	0.00,	0.00,	16.88,	0.00,	0,	25.38,	2.30,	34
0.00,	-4,	-2.40,	-2.00,	0.00,	2.25,	0.00,	0.00,	16.55,	0.00,	0,	25.65,	2.25,	34
