
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	-2.00,	0.00,	-1.00,	0.94,	0.00,	22.26,	0.00,	0,	25.00,	2.94,	35
0.00,	-2,	-2.00,	0.00,	-1.00,	2.15,	0.00,	21.00,	0.00,	0,	24.75,	2.78,	35
0.00,	0,	-1.60,	0.00,	-1.00,	0.66,	0.00,	19.55,	0.00,	0,	25.38,	2.59,	35
0.00,	-4,	-2.20,	0.00,	-1.00,	-0.47,	0.00,	22.02,	0.00,	0,	27.58,	2.83,	36
0.00,	-1,	-2.00,	0.00,	-1.00,	1.28,	0.00,	21.27,	0.00,	0,	25.64,	2.81,	35
0.00,	-1,	-1.60,	0.00,	0.00,	0.22,	0.00,	21.71,	0.00,	0,	25.51,	2.87,	35
0.00,	-2,	-1.60,	0.00,	0.00,	0.93,	0.00,	13.83,	0.00,	0,	26.99,	1.78,	36
0.00,	-1,	-1.80,	0.00,	0.00,	1.96,	0.00,	23.05,	0.00,	0,	26.18,	2.96,	36
0.00,	-1,	-1.20,	0.00,	0.00,	0.47,	0.00,	19.20,	0.00,	0,	28.24,	2.40,	37
0.00,	0,	-1.00,	0.00,	0.00,	2.35,	0.00,	23.65,	0.00,	3,	26.46,	3.04,	36
0.00,	-3,	-1.40,	0.00,	-1.00,	0.15,	0.00,	19.39,	0.00,	3,	26.60,	2.64,	34
0.00,	0,	-1.00,	0.00,	-1.00,	2.25,	0.00,	15.50,	0.00,	3,	24.91,	2.11,	34
0.00,	-3,	-1.40,	0.00,	-1.00,	2.22,	0.00,	23.63,	0.00,	3,	25.13,	3.13,	35
0.00,	-2,	-1.60,	0.00,	-1.00,	-0.01,	0.00,	22.64,	0.00,	3,	24.88,	2.91,	36
0.00,	-1,	-1.80,	0.00,	-1.00,	1.19,	0.00,	22.73,	0.00,	3,	26.04,	3.01,	35
0.00,	0,	-1.20,	0.00,	-1.00,	0.52,	0.00,	21.91,	0.00,	3,	25.51,	2.90,	35
0.00,	-3,	-1.80,	0.00,	-1.00,	0.59,	0.00,	16.99,	0.00,	3,	25.18,	2.25,	35
0.00,	0,	-1.20,	0.00,	0.00,	1.81,	0.00,	22.15,	0.00,	3,	23.92,	2.93,	35
0.00,	-2,	-1.20,	0.00,	0.00,	0.19,	0.00,	23.69,	0.00,	3,	25.54,	3.05,	36
0.00,	-2,	-1.40,	0.00,	0.00,	0.30,	0.00,	16.54,	0.00,	3,	25.13,	2.19,	35
0.00,	0,	-1.40,	0.00,	0.00,	0.64,	0.00,	24.09,	0.00,	3,	25.91,	3.10,	36
0.00,	-4,	-1.60,	0.00,	0.00,	0.66,	0.00,	30.35,	0.00,	3,	24.88,	4.01,	35
0.00,	0,	-1.60,	0.00,	-1.00,	1.13,	0.00,	22.53,	0.00,	3,	25.51,	2.98,	35
0.00,	-2,	-1.60,	0.00,	-1.00,	1.13,	0.00,	22.53,	0.00,	3,	24.88,	2.98,	35
0.00,	-5,	-2.20,	0.00,	-1.00,	-0.51,	0.00,	13.12,	0.00,	3,	24.51,	1.84,	33
0.00,	-1,	-2.40,	0.00,	-1.00,	0.73,	0.00,	21.58,	0.00,	3,	24.39,	2.94,	34
0.00,	-2,	-2.00,	0.00,	-1.00,	0.87,	0.00,	23.57,	0.00,	3,	24.52,	3.12,	35
0.00,	-3,	-2.60,	-1.00,	-1.00,	-1.33,	0.00,	22.95,	0.00,	3,	24.68,	3.04,	35
0.00,	-2,	-2.60,	-1.00,	-1.00,	1.12,	0.00,	23.06,	0.00,	3,	27.30,	2.97,	36
0.00,	-1,	-1.80,	0.00,	0.00,	0.99,	0.00,	18.35,	0.00,	3,	26.60,	2.36,	36
0.00,	-3,	-2.20,	0.00,	0.00,	-0.12,	0.00,	21.49,	0.00,	3,	25.26,	2.84,	35
0.00,	-1,	-2.00,	0.00,	0.00,	-0.29,	0.00,	18.99,	0.00,	3,	26.18,	2.51,	35
0.00,	0,	-1.40,	0.00,	0.00,	1.89,	0.00,	18.90,	0.00,	3,	25.77,	2.50,	35
0.00,	-3,	-1.60,	0.00,	0.00,	-0.83,	0.00,	22.94,	0.00,	3,	28.25,	2.95,	36
0.00,	-2,	-1.80,	0.00,	-1.00,	1.68,	0.00,	27.13,	0.00,	3,	24.88,	3.59,	35
0.00,	-1,	-1.40,	0.00,	0.00,	0.25,	0.00,	21.15,	0.00,	3,	25.56,	2.88,	34
0.00,	-1,	-1.40,	0.00,	-1.00,	0.93,	0.00,	23.08,	0.00,	3,	26.91,	2.97,	36
0.00,	-3,	-2.00,	0.00,	-1.00,	2.41,	0.00,	21.85,	0.00,	3,	26.73,	2.81,	36
0.00,	-3,	-2.00,	0.00,	-1.00,	1.03,	0.00,	22.88,	0.00,	3,	25.77,	2.94,	36
0.00,	-1,	-1.80,	0.00,	-1.00,	0.76,	0.00,	20.33,	0.00,	3,	25.77,	2.61,	36
0.00,	-3,	-2.20,	0.00,	-1.00,	1.72,	0.00,	22.69,	0.00,	3,	25.13,	2.92,	36
0.00,	-1,	-2.20,	0.00,	-1.00,	2.52,	0.00,	17.66,	0.00,	3,	25.64,	2.34,	35
0.00,	-3,	-2.20,	0.00,	-1.00,	0.53,	0.00,	22.26,	0.00,	3,	25.26,	2.94,	35
0.00,	-2,	-2.00,	0.00,	-1.00,	1.10,	0.00,	21.68,	0.00,	3,	26.18,	2.87,	35
0.00,	-1,	-2.00,	0.00,	-1.00,	0.85,	0.00,	19.47,	0.00,	3,	24.28,	2.58,	35
0.00,	0,	-1.40,	0.00,	-1.00,	2.57,	0.00,	21.91,	0.00,	3,	25.00,	2.82,	36
0.00,	0,	-1.20,	0.00,	-1.00,	1.83,	0.00,	17.82,	0.00,	3,	24.75,	2.50,	33
0.00,	-1,	-0.80,	0.00,	0.00,	-1.06,	0.00,	22.62,	0.00,	3,	24.51,	2.99,	35
0.00,	-2,	-0.80,	0.00,	0.00,	-0.22,	0.00,	19.86,	0.00,	3,	24.51,	2.70,	34
0.00,	-1,	-0.80,	0.00,	0.00,	0.72,	0.00,	14.45,	0.00,	3,	25.00,	1.91,	35
0.00,	-3,	-1.40,	0.00,	0.00,	-0.58,	0.00,	20.77,	0.00,	3,	24.63,	2.83,	34
0.00,	0,	-1.40,	0.00,	-1.00,	4.22,	0.00,	19.17,	0.00,	3,	24.39,	2.61,	34
0.00,	-1,	-1.40,	0.00,	-1.00,	-1.39,	0.00,	21.37,	0.00,	3,	25.00,	2.91,	34
0.00,	-4,	-1.80,	0.00,	-1.00,	-0.89,	0.00,	22.04,	0.00,	3,	25.74,	2.92,	35
0.00,	-2,	-2.00,	0.00,	-1.00,	1.65,	0.00,	18.04,	0.00,	3,	25.51,	2.39,	35
0.00,	-2,	-1.80,	0.00,	-1.00,	0.22,	0.00,	19.49,	0.00,	3,	24.88,	2.65,	34
0.00,	-4,	-2.60,	-1.00,	0.00,	-0.29,	0.00,	18.01,	0.00,	3,	24.28,	2.45,	34
0.00,	-1,	-2.60,	-1.00,	0.00,	-0.15,	0.00,	18.26,	0.00,	3,	24.27,	2.64,	32
0.00,	0,	-1.80,	0.00,	0.00,	1.68,	0.00,	22.39,	0.00,	3,	26.04,	2.96,	35
0.00,	0,	-1.40,	0.00,	0.00,	2.52,	0.00,	21.98,	0.00,	3,	25.91,	2.91,	35
0.00,	-2,	-1.40,	0.00,	0.00,	-0.53,	0.00,	20.27,	0.00,	3,	25.92,	2.84,	33
0.00,	-1,	-0.80,	0.00,	0.00,	1.04,	0.00,	16.47,	0.00,	3,	25.02,	2.18,	35
0.00,	0,	-0.60,	0.00,	0.00,	-0.37,	0.00,	22.33,	0.00,	3,	23.92,	2.95,	35
0.00,	0,	-0.60,	0.00,	0.00,	-0.66,	0.00,	20.23,	0.00,	3,	26.18,	2.60,	36
0.00,	0,	-0.60,	0.00,	0.00,	-0.25,	0.00,	21.98,	0.00,	3,	25.13,	2.91,	35
0.00,	0,	-0.20,	0.00,	0.00,	-0.57,	0.00,	23.25,	0.00,	3,	27.47,	2.99,	36
0.00,	0,	0.00,	0.00,	0.00,	1.09,	0.00,	14.98,	0.00,	3,	23.81,	2.10,	33
0.00,	0,	0.00,	0.00,	0.00,	0.40,	0.00,	23.59,	0.00,	3,	25.90,	3.03,	36
0.00,	0,	0.00,	0.00,	0.00,	-0.39,	0.00,	19.40,	0.00,	3,	25.25,	2.72,	33
0.00,	-3,	-0.60,	0.00,	0.00,	2.44,	0.00,	20.95,	0.00,	3,	25.38,	2.85,	34
0.00,	-2,	-1.00,	0.00,	0.00,	0.65,	0.00,	22.20,	0.00,	3,	26.32,	2.94,	35
0.00,	0,	-1.00,	0.00,	0.00,	2.32,	0.00,	14.98,	0.00,	3,	25.00,	1.98,	35
0.00,	-4,	-1.80,	0.00,	-1.00,	0.63,	0.00,	22.33,	0.00,	3,	26.32,	2.95,	35
