
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-34,	266,	204,	3418,	41.2448
-34,	266,	204,	3418,	41.2448
-34.3,	267,	204,	3418,	41.2498
-34.3,	268,	204,	3418,	41.2547
-33.9,	269,	204,	3418,	41.2597
-33.4,	270,	204,	3418,	41.2647
-33.4,	270,	204,	3418,	41.2697
-33.6,	271,	206,	3419,	41.2746
-33.6,	271,	206,	3419,	41.2746
-33.7,	272,	206,	3419,	41.2796
-34.6,	273,	206,	3419,	41.2845
-34.6,	274,	206,	3419,	41.2895
-34.2,	274,	206,	3419,	41.2945
-32.3,	275,	206,	3419,	41.2995
-31.5,	276,	221,	3420,	41.3045
-31.5,	276,	221,	3420,	41.3045
-30.6,	277,	221,	3420,	41.3094
-30.4,	278,	221,	3420,	41.3144
-30.1,	279,	221,	3420,	41.3194
-29.6,	279,	221,	3420,	41.3244
-29.9,	280,	221,	3420,	41.3293
-30.6,	281,	222,	3421,	41.3343
-30.6,	281,	222,	3421,	41.3343
-30.5,	282,	222,	3421,	41.3393
-30.6,	283,	222,	3421,	41.3443
-31.5,	283,	222,	3421,	41.3493
-31.5,	284,	222,	3421,	41.3542
-31.7,	285,	222,	3421,	41.3592
-31.7,	286,	229,	3422,	41.3642
-31.7,	286,	229,	3422,	41.3642
-31.7,	287,	229,	3422,	41.3691
-31.7,	287,	229,	3422,	41.3741
-32.6,	288,	229,	3422,	41.3791
-32.8,	289,	229,	3422,	41.3841
-32.1,	290,	229,	3422,	41.389
-31.4,	291,	231,	3423,	41.394
-31.4,	291,	231,	3423,	41.394
-31,	291,	231,	3423,	41.3991
-30.4,	292,	231,	3423,	41.404
-30.4,	293,	231,	3423,	41.409
-30.4,	294,	231,	3423,	41.4139
-30.3,	295,	231,	3423,	41.4189
-30.7,	296,	238,	3424,	41.4239
-30.7,	296,	238,	3424,	41.4239
-31.2,	296,	238,	3424,	41.4288
-31.7,	297,	238,	3424,	41.4338
-31.8,	298,	238,	3424,	41.4388
-33.3,	299,	238,	3424,	41.4438
-34.3,	300,	238,	3424,	41.4488
-34.5,	300,	240,	3425,	41.4537
-34.5,	300,	240,	3425,	41.4537
-34.5,	301,	240,	3425,	41.4587
-34.4,	302,	240,	3425,	41.4637
-33,	303,	240,	3425,	41.4686
-33.1,	304,	240,	3425,	41.4736
-33.1,	304,	240,	3425,	41.4786
-29.3,	315,	247,	3426,	41.5432
-29.3,	315,	249,	3426,	41.5432
-27.2,	315,	249,	3426,	41.5482
-26.7,	316,	249,	3426,	41.5532
-26.6,	317,	249,	3426,	41.5581
-26.6,	318,	249,	3426,	41.5631
-27,	319,	249,	3426,	41.5681
-27.1,	319,	249,	3427,	41.573
-27.1,	319,	249,	3427,	41.573
-26.9,	320,	249,	3427,	41.578
-26.7,	321,	249,	3427,	41.583
-26.2,	322,	249,	3427,	41.588
-25.6,	322,	249,	3427,	41.5929
-25.2,	323,	249,	3427,	41.598
-25,	324,	256,	3428,	41.6029
-25,	324,	256,	3428,	41.6029
-24,	325,	256,	3428,	41.6079
-23.4,	326,	256,	3428,	41.6129
-21.7,	326,	256,	3428,	41.6178
-21.2,	327,	256,	3428,	41.6228
-21.5,	328,	256,	3428,	41.6277
-21.1,	329,	257,	3429,	41.6327
-21.1,	329,	257,	3429,	41.6327
-21.1,	329,	257,	3429,	41.6377
-20.7,	330,	257,	3429,	41.6427
-19,	331,	257,	3429,	41.6477
-17.5,	332,	257,	3429,	41.6526
-16,	332,	257,	3429,	41.6576
-14.7,	333,	263,	3430,	41.6626
-14.7,	333,	263,	3430,	41.6626
-13.8,	334,	263,	3430,	41.6675
-11.9,	335,	263,	3430,	41.6725
-10.6,	335,	263,	3430,	41.6775
-10.8,	336,	263,	3430,	41.6825
-9.5,	337,	263,	3430,	41.6875
-9.2,	338,	264,	3431,	41.6925
-9.2,	338,	264,	3431,	41.6925
-8.4,	338,	264,	3431,	41.6976
-7.7,	339,	264,	3431,	41.7024
-7.2,	340,	264,	3431,	41.7074
-6,	341,	264,	3431,	41.7123
-5.3,	341,	264,	3431,	41.7173
-4.1,	342,	270,	3432,	41.7223
-4.1,	342,	270,	3432,	41.7223
-1.5,	343,	270,	3432,	41.7273
-0.7,	344,	270,	3432,	41.7322
0.4,	344,	270,	3432,	41.7372
1.8,	345,	270,	3432,	41.7422
2.4,	346,	270,	3432,	41.7473
5.1,	347,	272,	3433,	41.7521
5.1,	347,	272,	3433,	41.7521
6.6,	347,	272,	3433,	41.7571
8.1,	348,	272,	3433,	41.7621
8.8,	349,	272,	3433,	41.7671
9.9,	350,	272,	3433,	41.772
11.3,	351,	272,	3433,	41.777
12.3,	351,	278,	3434,	41.782
12.3,	351,	279,	3434,	41.782
12.3,	352,	279,	3434,	41.7869
12.9,	353,	279,	3434,	41.7919
13.4,	354,	279,	3434,	41.7969
13.9,	354,	279,	3434,	41.8019
16.5,	355,	279,	3434,	41.8068
18.5,	356,	279,	3435,	41.8118
18.5,	356,	279,	3435,	41.8118
19.6,	357,	279,	3435,	41.8171
20.1,	357,	279,	3435,	41.8217
21.1,	358,	279,	3435,	41.8267
23.7,	359,	279,	3435,	41.8317
24.7,	0,	279,	3435,	41.8367
25,	1,	285,	3436,	41.8417
25,	1,	287,	3436,	41.8417
26.4,	1,	287,	3436,	41.8469
27.8,	2,	287,	3436,	41.8517
28.1,	3,	287,	3436,	41.8567
28.4,	4,	287,	3436,	41.8617
30,	4,	287,	3436,	41.8667
30.7,	5,	287,	3437,	41.8717
30.7,	5,	287,	3437,	41.8717
31.9,	6,	287,	3437,	41.8767
33.1,	7,	287,	3437,	41.8817
33.6,	7,	287,	3437,	41.8867
34,	8,	287,	3437,	41.8918
36.2,	9,	287,	3437,	41.897
37.9,	10,	293,	3438,	41.9018
37.9,	10,	293,	3438,	41.9018
38.2,	10,	293,	3438,	41.9068
38.5,	11,	293,	3438,	41.9118
38.9,	12,	293,	3438,	41.9167
39.8,	13,	293,	3438,	41.9218
40,	14,	293,	3438,	41.9269
40.5,	14,	294,	3439,	41.9318
40.5,	14,	294,	3439,	41.9318
40.6,	15,	294,	3439,	41.9368
40.8,	16,	294,	3439,	41.9418
40.8,	17,	294,	3439,	41.947
41.1,	17,	294,	3439,	41.9518
42.3,	18,	294,	3439,	41.9568
43.3,	18,	300,	3440,	41.9611
43.3,	18,	300,	3440,	41.9611
44.2,	19,	300,	3440,	41.966
45.8,	20,	300,	3440,	41.971
46.7,	21,	300,	3440,	41.976
47.4,	21,	300,	3440,	41.9809
48,	22,	300,	3440,	41.9859
48.2,	23,	302,	3441,	41.9908
48.2,	23,	302,	3441,	41.9908
48,	24,	302,	3441,	41.9959
47.8,	25,	302,	3441,	42.0008
46.9,	25,	302,	3441,	42.0058
46.4,	26,	302,	3441,	42.0107
46,	27,	302,	3441,	42.0157
47.1,	28,	308,	3442,	42.0207
47.1,	28,	308,	3442,	42.0207
48.5,	29,	308,	3442,	42.0257
48.8,	29,	308,	3442,	42.0306
49.7,	30,	308,	3442,	42.0356
49.3,	31,	308,	3442,	42.0406
49.6,	32,	308,	3442,	42.0456
49.8,	33,	309,	3443,	42.0505
49.8,	33,	309,	3443,	42.0505
49.5,	33,	309,	3443,	42.0555
51,	34,	309,	3443,	42.0605
52,	35,	309,	3443,	42.0655
53,	36,	309,	3443,	42.0704
54.5,	37,	309,	3443,	42.0754
54.5,	37,	315,	3444,	42.0804
54.5,	37,	315,	3444,	42.0804
54.5,	38,	315,	3444,	42.0853
51.9,	39,	315,	3444,	42.0903
49.2,	40,	315,	3444,	42.0954
49,	41,	315,	3444,	42.1003
48.7,	41,	315,	3444,	42.1053
49.5,	42,	316,	3445,	42.1102
49.5,	42,	316,	3445,	42.1102
49.3,	43,	316,	3445,	42.1152
49.1,	44,	316,	3445,	42.1202
49.3,	45,	316,	3445,	42.1251
48,	45,	316,	3445,	42.1301
47.6,	46,	316,	3445,	42.1351
47.1,	47,	322,	3446,	42.14
47.1,	47,	322,	3446,	42.14
46.6,	48,	322,	3446,	42.1451
46.7,	49,	322,	3446,	42.15
48.1,	50,	322,	3446,	42.155
49.1,	50,	322,	3446,	42.1599
