
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

42.5,	84,	204,	467,	119.715
42.5,	84,	204,	467,	119.715
43.7,	85,	204,	467,	119.72
44.3,	86,	204,	467,	119.725
44.3,	87,	204,	467,	119.73
44.5,	88,	204,	467,	119.735
44.2,	88,	204,	467,	119.74
24.6,	127,	270,	468,	119.986
24.6,	127,	270,	468,	119.986
22.8,	128,	270,	468,	119.991
22.4,	129,	270,	468,	119.996
22.3,	130,	270,	468,	120.001
21.8,	130,	270,	468,	120.007
21.5,	131,	270,	468,	120.012
-19.6,	165,	308,	469,	120.228
-19.6,	165,	308,	469,	120.228
-20.5,	165,	308,	469,	120.233
-22.1,	166,	308,	469,	120.238
-22.8,	167,	308,	469,	120.243
-23,	168,	308,	469,	120.248
-23,	169,	308,	469,	120.253
-38.2,	198,	343,	470,	120.439
-38.2,	198,	343,	470,	120.439
-39.3,	198,	343,	470,	120.444
-39.9,	199,	343,	470,	120.449
-40,	200,	343,	470,	120.454
-40.4,	201,	343,	470,	120.459
-40.9,	202,	343,	470,	120.464
-53.5,	227,	19,	471,	120.62
-53.5,	227,	19,	471,	120.62
-53.9,	228,	19,	471,	120.625
-54.7,	229,	19,	471,	120.63
-54.5,	230,	19,	471,	120.635
-53.6,	231,	19,	471,	120.64
-53.1,	231,	19,	471,	120.645
-44.3,	260,	59,	472,	120.831
-44.3,	260,	59,	472,	120.831
-43.8,	261,	59,	472,	120.836
-43.3,	261,	59,	472,	120.841
-43.2,	262,	59,	472,	120.846
-43.1,	263,	59,	472,	120.851
-42.9,	264,	59,	472,	120.856
-22.6,	293,	97,	473,	121.042
-22.6,	293,	97,	473,	121.042
-23.1,	294,	97,	473,	121.047
-23,	294,	97,	473,	121.052
-23,	295,	97,	473,	121.057
-22.8,	296,	97,	473,	121.062
-23.1,	297,	97,	473,	121.067
-19,	321,	135,	474,	121.223
-19,	321,	135,	474,	121.223
-19.5,	322,	135,	474,	121.228
-19.5,	323,	135,	474,	121.233
-20.1,	324,	135,	474,	121.238
-21,	324,	135,	474,	121.243
-20.9,	325,	135,	474,	121.248
-4.5,	354,	179,	475,	121.433
-4.5,	354,	179,	475,	121.433
-4.2,	354,	179,	475,	121.438
-4,	355,	179,	475,	121.444
-3.3,	356,	179,	475,	121.449
-1.3,	357,	179,	475,	121.454
-0.1,	358,	179,	475,	121.459
29.2,	22,	225,	476,	121.615
29.2,	22,	225,	476,	121.615
30.1,	22,	225,	476,	121.62
31.6,	23,	225,	476,	121.625
31.8,	24,	225,	476,	121.63
31.6,	25,	225,	476,	121.635
30.1,	26,	225,	476,	121.64
59.7,	66,	263,	477,	121.886
59.7,	66,	263,	477,	121.886
57.2,	66,	263,	477,	121.891
56.3,	67,	263,	477,	121.896
56,	68,	263,	477,	121.901
55.9,	69,	263,	477,	121.906
56.2,	69,	263,	477,	121.911
35.8,	104,	301,	478,	122.127
35.8,	104,	301,	478,	122.127
35,	105,	301,	478,	122.132
34.2,	105,	301,	478,	122.137
33.7,	106,	301,	478,	122.142
33.5,	107,	301,	478,	122.147
32.8,	108,	301,	478,	122.152
13.5,	137,	338,	479,	122.338
13.5,	137,	338,	479,	122.338
11.5,	138,	338,	479,	122.343
10.9,	138,	338,	479,	122.348
9.8,	139,	338,	479,	122.353
8.1,	140,	338,	479,	122.358
7.4,	141,	338,	479,	122.363
-17.5,	165,	15,	480,	122.519
-17.5,	165,	15,	480,	122.519
-17.6,	165,	15,	480,	122.524
-17.6,	166,	15,	480,	122.529
-17.9,	167,	15,	480,	122.534
-18.1,	168,	15,	480,	122.539
-18.6,	169,	15,	480,	122.544
-36.6,	197,	53,	481,	122.73
-36.6,	197,	53,	481,	122.73
-38.1,	198,	53,	481,	122.735
-39,	199,	53,	481,	122.74
-40,	200,	53,	481,	122.745
-40,	201,	53,	481,	122.75
-39.9,	202,	53,	481,	122.755
-50.7,	238,	90,	482,	122.971
-50.7,	238,	90,	482,	122.971
-51,	239,	90,	482,	122.976
-51.2,	239,	90,	482,	122.981
-52.2,	240,	90,	482,	122.986
-52.7,	241,	90,	482,	122.991
-53.6,	242,	90,	482,	122.996
-35.3,	275,	137,	483,	123.212
-35.3,	275,	137,	483,	123.212
-35.1,	276,	137,	483,	123.217
-34.6,	277,	137,	483,	123.222
-33.8,	278,	137,	483,	123.227
-33.5,	279,	137,	483,	123.232
-32.2,	279,	137,	483,	123.237
-25.5,	309,	186,	484,	123.423
-25.5,	309,	186,	484,	123.423
-25.2,	310,	186,	484,	123.428
-23.9,	311,	186,	484,	123.433
-23.2,	311,	186,	484,	123.438
-23.1,	312,	186,	484,	123.443
-23.4,	313,	186,	484,	123.448
-17.5,	342,	226,	485,	123.634
-17.5,	342,	226,	485,	123.634
-17.5,	342,	226,	485,	123.639
-17.4,	343,	226,	485,	123.644
