
Right power from force,Vector size

-2.4079,	76
-2.4928,	69
-0.4032,	62
-1.9839,	62
-1.2000,	55
-0.9394,	66
-1.6667,	72
-1.7500,	76
-1.1974,	76
-1.3947,	76
-2.0132,	76
-1.2029,	69
-3.0263,	76
-1.3380,	71
-1.2593,	81
-0.3026,	76
-1.9275,	69
-0.7895,	76
-1.3553,	76
-1.2097,	62
-0.7097,	62
-2.5091,	55
-1.0000,	62
-1.6447,	76
-2.6579,	76
-1.0263,	76
-1.7763,	76
-0.9474,	76
-1.5663,	83
-1.2237,	76
-1.4737,	76
-0.6711,	76
-1.2754,	69
-1.4024,	82
-2.0571,	70
-0.6974,	76
-1.4516,	62
-3.1129,	62
-2.4068,	59
-1.1846,	65
-2.4342,	76
-1.9565,	69
-2.0132,	76
-1.9211,	76
-1.1579,	76
-1.1579,	76
-0.6711,	76
-0.3375,	80
-1.0556,	72
-1.1974,	76
-1.2632,	76
-2.5263,	76
0.1014,	69
-1.8226,	62
-1.8387,	62
-1.3871,	62
-1.8795,	83
-0.4928,	69
-0.8421,	76
-1.4096,	83
-0.9474,	76
-1.1594,	69
-0.1711,	76
0.1538,	78
-0.2750,	80
-0.1558,	77
-0.8649,	74
-0.3239,	71
-0.2609,	69
-3.0323,	62
-1.6885,	61
-0.6786,	56
-2.5072,	69
-1.3188,	69
