
Right power from force,Vector size

-3.0263,	76
-1.7632,	76
-2.8553,	76
-2.6957,	69
-1.7536,	69
-0.8871,	62
-1.8065,	62
-1.2097,	62
-2.9516,	62
-1.8421,	76
-0.7531,	81
-2.1549,	71
-2.3553,	76
-1.7391,	69
-2.7564,	78
-2.1081,	74
-2.7500,	76
-1.9079,	76
-2.4079,	76
-1.6184,	76
-1.5132,	76
-0.8261,	69
-1.0323,	62
-1.4355,	62
-0.7903,	62
-3.2754,	69
-2.1447,	76
-1.6447,	76
-2.3421,	76
-1.6316,	76
-3.1184,	76
-1.9855,	69
-1.5663,	83
-1.5395,	76
-2.0658,	76
-0.6184,	76
-1.1842,	76
-1.9868,	76
0.3818,	55
-2.9516,	62
-1.9677,	62
-2.8065,	62
-2.4605,	76
-1.3289,	76
-2.0132,	76
-2.0488,	82
-2.2432,	74
-0.7848,	79
-2.2464,	69
-1.1205,	83
-2.0137,	73
-1.3544,	79
-1.7500,	76
-3.3188,	69
-0.6087,	69
-2.9032,	62
-1.8226,	62
-2.0161,	62
-4.5395,	76
-2.5616,	73
-3.1139,	79
-2.4868,	76
-2.7500,	80
-1.7215,	79
-2.1579,	76
-2.5263,	76
-0.3378,	74
-0.7436,	78
-1.0132,	76
-0.8158,	76
-1.6974,	76
-2.2258,	62
-2.1452,	62
-2.9138,	58
-2.7576,	66
