
Right power from force,Vector size

0.3253,	83
-3.1449,	69
-0.9342,	76
-1.8310,	71
-1.6420,	81
-0.3239,	71
-1.4691,	81
-0.9275,	69
-2.6452,	62
-1.2903,	62
-1.8226,	62
-1.2097,	62
-0.9868,	76
-1.7237,	76
0.6867,	83
-1.6667,	69
-0.0361,	83
-0.7368,	76
-1.9737,	76
-1.3836,	73
-2.0127,	79
-0.9863,	73
-0.7692,	78
-2.3000,	70
0.8406,	69
-1.0645,	62
-0.8136,	59
-0.8966,	58
-1.7391,	69
-0.8421,	76
-0.1711,	76
-0.8158,	76
-1.2105,	76
0.2105,	76
-2.5488,	82
-1.0429,	70
-1.1084,	83
-1.2763,	76
-2.7391,	69
-1.2750,	80
-0.6203,	79
-1.5645,	62
0.4000,	60
0.2456,	57
0.2581,	62
-0.7763,	76
0.3684,	76
-1.0921,	76
-1.7632,	76
-0.5789,	76
-2.4737,	76
-0.1449,	69
-1.8554,	83
-1.3421,	76
-2.7391,	69
-1.9868,	76
-0.5263,	76
0.1316,	76
-0.0161,	62
-1.9194,	62
-1.4516,	62
-2.7391,	69
-1.5921,	76
-1.9605,	76
-2.2105,	76
0.1974,	76
-1.5125,	80
-2.3750,	72
-1.2500,	76
-1.6627,	83
-2.1974,	76
0.1316,	76
-1.9474,	76
-0.4474,	76
