
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	0,	0.00,	0.00,	0.00,	-0.64,	0.00,	15.27,	0.00,	0,	26.04,	2.14,	33
0.00,	0,	0.00,	0.00,	0.00,	-2.56,	0.00,	15.65,	0.00,	0,	25.20,	2.20,	33
0.00,	-1,	-0.20,	0.00,	0.00,	-2.55,	0.00,	17.16,	0.00,	0,	26.04,	2.34,	34
0.00,	0,	-0.20,	0.00,	0.00,	-1.16,	0.00,	15.58,	0.00,	0,	26.32,	2.12,	34
0.00,	0,	-0.20,	0.00,	0.00,	-1.52,	0.00,	13.29,	0.00,	0,	25.38,	1.86,	33
0.00,	-2,	-0.60,	0.00,	0.00,	0.79,	0.00,	16.71,	0.00,	0,	27.17,	2.28,	34
0.00,	1,	-0.40,	0.00,	0.00,	-3.88,	0.00,	15.00,	0.00,	0,	24.39,	2.17,	32
0.00,	0,	-0.20,	0.00,	0.00,	-0.53,	0.00,	10.33,	0.00,	0,	26.60,	1.41,	34
0.00,	1,	0.00,	0.00,	0.00,	-3.23,	0.00,	15.41,	0.00,	0,	25.46,	2.10,	34
0.00,	1,	0.20,	0.00,	1.00,	-3.50,	0.00,	11.70,	0.00,	0,	25.25,	1.69,	32
0.00,	0,	0.60,	0.00,	1.00,	-1.09,	0.00,	14.83,	0.00,	0,	24.39,	2.15,	32
0.00,	0,	0.40,	0.00,	0.00,	-1.81,	0.00,	14.46,	0.00,	0,	24.04,	2.09,	32
0.00,	0,	0.40,	0.00,	0.00,	-0.24,	0.00,	14.78,	0.00,	0,	24.63,	2.01,	34
0.00,	0,	0.20,	0.00,	0.00,	-2.38,	0.00,	16.92,	0.00,	0,	27.93,	2.24,	35
0.00,	0,	0.00,	0.00,	0.00,	-0.53,	0.00,	15.35,	0.00,	0,	26.32,	2.15,	33
0.00,	0,	0.00,	0.00,	0.00,	-1.87,	0.00,	13.84,	0.00,	0,	24.87,	1.88,	34
0.00,	0,	0.00,	0.00,	0.00,	0.10,	0.00,	16.02,	0.00,	0,	26.32,	2.25,	33
0.00,	0,	0.00,	0.00,	0.00,	-1.09,	0.00,	15.11,	0.00,	0,	24.98,	2.19,	32
0.00,	0,	0.00,	0.00,	0.00,	-2.47,	0.00,	12.60,	0.00,	0,	27.17,	1.77,	33
