
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-1,	-0.20,	0.00,	0.00,	-1.12,	0.00,	12.94,	0.00,	0,	25.13,	1.82,	33
0.00,	0,	-0.20,	0.00,	0.00,	-1.73,	0.00,	14.94,	0.00,	0,	25.51,	2.10,	33
0.00,	0,	0.00,	0.00,	0.00,	-0.76,	0.00,	15.64,	0.00,	0,	24.88,	2.13,	34
0.00,	0,	-0.20,	0.00,	0.00,	-2.06,	0.00,	14.07,	0.00,	0,	25.91,	1.92,	34
0.00,	0,	-0.20,	0.00,	0.00,	-2.19,	0.00,	14.33,	0.00,	0,	24.88,	2.01,	33
0.00,	0,	0.00,	0.00,	0.00,	-1.06,	0.00,	9.17,	0.00,	0,	25.13,	1.25,	34
0.00,	-1,	-0.20,	0.00,	0.00,	0.40,	0.00,	14.48,	0.00,	0,	26.31,	1.97,	34
0.00,	0,	-0.20,	0.00,	0.00,	-0.77,	0.00,	12.66,	0.00,	0,	25.51,	1.78,	33
0.00,	0,	-0.20,	0.00,	0.00,	-1.03,	0.00,	15.40,	0.00,	0,	26.39,	2.16,	33
0.00,	-1,	-0.40,	0.00,	0.00,	-0.21,	0.00,	15.10,	0.00,	0,	25.25,	2.06,	34
0.00,	0,	-0.40,	0.00,	0.00,	-1.60,	0.00,	14.17,	0.00,	0,	26.32,	1.93,	34
0.00,	0,	-0.20,	0.00,	0.00,	-0.51,	0.00,	14.54,	0.00,	0,	25.25,	1.98,	34
0.00,	0,	-0.20,	0.00,	0.00,	-2.09,	0.00,	12.16,	0.00,	0,	25.38,	1.66,	34
0.00,	-3,	-0.80,	0.00,	0.00,	0.85,	0.00,	15.89,	0.00,	0,	24.51,	2.10,	35
0.00,	0,	-0.60,	0.00,	0.00,	-1.60,	0.00,	15.19,	0.00,	0,	26.32,	2.07,	34
0.00,	0,	-0.60,	0.00,	0.00,	-1.35,	0.00,	21.36,	0.00,	0,	25.25,	2.91,	34
0.00,	0,	-0.60,	0.00,	0.00,	-0.68,	0.00,	15.14,	0.00,	0,	27.03,	2.06,	34
0.00,	0,	-0.60,	0.00,	0.00,	-1.87,	0.00,	13.13,	0.00,	0,	28.40,	1.79,	34
0.00,	-2,	-0.40,	0.00,	0.00,	1.14,	0.00,	14.48,	0.00,	0,	23.93,	2.03,	33
0.00,	1,	-0.20,	0.00,	0.00,	-3.28,	0.00,	16.20,	0.00,	0,	25.13,	2.21,	34
0.00,	0,	-0.20,	0.00,	0.00,	-0.23,	0.00,	11.05,	0.00,	0,	26.70,	1.50,	34
0.00,	0,	-0.20,	0.00,	0.00,	-1.63,	0.00,	15.70,	0.00,	0,	25.51,	2.14,	34
0.00,	0,	-0.20,	0.00,	0.00,	-1.14,	0.00,	16.55,	0.00,	0,	24.97,	2.25,	34
0.00,	-1,	0.00,	0.00,	0.00,	-0.97,	0.00,	15.21,	0.00,	0,	26.23,	2.13,	33
0.00,	0,	-0.20,	0.00,	0.00,	-2.24,	0.00,	13.71,	0.00,	0,	23.37,	1.98,	32
0.00,	1,	0.00,	0.00,	0.00,	-0.97,	0.00,	19.54,	0.00,	0,	25.90,	2.74,	33
0.00,	1,	0.20,	0.00,	0.00,	-3.42,	0.00,	14.41,	0.00,	0,	27.62,	2.02,	33
0.00,	0,	0.20,	0.00,	0.00,	-0.13,	0.00,	13.57,	0.00,	0,	25.38,	1.85,	34
0.00,	0,	0.40,	0.00,	0.00,	-0.99,	0.00,	15.23,	0.00,	0,	29.07,	2.14,	33
0.00,	0,	0.40,	0.00,	0.00,	-1.51,	0.00,	15.45,	0.00,	0,	26.32,	2.10,	34
0.00,	-2,	-0.20,	0.00,	0.00,	1.42,	0.00,	12.23,	0.00,	0,	25.82,	1.72,	33
0.00,	0,	-0.40,	0.00,	0.00,	-2.74,	0.00,	17.13,	0.00,	0,	24.88,	2.33,	34
0.00,	0,	-0.40,	0.00,	0.00,	-1.46,	0.00,	14.69,	0.00,	0,	28.57,	2.00,	34
0.00,	1,	-0.20,	0.00,	0.00,	-3.13,	0.00,	16.71,	0.00,	0,	26.18,	2.28,	34
0.00,	0,	-0.20,	0.00,	0.00,	-2.64,	0.00,	15.57,	0.00,	0,	25.00,	2.12,	34
0.00,	0,	0.20,	0.00,	0.00,	-1.22,	0.00,	10.02,	0.00,	0,	25.95,	1.36,	34
0.00,	0,	0.20,	0.00,	0.00,	-2.50,	0.00,	16.29,	0.00,	0,	27.62,	2.22,	34
0.00,	0,	0.20,	0.00,	0.00,	-0.58,	0.00,	14.09,	0.00,	0,	27.03,	1.86,	35
0.00,	0,	0.00,	0.00,	0.00,	-1.45,	0.00,	15.62,	0.00,	0,	25.25,	2.19,	33
0.00,	0,	0.00,	0.00,	0.00,	-1.48,	0.00,	12.61,	0.00,	0,	23.81,	1.95,	30
0.00,	0,	0.00,	0.00,	0.00,	-1.64,	0.00,	15.75,	0.00,	0,	24.04,	2.21,	33
0.00,	-1,	-0.20,	0.00,	0.00,	-0.15,	0.00,	14.66,	0.00,	0,	25.39,	2.06,	33
0.00,	0,	-0.20,	0.00,	0.00,	-1.87,	0.00,	12.56,	0.00,	0,	26.04,	1.71,	34
0.00,	0,	-0.20,	0.00,	0.00,	-1.41,	0.00,	15.97,	0.00,	0,	25.13,	2.24,	33
0.00,	0,	-0.20,	0.00,	0.00,	-1.05,	0.00,	15.41,	0.00,	0,	25.64,	2.16,	33
0.00,	1,	0.00,	0.00,	0.00,	-1.85,	0.00,	15.07,	0.00,	0,	25.25,	2.11,	33
0.00,	0,	0.20,	0.00,	0.00,	-1.02,	0.00,	14.28,	0.00,	0,	26.18,	2.07,	32
0.00,	2,	0.60,	0.00,	0.00,	-3.06,	0.00,	13.42,	0.00,	0,	24.39,	1.94,	32
0.00,	5,	1.60,	2.00,	0.00,	20.19,	0.00,	14.64,	0.00,	0,	23.92,	2.12,	32
0.00,	0,	1.60,	2.00,	0.00,	-1.53,	0.00,	20.09,	0.00,	0,	26.46,	2.82,	33
0.00,	0,	1.40,	2.00,	-1.00,	-1.00,	0.00,	16.83,	0.00,	0,	25.64,	2.29,	34
0.00,	1,	1.60,	2.00,	0.00,	-2.59,	0.00,	15.92,	0.00,	0,	26.30,	2.23,	33
0.00,	0,	1.20,	2.00,	-1.00,	-1.41,	0.00,	15.97,	0.00,	0,	24.63,	2.24,	33
0.00,	-2,	-0.20,	0.00,	0.00,	-0.01,	0.00,	15.24,	0.00,	0,	26.04,	2.14,	33
0.00,	-2,	-0.60,	0.00,	0.00,	0.49,	0.00,	10.83,	0.00,	0,	25.00,	1.52,	33
0.00,	0,	-0.60,	0.00,	0.00,	-1.61,	0.00,	16.42,	0.00,	0,	25.64,	2.24,	34
0.00,	1,	-0.60,	0.00,	0.00,	-2.63,	0.00,	14.61,	0.00,	0,	25.85,	1.93,	35
0.00,	0,	-0.60,	0.00,	0.00,	-1.17,	0.00,	15.10,	0.00,	0,	28.74,	2.12,	33
0.00,	-1,	-0.40,	0.00,	0.00,	0.11,	0.00,	15.08,	0.00,	0,	25.13,	2.12,	33
0.00,	0,	0.00,	0.00,	0.00,	-0.56,	0.00,	9.14,	0.00,	0,	24.04,	1.28,	33
0.00,	0,	0.00,	0.00,	0.00,	-1.60,	0.00,	13.77,	0.00,	0,	27.78,	1.99,	32
0.00,	0,	-0.20,	0.00,	0.00,	-0.45,	0.00,	11.35,	0.00,	0,	25.00,	1.64,	32
0.00,	0,	-0.20,	0.00,	0.00,	-0.34,	0.00,	15.48,	0.00,	0,	24.27,	2.17,	33
0.00,	0,	0.00,	0.00,	0.00,	-1.64,	0.00,	16.70,	0.00,	0,	25.33,	2.27,	34
0.00,	0,	0.00,	0.00,	0.00,	-0.92,	0.00,	13.67,	0.00,	0,	26.46,	1.86,	34
0.00,	0,	0.00,	0.00,	0.00,	-1.56,	0.00,	16.84,	0.00,	0,	25.64,	2.23,	35
0.00,	0,	0.00,	0.00,	0.00,	-1.66,	0.00,	17.16,	0.00,	0,	25.38,	2.34,	34
