
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	-2.80,	0.00,	26.54,	0.00,	0,	26.04,	3.07,	40
0.00,	2,	-2.20,	0.00,	25.51,	0.00,	0,	26.23,	2.95,	40
0.00,	-8,	-3.00,	0.00,	25.42,	0.00,	0,	25.51,	2.94,	40
0.00,	-4,	-3.40,	0.00,	23.74,	0.00,	0,	24.15,	2.82,	39
0.00,	-3,	-3.20,	0.00,	89.01,	0.00,	0,	22.52,	10.57,	39
0.00,	-5,	-3.60,	0.00,	29.20,	0.00,	0,	24.36,	3.38,	40
0.00,	-4,	-4.80,	0.00,	24.92,	0.00,	0,	24.96,	2.81,	41
0.00,	-2,	-3.60,	0.00,	26.66,	0.00,	0,	25.13,	3.09,	40
0.00,	-5,	-3.80,	0.00,	29.21,	0.00,	0,	24.30,	3.30,	41
0.00,	-4,	-4.00,	0.00,	38.12,	0.00,	0,	24.50,	4.30,	41
0.00,	0,	-3.00,	0.00,	30.02,	0.00,	0,	24.99,	3.39,	41
0.00,	-8,	-3.80,	0.00,	23.62,	0.00,	0,	26.72,	2.60,	42
0.00,	1,	-3.20,	0.00,	29.39,	0.00,	0,	26.04,	3.24,	42
0.00,	-4,	-3.00,	0.00,	24.48,	0.00,	0,	25.77,	2.70,	42
0.00,	-1,	-2.40,	0.00,	30.05,	0.00,	0,	25.37,	3.31,	42
0.00,	0,	-2.40,	0.00,	28.16,	0.00,	0,	24.39,	3.18,	41
0.00,	-4,	-1.60,	0.00,	29.42,	0.00,	0,	25.51,	3.32,	41
0.00,	0,	-1.80,	0.00,	28.62,	0.00,	0,	25.38,	3.23,	41
0.00,	-4,	-1.80,	0.00,	17.89,	0.00,	0,	24.39,	2.02,	41
0.00,	-4,	-2.40,	0.00,	31.99,	0.00,	0,	25.11,	3.44,	43
0.00,	-10,	-4.40,	0.00,	25.45,	0.00,	0,	27.02,	2.74,	43
0.00,	-4,	-4.40,	0.00,	26.98,	0.00,	0,	26.18,	3.05,	41
0.00,	-5,	-5.40,	0.00,	27.83,	0.00,	0,	25.65,	3.14,	41
0.00,	-5,	-5.60,	0.00,	23.91,	0.00,	0,	26.04,	2.70,	41
0.00,	-2,	-5.20,	0.00,	28.18,	0.00,	0,	25.25,	3.18,	41
0.00,	-1,	-3.40,	0.00,	23.86,	0.00,	0,	25.64,	2.69,	41
0.00,	0,	-2.60,	0.00,	28.75,	0.00,	0,	26.02,	3.25,	41
0.00,	-3,	-2.20,	0.00,	27.21,	0.00,	0,	25.38,	3.07,	41
0.00,	-4,	-2.00,	0.00,	26.30,	0.00,	0,	25.25,	3.04,	40
0.00,	1,	-1.40,	0.00,	27.65,	0.00,	0,	25.25,	3.12,	41
0.00,	-4,	-2.00,	0.00,	25.33,	0.00,	0,	23.97,	2.86,	41
0.00,	-2,	-2.40,	0.00,	27.79,	0.00,	0,	25.38,	3.14,	41
0.00,	-8,	-3.40,	0.00,	27.38,	0.00,	0,	25.38,	3.09,	41
0.00,	-5,	-3.60,	0.00,	28.92,	0.00,	0,	24.51,	3.27,	41
0.00,	-3,	-4.40,	0.00,	30.02,	0.00,	0,	24.26,	3.39,	41
0.00,	-3,	-4.20,	0.00,	20.49,	0.00,	0,	25.77,	2.31,	41
0.00,	-1,	-4.00,	0.00,	27.25,	0.00,	0,	25.51,	3.15,	40
0.00,	-2,	-2.80,	0.00,	27.67,	0.00,	0,	24.88,	3.12,	41
0.00,	-5,	-2.80,	0.00,	27.16,	0.00,	0,	24.04,	3.14,	40
0.00,	-3,	-2.80,	0.00,	28.24,	0.00,	0,	25.13,	3.27,	40
0.00,	-1,	-2.40,	0.00,	19.11,	0.00,	0,	25.87,	2.11,	42
0.00,	-4,	-3.00,	0.00,	27.70,	0.00,	0,	24.51,	3.21,	40
0.00,	-3,	-3.20,	0.00,	28.34,	0.00,	0,	25.77,	3.20,	41
0.00,	0,	-2.20,	0.00,	28.71,	0.00,	0,	24.51,	3.24,	41
0.00,	-3,	-2.20,	0.00,	30.59,	0.00,	0,	25.03,	3.37,	42
0.00,	-5,	-3.00,	0.00,	19.66,	0.00,	0,	25.51,	2.22,	41
0.00,	-4,	-3.00,	0.00,	28.75,	0.00,	0,	25.25,	3.25,	41
0.00,	-6,	-3.60,	0.00,	29.32,	0.00,	0,	26.04,	3.23,	42
0.00,	-5,	-4.60,	0.00,	27.88,	0.00,	0,	23.70,	3.15,	41
0.00,	-4,	-4.80,	0.00,	28.57,	0.00,	0,	24.05,	3.23,	41
0.00,	-3,	-4.40,	0.00,	29.03,	0.00,	0,	24.15,	3.36,	40
0.00,	-4,	-4.40,	0.00,	29.56,	0.00,	0,	25.67,	3.34,	41
0.00,	-6,	-4.40,	0.00,	21.46,	0.00,	0,	26.04,	2.48,	40
0.00,	-4,	-4.20,	0.00,	25.11,	0.00,	0,	25.00,	2.91,	40
0.00,	-2,	-3.80,	0.00,	27.35,	0.00,	0,	24.39,	3.17,	40
0.00,	-4,	-4.00,	0.00,	26.85,	0.00,	0,	23.70,	3.11,	40
0.00,	-2,	-3.60,	0.00,	26.65,	0.00,	0,	25.13,	3.08,	40
0.00,	-2,	-2.80,	0.00,	23.36,	0.00,	0,	24.88,	2.64,	41
0.00,	-3,	-2.60,	0.00,	29.38,	0.00,	0,	23.70,	3.32,	41
0.00,	-7,	-3.60,	0.00,	29.74,	0.00,	0,	24.38,	3.28,	42
0.00,	-3,	-3.40,	0.00,	27.61,	0.00,	0,	24.63,	3.28,	39
0.00,	-3,	-3.60,	0.00,	27.89,	0.00,	0,	25.13,	3.23,	40
0.00,	-4,	-4.00,	0.00,	17.44,	0.00,	0,	25.00,	2.02,	40
0.00,	-3,	-4.00,	0.00,	25.56,	0.00,	0,	24.63,	3.03,	39
0.00,	-1,	-2.80,	0.00,	28.43,	0.00,	0,	23.23,	3.29,	40
0.00,	-4,	-3.00,	0.00,	19.84,	0.00,	0,	24.28,	2.30,	40
0.00,	-6,	-3.60,	0.00,	27.92,	0.00,	0,	25.25,	3.23,	40
0.00,	-5,	-3.80,	0.00,	27.77,	0.00,	0,	25.51,	3.14,	41
0.00,	-4,	-4.00,	0.00,	28.14,	0.00,	0,	23.70,	3.18,	41
0.00,	-1,	-4.00,	0.00,	29.47,	0.00,	0,	24.88,	3.33,	41
0.00,	-5,	-4.20,	0.00,	14.97,	0.00,	0,	24.39,	1.69,	41
0.00,	-5,	-4.00,	0.00,	28.46,	0.00,	0,	25.31,	3.21,	41
0.00,	-5,	-4.00,	0.00,	29.10,	0.00,	0,	24.51,	3.29,	41
0.00,	-7,	-4.60,	0.00,	28.25,	0.00,	0,	24.63,	3.27,	40
0.00,	-1,	-4.60,	0.00,	29.69,	0.00,	0,	23.58,	3.35,	41
