
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

-9.4,	156,	0,	125,	30.2755
-9.4,	156,	0,	125,	30.2755
-8.8,	157,	0,	125,	30.2804
-8.6,	158,	0,	125,	30.2855
-9,	159,	0,	125,	30.2904
-10.5,	159,	0,	125,	30.2954
-11.7,	160,	0,	125,	30.3005
-34.3,	188,	0,	126,	30.4865
-34.3,	188,	0,	126,	30.4865
-33.2,	189,	0,	126,	30.4916
-33.1,	190,	0,	126,	30.4966
-34.2,	191,	0,	126,	30.5016
-35.1,	191,	0,	126,	30.5067
-36,	192,	0,	126,	30.5117
-63.7,	225,	0,	127,	30.7279
-63.7,	225,	0,	127,	30.7279
-63.3,	226,	0,	127,	30.733
-63.1,	227,	0,	127,	30.738
-62.5,	228,	0,	127,	30.743
-61.7,	228,	0,	127,	30.748
-61.7,	229,	0,	127,	30.7531
-25.9,	281,	0,	128,	31.09
-25.9,	281,	0,	128,	31.09
-26.4,	282,	0,	128,	31.095
-26.6,	283,	0,	128,	31.1
-26.8,	283,	0,	128,	31.1051
-27.5,	284,	0,	128,	31.1101
-27.6,	285,	0,	128,	31.1151
-19.8,	314,	0,	129,	31.3014
-19.8,	314,	0,	129,	31.3014
-19.9,	315,	0,	129,	31.3064
-20.1,	316,	0,	129,	31.3115
-20.1,	316,	0,	129,	31.3164
-20.3,	317,	0,	129,	31.3214
-21.5,	318,	0,	129,	31.3264
-8.9,	340,	0,	130,	31.4823
-8.9,	340,	0,	130,	31.4823
-7.8,	340,	0,	130,	31.4874
-6.5,	341,	0,	130,	31.4924
-4.5,	342,	0,	130,	31.4975
-2.6,	342,	0,	130,	31.5024
-2.2,	343,	0,	130,	31.5075
34.4,	9,	0,	131,	31.6936
34.4,	9,	0,	131,	31.6936
36.8,	10,	0,	131,	31.6986
38.5,	11,	0,	131,	31.7036
40.1,	12,	0,	131,	31.7086
40.3,	12,	0,	131,	31.7137
40.6,	13,	0,	131,	31.7187
61.7,	38,	0,	132,	31.8746
61.7,	38,	0,	132,	31.8746
63.2,	38,	0,	132,	31.8796
65,	39,	0,	132,	31.8846
66.8,	40,	0,	132,	31.8896
68.4,	41,	0,	132,	31.8947
70.7,	42,	0,	132,	31.8997
58.3,	68,	0,	133,	32.0857
58.3,	68,	0,	133,	32.0857
58.5,	69,	0,	133,	32.0907
59.5,	70,	0,	133,	32.0958
60.3,	71,	0,	133,	32.1008
60.7,	71,	0,	133,	32.1058
60,	72,	0,	133,	32.1108
34.5,	101,	0,	134,	32.2974
34.5,	101,	0,	134,	32.2974
34.5,	102,	0,	134,	32.3024
34.6,	103,	0,	134,	32.3074
34.5,	104,	0,	134,	32.3124
33,	104,	0,	134,	32.3174
31.7,	105,	0,	134,	32.3224
11.5,	129,	0,	135,	32.4779
11.5,	129,	0,	135,	32.4779
11,	130,	0,	135,	32.4829
10.8,	131,	0,	135,	32.488
9.9,	132,	0,	135,	32.493
9.3,	132,	0,	135,	32.498
8.3,	133,	0,	135,	32.5031
-17.7,	171,	0,	136,	32.7495
-17.7,	171,	0,	136,	32.7495
-19.6,	172,	0,	136,	32.7545
-20.4,	173,	0,	136,	32.7596
-21.2,	174,	0,	136,	32.7645
-21.5,	174,	0,	136,	32.7695
-22.1,	175,	0,	136,	32.7746
-60.4,	217,	0,	137,	33.0512
-60.4,	217,	0,	137,	33.0512
-60.6,	218,	0,	137,	33.0562
-60.8,	219,	0,	137,	33.0612
-61,	220,	0,	137,	33.0663
-61,	220,	0,	137,	33.0713
-62,	221,	0,	137,	33.0764
-49.1,	255,	0,	138,	33.2934
-49.1,	255,	0,	138,	33.2934
-48,	256,	0,	138,	33.2984
-46.7,	257,	0,	138,	33.3034
-45.6,	258,	0,	138,	33.3084
-45.7,	258,	0,	138,	33.3134
-44.9,	259,	0,	138,	33.3184
-29.5,	293,	0,	139,	33.534
-29.5,	293,	0,	139,	33.534
-31.2,	294,	0,	139,	33.5391
-31.3,	294,	0,	139,	33.5441
-30.9,	295,	0,	139,	33.5491
-30.9,	296,	0,	139,	33.5541
-31,	297,	0,	139,	33.5591
-26.7,	330,	0,	140,	33.7754
-26.7,	330,	0,	140,	33.7754
-26.5,	331,	0,	140,	33.7804
-25.5,	332,	0,	140,	33.7855
-24.2,	332,	0,	140,	33.7905
-23.6,	333,	0,	140,	33.7955
-23.3,	334,	0,	140,	33.8005
34,	12,	0,	141,	34.047
34,	12,	0,	141,	34.047
36,	12,	0,	141,	34.052
37.5,	13,	0,	141,	34.057
38,	14,	0,	141,	34.062
38.6,	15,	0,	141,	34.0671
38.5,	15,	0,	141,	34.0721
60,	48,	0,	142,	34.2884
60,	48,	0,	142,	34.2884
59.7,	49,	0,	142,	34.2934
60.5,	50,	0,	142,	34.2984
59.8,	51,	0,	142,	34.3034
59.3,	51,	0,	142,	34.3085
58.9,	52,	0,	142,	34.3135
46.5,	87,	0,	143,	34.5298
46.5,	87,	0,	143,	34.5298
46.1,	88,	0,	143,	34.5349
45.2,	89,	0,	143,	34.5399
43.6,	89,	0,	143,	34.5449
42.1,	90,	0,	143,	34.5499
41,	91,	0,	143,	34.555
12.1,	131,	0,	144,	34.8015
12.1,	131,	0,	144,	34.8015
11.2,	131,	0,	144,	34.8065
11,	132,	0,	144,	34.8115
10.5,	133,	0,	144,	34.8166
10.8,	134,	0,	144,	34.8216
10.3,	135,	0,	144,	34.8266
-26,	182,	0,	145,	35.1335
-26,	182,	0,	145,	35.1335
-26.6,	182,	0,	145,	35.1385
-28,	183,	0,	145,	35.1435
-29,	184,	0,	145,	35.1486
-32.2,	185,	0,	145,	35.1536
-33,	185,	0,	145,	35.1586
-60.7,	220,	0,	146,	35.3754
-60.7,	220,	0,	146,	35.3754
-60.7,	221,	0,	146,	35.3804
-61.4,	221,	0,	146,	35.3854
-60.9,	222,	0,	146,	35.3905
-60.5,	223,	0,	146,	35.3954
-60.7,	224,	0,	146,	35.4005
-47.8,	261,	0,	147,	35.6465
-47.8,	261,	0,	147,	35.6465
-47.6,	262,	0,	147,	35.6515
-47,	263,	0,	147,	35.6566
-47,	263,	0,	147,	35.6616
-47,	264,	0,	147,	35.6666
-46.9,	265,	0,	147,	35.6717
-28.7,	323,	0,	148,	36.0389
-28.7,	323,	0,	148,	36.0389
-28.6,	323,	0,	148,	36.0439
-28.8,	324,	0,	148,	36.049
-27.5,	325,	0,	148,	36.054
-25.9,	326,	0,	148,	36.0591
-24.8,	327,	0,	148,	36.0641
28.8,	0,	0,	149,	36.2804
28.8,	0,	0,	149,	36.2804
29.5,	1,	0,	149,	36.2854
30.4,	2,	0,	149,	36.2905
32.6,	3,	0,	149,	36.2955
32.8,	3,	0,	149,	36.3006
33,	5,	0,	149,	36.3062
64,	43,	0,	150,	36.5521
64,	43,	0,	150,	36.5521
63.4,	44,	0,	150,	36.5572
63.3,	44,	0,	150,	36.5622
63.7,	45,	0,	150,	36.5672
64.5,	46,	0,	150,	36.5723
63.2,	47,	0,	150,	36.5773
58.1,	80,	0,	151,	36.7937
58.1,	80,	0,	151,	36.7937
58.5,	81,	0,	151,	36.7987
57.4,	82,	0,	151,	36.8037
57.2,	82,	0,	151,	36.8088
56.8,	83,	0,	151,	36.8138
56,	84,	0,	151,	36.8188
23.5,	118,	0,	152,	37.0352
23.5,	118,	0,	152,	37.0352
24.1,	118,	0,	152,	37.0403
24.1,	119,	0,	152,	37.0453
23.9,	120,	0,	152,	37.0503
23.5,	121,	0,	152,	37.0554
23,	121,	0,	152,	37.0604
