
Right power from force,Vector size

-1.1014,	69
1.1884,	69
-1.4364,	55
1.4839,	62
1.2258,	62
-4.0161,	62
-2.0732,	82
-1.4286,	77
-2.5921,	76
-1.3289,	76
0.8795,	83
-4.3913,	69
0.0789,	76
-1.0526,	76
-1.1711,	76
1.7826,	69
-0.8553,	76
2.4474,	76
0.0645,	62
-1.0000,	62
-5.2909,	55
-4.0000,	62
-3.2632,	76
-1.1111,	72
0.7123,	73
-0.3158,	76
0.1690,	71
1.1125,	80
-2.1714,	70
2.0921,	76
-1.3289,	76
-1.9605,	76
-0.5000,	76
-4.0921,	76
-0.0658,	76
0.5806,	62
-1.0645,	62
-1.1774,	62
-0.2258,	62
0.4638,	69
-1.8158,	76
-0.8158,	76
-0.2530,	83
2.5263,	76
-0.1974,	76
-1.7368,	76
-0.6711,	76
-6.4079,	76
1.1711,	76
-2.2237,	76
-2.2319,	69
-1.1447,	76
-4.5000,	62
-0.7895,	57
-1.8413,	63
-1.5942,	69
-0.3000,	80
0.1842,	76
0.6125,	80
-3.3291,	79
1.3947,	76
-1.8148,	81
1.2394,	71
-1.4737,	76
1.2105,	76
-1.8434,	83
-4.5263,	76
-0.6747,	83
-4.6935,	62
-0.3871,	62
-2.7258,	62
-2.5323,	62
-1.4342,	76
-4.2632,	76
1.6538,	78
-1.4416,	77
