
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	0,	-3.00,	0.00,	8.37,	0.00,	0,	25.64,	1.14,	34
0.00,	-6,	-3.00,	0.00,	19.90,	0.00,	0,	25.64,	2.71,	34
0.00,	-6,	-3.40,	0.00,	8.31,	0.00,	0,	25.77,	1.13,	34
0.00,	0,	-3.20,	0.00,	7.61,	0.00,	0,	25.51,	1.04,	34
0.00,	-7,	-3.80,	0.00,	5.88,	0.00,	0,	24.88,	0.85,	32
0.00,	0,	-3.80,	0.00,	7.51,	0.00,	0,	24.39,	1.05,	33
0.00,	-6,	-3.80,	0.00,	8.04,	0.00,	0,	24.63,	1.13,	33
0.00,	-2,	-3.00,	0.00,	9.12,	0.00,	0,	25.45,	1.24,	34
0.00,	-5,	-4.00,	0.00,	8.43,	0.00,	0,	25.77,	1.15,	34
0.00,	-5,	-3.60,	0.00,	8.86,	0.00,	0,	25.25,	1.21,	34
0.00,	-3,	-4.20,	0.00,	5.10,	0.00,	0,	26.18,	0.69,	34
0.00,	-4,	-3.80,	0.00,	9.05,	0.00,	0,	25.91,	1.23,	34
0.00,	-2,	-3.80,	0.00,	7.86,	0.00,	0,	25.61,	1.07,	34
0.00,	-4,	-3.60,	0.00,	8.03,	0.00,	0,	25.51,	1.13,	33
0.00,	-1,	-2.80,	0.00,	8.27,	0.00,	0,	24.88,	1.16,	33
0.00,	-5,	-3.20,	0.00,	7.58,	0.00,	0,	24.03,	1.06,	33
0.00,	-6,	-3.60,	0.00,	8.97,	0.00,	0,	23.81,	1.26,	33
0.00,	-3,	-3.80,	0.00,	6.79,	0.00,	0,	24.05,	0.95,	33
0.00,	-5,	-4.00,	0.00,	8.71,	0.00,	0,	23.92,	1.22,	33
0.00,	3,	-3.20,	0.00,	8.08,	0.00,	0,	24.39,	1.13,	33
0.00,	-7,	-3.60,	0.00,	7.71,	0.00,	0,	24.12,	1.08,	33
0.00,	-3,	-3.00,	0.00,	8.72,	0.00,	0,	24.88,	1.22,	33
0.00,	-6,	-3.60,	0.00,	13.13,	0.00,	0,	23.69,	1.84,	33
0.00,	-5,	-3.60,	0.00,	9.21,	0.00,	0,	24.27,	1.25,	34
0.00,	-3,	-4.80,	0.00,	9.00,	0.00,	0,	25.38,	1.23,	34
0.00,	-4,	-4.20,	0.00,	8.56,	0.00,	0,	24.63,	1.17,	34
0.00,	-1,	-3.80,	0.00,	8.90,	0.00,	0,	24.63,	1.21,	34
0.00,	-5,	-3.60,	0.00,	9.86,	0.00,	0,	25.51,	1.30,	35
0.00,	-4,	-3.40,	0.00,	8.23,	0.00,	0,	25.38,	1.12,	34
0.00,	-6,	-4.00,	0.00,	9.02,	0.00,	0,	25.38,	1.23,	34
0.00,	-4,	-4.00,	0.00,	8.27,	0.00,	0,	25.25,	1.13,	34
0.00,	-3,	-4.40,	0.00,	9.45,	0.00,	0,	25.13,	1.25,	35
0.00,	-6,	-4.60,	0.00,	6.62,	0.00,	0,	26.74,	0.88,	35
0.00,	-2,	-4.20,	0.00,	8.05,	0.00,	0,	25.13,	1.10,	34
0.00,	-5,	-4.00,	0.00,	7.26,	0.00,	0,	26.73,	0.93,	36
0.00,	-4,	-4.00,	0.00,	9.13,	0.00,	0,	27.13,	1.21,	35
0.00,	0,	-3.40,	0.00,	8.25,	0.00,	0,	25.00,	1.16,	33
0.00,	-6,	-3.40,	0.00,	8.64,	0.00,	0,	24.63,	1.18,	34
0.00,	-5,	-4.00,	0.00,	9.62,	0.00,	0,	23.81,	1.31,	34
0.00,	-4,	-3.80,	0.00,	8.33,	0.00,	0,	25.51,	1.13,	34
0.00,	-3,	-3.60,	0.00,	10.64,	0.00,	0,	26.04,	1.41,	35
0.00,	-5,	-4.60,	0.00,	7.17,	0.00,	0,	26.18,	0.95,	35
0.00,	-4,	-4.20,	0.00,	9.74,	0.00,	0,	26.46,	1.25,	36
0.00,	-3,	-3.80,	0.00,	8.95,	0.00,	0,	26.74,	1.18,	35
0.00,	-6,	-4.20,	0.00,	8.49,	0.00,	0,	25.38,	1.16,	34
0.00,	-4,	-4.40,	0.00,	8.56,	0.00,	0,	25.25,	1.17,	34
0.00,	-3,	-4.00,	0.00,	9.11,	0.00,	0,	26.81,	1.17,	36
