
Right power from force,Vector size

-2.1911,	382
-0.9844,	385
1.3267,	401
-9.0792,	442
2.0393,	484
-0.8887,	476
0.6743,	479
0.3943,	492
0.8588,	510
2.8059,	510
-0.5112,	538
2.0378,	503
0.1095,	539
1.0384,	521
-1.0059,	509
0.0987,	466
2.2608,	418
-1.9519,	416
1.8151,	411
-3.5086,	464
-0.1670,	503
0.7126,	501
1.7914,	513
3.4254,	503
0.8725,	502
1.3178,	494
1.7181,	525
-1.3606,	538
2.8238,	562
1.4789,	522
3.8996,	538
0.5866,	491
1.2063,	412
4.4889,	405
-3.3636,	396
0.8575,	407
1.9743,	505
-0.0500,	520
0.3996,	483
-2.1383,	535
3.0077,	521
-0.7287,	505
1.8596,	527
1.4650,	514
0.5806,	496
2.9856,	487
-0.8008,	507
2.9959,	490
3.3047,	466
2.9370,	413
0.7512,	406
-0.8191,	398
0.0102,	491
-2.6323,	533
4.0735,	517
-1.2425,	536
1.3485,	505
2.2636,	535
-0.8915,	516
1.0882,	533
-2.1770,	514
1.4823,	508
0.0349,	487
-0.2283,	495
4.8404,	495
0.6359,	379
1.3716,	409
0.2279,	408
-1.5502,	458
0.7835,	508
-0.8765,	486
0.5936,	502
-0.1426,	491
1.2992,	508
0.3561,	497
