
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

59,	39,	0,	108,	109.573
59,	39,	0,	108,	109.573
59.2,	40,	0,	108,	109.578
59.3,	41,	0,	108,	109.583
60.1,	41,	0,	108,	109.588
60.2,	42,	0,	108,	109.593
60.6,	43,	0,	108,	109.598
49.7,	76,	0,	109,	109.814
49.7,	76,	0,	109,	109.814
48.8,	77,	0,	109,	109.819
47.7,	77,	0,	109,	109.824
46.8,	78,	0,	109,	109.829
46.2,	79,	0,	109,	109.834
44.8,	80,	0,	109,	109.839
24.5,	113,	0,	110,	110.055
24.5,	113,	0,	110,	110.055
24.4,	113,	0,	110,	110.06
24,	114,	0,	110,	110.065
23.2,	115,	0,	110,	110.07
22,	116,	0,	110,	110.075
21.6,	116,	0,	110,	110.08
1.4,	145,	0,	111,	110.266
1.4,	145,	0,	111,	110.266
1,	145,	0,	111,	110.271
0,	146,	0,	111,	110.276
-0.8,	147,	0,	111,	110.281
-2.5,	148,	0,	111,	110.286
-3.1,	148,	0,	111,	110.291
-26.7,	176,	0,	112,	110.477
-26.7,	176,	0,	112,	110.477
-25.6,	177,	0,	112,	110.482
-25.9,	177,	0,	112,	110.487
-25.3,	178,	0,	112,	110.492
-25.4,	179,	0,	112,	110.497
-26,	180,	0,	112,	110.503
-48.2,	204,	0,	113,	110.659
-48.2,	204,	0,	113,	110.659
-48.4,	205,	0,	113,	110.664
-49.6,	206,	0,	113,	110.669
-50.9,	206,	0,	113,	110.674
-51,	207,	0,	113,	110.679
-52,	208,	0,	113,	110.684
-52,	245,	0,	114,	110.93
-52,	245,	0,	114,	110.93
-51.4,	246,	0,	114,	110.935
-51.2,	247,	0,	114,	110.94
-51,	247,	0,	114,	110.945
-49.7,	248,	0,	114,	110.95
-49.1,	249,	0,	114,	110.955
-31.3,	281,	0,	115,	111.171
-31.3,	281,	0,	115,	111.171
-31.7,	282,	0,	115,	111.176
-31.5,	283,	0,	115,	111.181
-32,	284,	0,	115,	111.186
-31.7,	284,	0,	115,	111.191
-31.8,	285,	0,	115,	111.196
-43.6,	313,	0,	116,	111.382
-43.6,	313,	0,	116,	111.382
-43.6,	314,	0,	116,	111.387
-43.5,	314,	0,	116,	111.392
-43.4,	315,	0,	116,	111.397
-43.9,	316,	0,	116,	111.402
-44.1,	317,	0,	116,	111.407
-11.9,	339,	0,	117,	111.563
-11.9,	339,	0,	117,	111.563
-11,	340,	0,	117,	111.568
-8.6,	340,	0,	117,	111.573
-5.8,	341,	0,	117,	111.578
-5.7,	342,	0,	117,	111.583
-4.4,	342,	0,	117,	111.588
36,	10,	0,	118,	111.775
36,	10,	0,	118,	111.775
36.7,	11,	0,	118,	111.78
38,	11,	0,	118,	111.785
39.6,	12,	0,	118,	111.79
41,	13,	0,	118,	111.795
42.4,	14,	0,	118,	111.8
62.4,	37,	0,	119,	111.955
62.4,	37,	0,	119,	111.955
63.1,	38,	0,	119,	111.961
64.3,	38,	0,	119,	111.966
64.3,	39,	0,	119,	111.971
63.8,	40,	0,	119,	111.976
64.1,	41,	0,	119,	111.981
66,	69,	0,	120,	112.167
66,	69,	0,	120,	112.167
65.5,	69,	0,	120,	112.172
65.6,	70,	0,	120,	112.177
65.5,	71,	0,	120,	112.182
63.6,	72,	0,	120,	112.187
64.3,	72,	0,	120,	112.192
48.5,	99,	0,	121,	112.378
48.5,	99,	0,	121,	112.378
47.6,	100,	0,	121,	112.383
46,	101,	0,	121,	112.388
43.5,	102,	0,	121,	112.393
43,	103,	0,	121,	112.398
42.5,	103,	0,	121,	112.403
24.2,	126,	0,	122,	112.559
24.2,	126,	0,	122,	112.559
24.2,	127,	0,	122,	112.564
22.1,	128,	0,	122,	112.569
20.1,	129,	0,	122,	112.574
18.9,	129,	0,	122,	112.579
18,	130,	0,	122,	112.584
-6.5,	167,	0,	123,	112.831
-6.5,	167,	0,	123,	112.831
-6.9,	168,	0,	123,	112.836
-7.1,	169,	0,	123,	112.841
-8.4,	170,	0,	123,	112.846
-10,	170,	0,	123,	112.851
-9.9,	171,	0,	123,	112.856
-49.6,	203,	0,	124,	113.072
-49.6,	203,	0,	124,	113.072
-50.4,	204,	0,	124,	113.077
-49.9,	205,	0,	124,	113.082
-50.2,	205,	0,	124,	113.087
-50.5,	206,	0,	124,	113.092
-51,	207,	0,	124,	113.097
-55.3,	235,	0,	125,	113.283
-55.3,	235,	0,	125,	113.283
-55.3,	236,	0,	125,	113.288
-55.3,	236,	0,	125,	113.293
-57.4,	237,	0,	125,	113.298
-58,	238,	0,	125,	113.303
-58,	239,	0,	125,	113.308
-45.7,	262,	0,	126,	113.464
-45.7,	262,	0,	126,	113.464
-44.6,	263,	0,	126,	113.469
-43.8,	264,	0,	126,	113.474
-42.2,	265,	0,	126,	113.479
-41.9,	265,	0,	126,	113.484
-41.5,	266,	0,	126,	113.489
-21.2,	295,	0,	127,	113.675
-21.2,	295,	0,	127,	113.675
-22.6,	295,	0,	127,	113.68
-24.2,	296,	0,	127,	113.685
-24.8,	297,	0,	127,	113.69
-25.3,	298,	0,	127,	113.695
-25.1,	298,	0,	127,	113.7
-15.8,	331,	0,	128,	113.916
-15.8,	331,	0,	128,	113.916
-14.6,	331,	0,	128,	113.921
-14,	332,	0,	128,	113.926
-13.9,	334,	0,	128,	113.932
-13.3,	334,	0,	128,	113.936
-11.8,	334,	0,	128,	113.941
38.6,	7,	0,	129,	114.157
38.6,	7,	0,	129,	114.157
40.6,	8,	0,	129,	114.162
41.2,	9,	0,	129,	114.167
41.5,	10,	0,	129,	114.172
42.1,	10,	0,	129,	114.177
42.7,	11,	0,	129,	114.182
62.5,	40,	0,	130,	114.369
62.5,	40,	0,	130,	114.369
61.8,	40,	0,	130,	114.374
61.4,	41,	0,	130,	114.379
61.8,	42,	0,	130,	114.384
