
Right power from force,Vector size

1.5789,	76
-1.3768,	69
-1.0658,	76
2.0000,	76
-0.6053,	76
1.0263,	76
0.3226,	62
0.3226,	62
1.2581,	62
-4.9091,	55
1.4096,	83
-3.3553,	76
-0.6747,	83
-2.0870,	69
-1.1325,	83
0.8816,	76
-2.9211,	76
0.4783,	69
-1.1842,	76
-0.5658,	76
-1.7536,	69
-0.0789,	76
2.4605,	76
-4.4516,	62
0.4000,	55
-3.1935,	62
-1.7826,	69
2.3188,	69
-2.2317,	82
0.6714,	70
-2.7237,	76
0.0921,	76
-0.0132,	76
-0.1579,	76
2.6579,	76
0.3421,	76
1.9211,	76
-2.0658,	76
1.5652,	69
0.4203,	69
-4.3636,	55
3.7273,	55
-0.6522,	69
-3.5968,	62
-0.3289,	76
0.7368,	76
-1.3623,	69
1.1184,	76
1.7536,	69
-0.7895,	76
1.7763,	76
-0.3947,	76
-2.6957,	69
-0.6053,	76
0.2500,	76
2.0263,	76
2.1067,	75
-0.1667,	60
2.3538,	65
-0.9194,	62
-1.1842,	76
0.8193,	83
1.0921,	76
0.3158,	76
-2.0000,	76
1.2895,	76
-1.5769,	78
-0.2162,	74
0.0526,	76
0.4211,	76
-1.6957,	69
-2.5658,	76
1.4930,	71
-2.1333,	60
2.0161,	62
