
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

26.4,	125,	0,	80,	187.22
26.4,	125,	0,	80,	187.22
27.8,	126,	0,	80,	187.225
27.8,	126,	0,	80,	187.23
27.8,	127,	0,	80,	187.235
27.4,	128,	0,	80,	187.24
25.8,	129,	0,	80,	187.245
-7.5,	160,	0,	81,	187.459
-7.5,	160,	0,	81,	187.459
-7.5,	161,	0,	81,	187.464
-8.2,	161,	0,	81,	187.469
-9.1,	162,	0,	81,	187.474
-10.7,	163,	0,	81,	187.479
-12,	164,	0,	81,	187.484
-52.2,	190,	0,	82,	187.667
-52.2,	190,	0,	82,	187.667
-52.6,	191,	0,	82,	187.672
-53.2,	191,	0,	82,	187.677
-53.2,	192,	0,	82,	187.682
-54.2,	193,	0,	82,	187.687
-54.2,	194,	0,	82,	187.692
-65.8,	221,	0,	83,	187.876
-65.8,	221,	0,	83,	187.876
-65.3,	222,	0,	83,	187.881
-64.8,	223,	0,	83,	187.886
-64.1,	223,	0,	83,	187.891
-63,	224,	0,	83,	187.896
-62.6,	225,	0,	83,	187.901
-49.8,	252,	0,	84,	188.085
-49.8,	252,	0,	84,	188.085
-48.6,	253,	0,	84,	188.09
-45.7,	253,	0,	84,	188.095
-44.4,	254,	0,	84,	188.1
-43.6,	255,	0,	84,	188.105
-42.7,	256,	0,	84,	188.11
-38,	287,	0,	85,	188.324
-38,	287,	0,	85,	188.324
-38.7,	287,	0,	85,	188.328
-41,	288,	0,	85,	188.333
-42.3,	289,	0,	85,	188.338
-42.3,	290,	0,	85,	188.343
-42.7,	290,	0,	85,	188.348
-22.2,	322,	0,	86,	188.562
-22.2,	322,	0,	86,	188.562
-22.1,	322,	0,	86,	188.567
-21.9,	323,	0,	86,	188.572
-19.5,	324,	0,	86,	188.577
-18.6,	325,	0,	86,	188.582
-18.3,	325,	0,	86,	188.587
27.2,	353,	0,	87,	188.771
27.2,	353,	0,	87,	188.771
28.1,	353,	0,	87,	188.776
29.3,	354,	0,	87,	188.781
30,	355,	0,	87,	188.786
31.3,	356,	0,	87,	188.791
32,	356,	0,	87,	188.796
46.3,	24,	0,	88,	188.98
46.3,	24,	0,	88,	188.98
46.3,	25,	0,	88,	188.985
46,	26,	0,	88,	188.99
46,	27,	0,	88,	188.995
46.5,	27,	0,	88,	189
47.5,	28,	0,	88,	189.005
51.2,	50,	0,	89,	189.159
51.2,	50,	0,	89,	189.159
50.9,	51,	0,	89,	189.164
49.3,	51,	0,	89,	189.169
47.2,	52,	0,	89,	189.174
46.5,	53,	0,	89,	189.179
46,	53,	0,	89,	189.184
35.8,	90,	0,	90,	189.427
35.8,	90,	0,	90,	189.427
35.3,	91,	0,	90,	189.432
35.2,	91,	0,	90,	189.437
35,	92,	0,	90,	189.442
34.9,	93,	0,	90,	189.447
34.3,	94,	0,	90,	189.452
12.7,	126,	0,	91,	189.666
12.7,	126,	0,	91,	189.666
12,	127,	0,	91,	189.671
12,	128,	0,	91,	189.676
12.5,	128,	0,	91,	189.681
13,	129,	0,	91,	189.686
13,	130,	0,	91,	189.691
-13.1,	156,	0,	92,	189.875
-13.1,	156,	0,	92,	189.875
-13.2,	157,	0,	92,	189.88
-14,	158,	0,	92,	189.885
-14.5,	159,	0,	92,	189.89
-14.5,	159,	0,	92,	189.895
-15,	160,	0,	92,	189.9
-46.5,	187,	0,	93,	190.084
-46.5,	187,	0,	93,	190.084
-48,	188,	0,	93,	190.089
-48.9,	189,	0,	93,	190.094
-49.5,	189,	0,	93,	190.099
-50.7,	190,	0,	93,	190.104
-51.6,	191,	0,	93,	190.109
-62,	224,	0,	94,	190.323
-62,	224,	0,	94,	190.323
-61.7,	225,	0,	94,	190.327
-61,	226,	0,	94,	190.333
-60.3,	226,	0,	94,	190.337
-59.5,	227,	0,	94,	190.342
-58.4,	228,	0,	94,	190.347
-33.1,	260,	0,	95,	190.562
-33.1,	260,	0,	95,	190.562
-32.8,	261,	0,	95,	190.567
-32,	261,	0,	95,	190.572
-31.6,	262,	0,	95,	190.577
-30.9,	263,	0,	95,	190.582
-29.6,	264,	0,	95,	190.587
-45.5,	291,	0,	96,	190.77
-45.5,	291,	0,	96,	190.77
-45.4,	292,	0,	96,	190.775
-45.2,	292,	0,	96,	190.78
-45.2,	293,	0,	96,	190.785
-45.5,	294,	0,	96,	190.79
-46,	295,	0,	96,	190.795
-24.4,	323,	0,	97,	190.979
-24.4,	323,	0,	97,	190.979
-24.5,	324,	0,	97,	190.984
-24.5,	325,	0,	97,	190.989
-24.5,	325,	0,	97,	190.994
-22.5,	326,	0,	97,	190.999
-20.8,	327,	0,	97,	191.004
17.2,	351,	0,	98,	191.158
17.2,	351,	0,	98,	191.158
18.4,	351,	0,	98,	191.163
19.2,	352,	0,	98,	191.168
21.6,	353,	0,	98,	191.173
24.7,	354,	0,	98,	191.178
26.7,	354,	0,	98,	191.183
42.8,	32,	0,	99,	191.428
42.8,	32,	0,	99,	191.428
42.9,	33,	0,	99,	191.433
43.2,	34,	0,	99,	191.438
43.3,	34,	0,	99,	191.442
44,	34,	0,	99,	191.447
44.5,	35,	0,	99,	191.452
46.6,	68,	0,	100,	191.666
46.6,	68,	0,	100,	191.666
47,	69,	0,	100,	191.671
47,	69,	0,	100,	191.676
47.2,	70,	0,	100,	191.68
47,	71,	0,	100,	191.685
47.4,	72,	0,	100,	191.69
27.2,	101,	0,	101,	191.874
27.2,	101,	0,	101,	191.874
26.9,	101,	0,	101,	191.879
27.6,	102,	0,	101,	191.884
27.5,	103,	0,	101,	191.889
27.6,	104,	0,	101,	191.894
28,	104,	0,	101,	191.899
15.9,	133,	0,	102,	192.083
15.9,	133,	0,	102,	192.083
15.8,	133,	0,	102,	192.088
15.6,	134,	0,	102,	192.093
15,	135,	0,	102,	192.098
14,	136,	0,	102,	192.103
12.1,	136,	0,	102,	192.108
-8.9,	159,	0,	103,	192.262
-8.9,	159,	0,	103,	192.262
-9.5,	159,	0,	103,	192.267
-11.3,	160,	0,	103,	192.272
-12.9,	161,	0,	103,	192.277
-14.2,	162,	0,	103,	192.282
-14.5,	162,	0,	103,	192.287
-59.4,	199,	0,	104,	192.531
-59.4,	199,	0,	104,	192.531
-60.2,	200,	0,	104,	192.536
-60.3,	201,	0,	104,	192.541
-60.8,	202,	0,	104,	192.546
-61.5,	203,	0,	104,	192.551
-63,	203,	0,	104,	192.556
-52.7,	238,	0,	105,	192.77
-52.7,	238,	0,	105,	192.77
-51.3,	238,	0,	105,	192.775
-50.4,	239,	0,	105,	192.78
-49.6,	240,	0,	105,	192.785
-49.1,	240,	0,	105,	192.79
-48.7,	241,	0,	105,	192.795
-36.4,	269,	0,	106,	192.979
-36.4,	269,	0,	106,	192.979
-35.1,	270,	0,	106,	192.984
-34.7,	271,	0,	106,	192.989
-35,	272,	0,	106,	192.994
-36.5,	272,	0,	106,	192.999
-38.3,	273,	0,	106,	193.004
-48.8,	296,	0,	107,	193.158
-48.8,	296,	0,	107,	193.158
-47.7,	297,	0,	107,	193.163
-47.8,	298,	0,	107,	193.168
-47.9,	299,	0,	107,	193.173
-48,	299,	0,	107,	193.178
-48.2,	300,	0,	107,	193.183
-12.7,	329,	0,	108,	193.366
-12.7,	329,	0,	108,	193.366
-12.5,	330,	0,	108,	193.371
-10.7,	330,	0,	108,	193.376
-9.9,	331,	0,	108,	193.381
-8.6,	332,	0,	108,	193.386
-7.1,	333,	0,	108,	193.391
44.6,	15,	0,	109,	193.665
44.6,	15,	0,	109,	193.665
45.2,	16,	0,	109,	193.67
46,	17,	0,	109,	193.675
46.1,	17,	0,	109,	193.68
47.2,	18,	0,	109,	193.685
48.6,	19,	0,	109,	193.69
57.2,	56,	0,	110,	193.933
57.2,	56,	0,	110,	193.933
57.8,	57,	0,	110,	193.938
59,	58,	0,	110,	193.943
60.1,	59,	0,	110,	193.948
60.7,	59,	0,	110,	193.953
60,	60,	0,	110,	193.958
43.2,	84,	0,	111,	194.112
43.2,	84,	0,	111,	194.112
42.6,	85,	0,	111,	194.117
41.5,	86,	0,	111,	194.122
40.9,	86,	0,	111,	194.127
39.5,	87,	0,	111,	194.132
39.5,	88,	0,	111,	194.137
30,	117,	0,	112,	194.321
30,	117,	0,	112,	194.321
29.9,	117,	0,	112,	194.326
29.7,	118,	0,	112,	194.331
29.5,	119,	0,	112,	194.336
29.4,	120,	0,	112,	194.341
29.1,	120,	0,	112,	194.346
1.5,	153,	0,	113,	194.561
1.5,	153,	0,	113,	194.561
0.9,	154,	0,	113,	194.566
0.5,	155,	0,	113,	194.571
-0.3,	155,	0,	113,	194.576
-1.7,	156,	0,	113,	194.581
-1.9,	157,	0,	113,	194.586
-42.1,	193,	0,	114,	194.829
-42.1,	193,	0,	114,	194.829
-42.7,	194,	0,	114,	194.834
-42.7,	195,	0,	114,	194.839
-42.9,	196,	0,	114,	194.844
-44,	196,	0,	114,	194.849
-44.5,	197,	0,	114,	194.854
-62.4,	221,	0,	115,	195.008
-62.4,	221,	0,	115,	195.008
-62.4,	222,	0,	115,	195.013
-61.4,	223,	0,	115,	195.018
-59.6,	223,	0,	115,	195.023
-58.9,	224,	0,	115,	195.028
-58.6,	225,	0,	115,	195.033
-53.9,	253,	0,	116,	195.217
-53.9,	253,	0,	116,	195.217
-53.9,	253,	0,	116,	195.222
-53.9,	254,	0,	116,	195.227
-53.7,	255,	0,	116,	195.231
-53.4,	256,	0,	116,	195.236
-52.4,	256,	0,	116,	195.241
-46,	284,	0,	117,	195.425
-46,	284,	0,	117,	195.425
-45.6,	285,	0,	117,	195.43
-45.5,	286,	0,	117,	195.435
-45.5,	286,	0,	117,	195.44
-45.5,	287,	0,	117,	195.445
-44.6,	288,	0,	117,	195.45
-26.2,	320,	0,	118,	195.664
-26.2,	320,	0,	118,	195.664
-23.6,	321,	0,	118,	195.669
-22.5,	322,	0,	118,	195.674
-21.4,	323,	0,	118,	195.679
-20.5,	324,	0,	118,	195.684
-20.1,	324,	0,	118,	195.689
33.4,	1,	0,	119,	195.932
33.4,	1,	0,	119,	195.932
34,	2,	0,	119,	195.937
35.5,	3,	0,	119,	195.942
35.9,	4,	0,	119,	195.947
36.9,	5,	0,	119,	195.952
37.5,	5,	0,	119,	195.957
43.9,	30,	0,	120,	196.112
43.9,	30,	0,	120,	196.112
45,	30,	0,	120,	196.117
45.8,	31,	0,	120,	196.122
47.2,	31,	0,	120,	196.126
46.7,	32,	0,	120,	196.131
46.7,	33,	0,	120,	196.136
45.8,	61,	0,	121,	196.32
45.8,	61,	0,	121,	196.32
47.1,	61,	0,	121,	196.325
47.5,	62,	0,	121,	196.33
47.8,	63,	0,	121,	196.335
47,	64,	0,	121,	196.34
47,	65,	0,	121,	196.345
35.7,	93,	0,	122,	196.529
35.7,	93,	0,	122,	196.529
35,	94,	0,	122,	196.534
34.3,	95,	0,	122,	196.539
34,	96,	0,	122,	196.544
33.2,	96,	0,	122,	196.549
32,	97,	0,	122,	196.554
16,	131,	0,	123,	196.768
16,	131,	0,	123,	196.768
14.9,	131,	0,	123,	196.773
14.1,	132,	0,	123,	196.778
14.1,	133,	0,	123,	196.783
14.1,	134,	0,	123,	196.788
13.8,	134,	0,	123,	196.793
-22.7,	166,	0,	124,	197.007
-22.7,	166,	0,	124,	197.007
-23.9,	167,	0,	124,	197.012
-25.5,	168,	0,	124,	197.017
-27.4,	168,	0,	124,	197.022
-28.3,	169,	0,	124,	197.027
-28.9,	170,	0,	124,	197.032
-63,	198,	0,	125,	197.216
-63,	198,	0,	125,	197.216
-63.9,	198,	0,	125,	197.221
-64,	199,	0,	125,	197.226
-64,	200,	0,	125,	197.231
-65.8,	201,	0,	125,	197.236
-66.6,	202,	0,	125,	197.24
-64.5,	231,	0,	126,	197.424
-64.5,	231,	0,	126,	197.424
-62.3,	231,	0,	126,	197.429
-60.1,	232,	0,	126,	197.434
-58.9,	233,	0,	126,	197.439
-57.7,	234,	0,	126,	197.444
-56.3,	235,	0,	126,	197.449
-41.9,	262,	0,	127,	197.634
-41.9,	262,	0,	127,	197.634
-42.4,	263,	0,	127,	197.639
-41.6,	264,	0,	127,	197.644
-41.5,	264,	0,	127,	197.649
-41.7,	265,	0,	127,	197.654
-41.1,	266,	0,	127,	197.659
-49.6,	298,	0,	128,	197.872
-49.6,	298,	0,	128,	197.872
-50.1,	299,	0,	128,	197.877
-49.8,	299,	0,	128,	197.882
-49,	300,	0,	128,	197.887
-47.6,	301,	0,	128,	197.892
-47,	302,	0,	128,	197.897
-4.4,	334,	0,	129,	198.111
-4.4,	334,	0,	129,	198.111
-3.3,	335,	0,	129,	198.116
-1.1,	336,	0,	129,	198.121
1.2,	336,	0,	129,	198.126
2.4,	337,	0,	129,	198.131
3.2,	338,	0,	129,	198.136
37.8,	6,	0,	130,	198.32
37.8,	6,	0,	130,	198.32
39.5,	7,	0,	130,	198.325
40.5,	8,	0,	130,	198.33
41.5,	9,	0,	130,	198.335
41.9,	9,	0,	130,	198.34
42.3,	10,	0,	130,	198.344
47.4,	38,	0,	131,	198.529
47.4,	38,	0,	131,	198.529
46.3,	39,	0,	131,	198.534
45.4,	39,	0,	131,	198.538
44.1,	40,	0,	131,	198.543
45.4,	41,	0,	131,	198.548
45.4,	42,	0,	131,	198.553
49.7,	65,	0,	132,	198.708
49.7,	65,	0,	132,	198.708
49.5,	66,	0,	132,	198.713
49,	66,	0,	132,	198.718
47.1,	67,	0,	132,	198.723
46.6,	68,	0,	132,	198.728
46.2,	69,	0,	132,	198.733
28.5,	107,	0,	133,	198.976
28.5,	107,	0,	133,	198.976
27.5,	107,	0,	133,	198.981
27.4,	108,	0,	133,	198.986
27.2,	109,	0,	133,	198.991
27.2,	110,	0,	133,	198.996
26.7,	111,	0,	133,	199.001
14.9,	143,	0,	134,	199.215
14.9,	143,	0,	134,	199.215
12.9,	144,	0,	134,	199.22
12.4,	145,	0,	134,	199.225
11.5,	146,	0,	134,	199.23
10.8,	146,	0,	134,	199.235
9.8,	147,	0,	134,	199.24
-18.5,	174,	0,	135,	199.424
-18.5,	174,	0,	135,	199.424
-19.7,	174,	0,	135,	199.429
-20.9,	175,	0,	135,	199.434
-21.5,	176,	0,	135,	199.439
-23.8,	177,	0,	135,	199.444
-25.5,	177,	0,	135,	199.449
-55.4,	211,	0,	136,	199.663
-55.4,	211,	0,	136,	199.663
-55.4,	212,	0,	136,	199.668
-55.4,	213,	0,	136,	199.673
-56.1,	213,	0,	136,	199.678
-56.9,	214,	0,	136,	199.683
-57.8,	215,	0,	136,	199.688
-37.5,	252,	0,	137,	199.931
-37.5,	252,	0,	137,	199.931
-36.4,	253,	0,	137,	199.936
-35.1,	254,	0,	137,	199.941
-34.2,	255,	0,	137,	199.946
-32,	256,	0,	137,	199.951
-30.5,	256,	0,	137,	199.956
-33.6,	280,	0,	138,	200.11
-33.6,	280,	0,	138,	200.11
-34.3,	281,	0,	138,	200.115
