
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-3.40,	0.00,	15.10,	0.00,	0,	25.51,	2.00,	35
0.00,	0,	-2.60,	0.00,	18.48,	0.00,	0,	27.78,	2.44,	35
0.00,	-5,	-3.20,	0.00,	16.86,	0.00,	0,	24.27,	2.37,	33
0.00,	-4,	-2.80,	0.00,	14.31,	0.00,	0,	26.18,	1.95,	34
0.00,	2,	-2.40,	0.00,	17.43,	0.00,	0,	26.04,	2.37,	34
0.00,	-3,	-2.00,	0.00,	17.54,	0.00,	0,	26.17,	2.39,	34
0.00,	-2,	-2.40,	0.00,	16.65,	0.00,	0,	23.70,	2.34,	33
0.00,	-2,	-1.80,	0.00,	17.68,	0.00,	0,	26.10,	2.41,	34
0.00,	2,	-0.60,	0.00,	14.35,	0.00,	0,	25.90,	1.95,	34
0.00,	0,	-1.00,	0.00,	17.68,	0.00,	0,	26.04,	2.41,	34
0.00,	-1,	-0.60,	0.00,	13.23,	0.00,	0,	25.11,	1.86,	33
0.00,	-2,	-0.60,	0.00,	14.75,	0.00,	0,	26.08,	2.01,	34
0.00,	0,	-0.20,	0.00,	16.08,	0.00,	0,	25.52,	2.26,	33
0.00,	-2,	-1.00,	0.00,	10.79,	0.00,	0,	24.15,	1.51,	33
0.00,	-1,	-1.20,	0.00,	17.61,	0.00,	0,	24.90,	2.47,	33
0.00,	0,	-1.00,	0.00,	16.81,	0.00,	0,	26.32,	2.36,	33
0.00,	-2,	-1.00,	0.00,	24.62,	0.00,	0,	25.00,	3.35,	34
0.00,	-5,	-2.00,	0.00,	16.37,	0.00,	0,	24.93,	2.30,	33
0.00,	3,	-1.00,	0.00,	15.18,	0.00,	0,	25.11,	2.13,	33
0.00,	-3,	-1.40,	0.00,	16.85,	0.00,	0,	24.27,	2.36,	33
0.00,	1,	-1.20,	0.00,	16.95,	0.00,	0,	23.58,	2.38,	33
0.00,	-2,	-1.20,	0.00,	17.29,	0.00,	0,	23.58,	2.43,	33
0.00,	-3,	-0.80,	0.00,	17.85,	0.00,	0,	24.52,	2.43,	34
0.00,	1,	-1.20,	0.00,	18.30,	0.00,	0,	25.13,	2.42,	35
0.00,	-4,	-1.40,	0.00,	18.01,	0.00,	0,	25.77,	2.38,	35
0.00,	2,	-1.20,	0.00,	10.83,	0.00,	0,	24.51,	1.47,	34
0.00,	-3,	-1.40,	0.00,	16.98,	0.00,	0,	24.63,	2.31,	34
0.00,	-2,	-1.20,	0.00,	17.58,	0.00,	0,	25.36,	2.39,	34
0.00,	-5,	-2.40,	0.00,	17.65,	0.00,	0,	25.35,	2.40,	34
0.00,	-1,	-1.80,	0.00,	18.98,	0.00,	0,	25.00,	2.51,	35
