
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

47.6,	90,	0,	102,	74.1909
47.6,	90,	0,	102,	74.1909
46.8,	91,	0,	102,	74.1959
46.8,	91,	0,	102,	74.2009
46,	92,	0,	102,	74.206
45.5,	93,	0,	102,	74.211
44.2,	94,	0,	102,	74.216
20.9,	118,	0,	103,	74.3718
20.9,	118,	0,	103,	74.3718
20.4,	118,	0,	103,	74.3768
20.5,	119,	0,	103,	74.3818
20.5,	120,	0,	103,	74.3868
20.3,	121,	0,	103,	74.3919
19.8,	121,	0,	103,	74.3969
1.4,	149,	0,	104,	74.5829
1.4,	149,	0,	104,	74.5829
1.3,	151,	0,	104,	74.5886
1,	152,	0,	104,	74.5938
0.3,	152,	0,	104,	74.5987
-0.1,	153,	0,	104,	74.6037
-1.8,	154,	0,	104,	74.6087
-26.1,	182,	0,	105,	74.7941
-26.1,	182,	0,	105,	74.7941
-26.7,	182,	0,	105,	74.799
-27.2,	183,	0,	105,	74.804
-27.4,	184,	0,	105,	74.8091
-28.1,	184,	0,	105,	74.8141
-29.3,	185,	0,	105,	74.8192
-60.6,	218,	0,	106,	75.0352
-60.6,	218,	0,	106,	75.0352
-61.5,	219,	0,	106,	75.0402
-62.6,	220,	0,	106,	75.0452
-63.3,	221,	0,	106,	75.0502
-64,	221,	0,	106,	75.0553
-64.6,	222,	0,	106,	75.0603
-55.1,	254,	0,	107,	75.2763
-55.1,	254,	0,	107,	75.2763
-53.5,	255,	0,	107,	75.2813
-52.9,	255,	0,	107,	75.2864
-52.4,	256,	0,	107,	75.2914
-51.5,	257,	0,	107,	75.2964
-49,	258,	0,	107,	75.3014
-30.5,	286,	0,	108,	75.4873
-30.5,	286,	0,	108,	75.4873
-30.2,	286,	0,	108,	75.4923
-29.8,	287,	0,	108,	75.4973
-29.4,	288,	0,	108,	75.5024
-29.6,	289,	0,	108,	75.5074
-29.7,	289,	0,	108,	75.5124
-23.2,	312,	0,	109,	75.6682
-23.2,	312,	0,	109,	75.6682
-23.2,	313,	0,	109,	75.6732
-23.2,	314,	0,	109,	75.6783
-23,	315,	0,	109,	75.6833
-22.5,	315,	0,	109,	75.6883
-22.1,	316,	0,	109,	75.6935
6.5,	352,	0,	110,	75.94
6.5,	352,	0,	110,	75.94
7.2,	353,	0,	110,	75.945
8,	353,	0,	110,	75.95
9.4,	354,	0,	110,	75.955
11,	355,	0,	110,	75.96
12.2,	356,	0,	110,	75.965
58.6,	27,	0,	111,	76.1806
58.6,	27,	0,	111,	76.1806
60.1,	28,	0,	111,	76.1856
61.5,	29,	0,	111,	76.1907
61.9,	30,	0,	111,	76.1957
62.8,	30,	0,	111,	76.2007
64.1,	31,	0,	111,	76.2057
60.5,	60,	0,	112,	76.3917
60.5,	60,	0,	112,	76.3917
60,	61,	0,	112,	76.3966
59.4,	61,	0,	112,	76.4017
58.8,	62,	0,	112,	76.4067
57.8,	63,	0,	112,	76.4117
57.1,	63,	0,	112,	76.4167
41.8,	86,	0,	113,	76.5725
41.8,	86,	0,	113,	76.5725
41.1,	87,	0,	113,	76.5775
39.6,	88,	0,	113,	76.5826
39.8,	89,	0,	113,	76.5876
38.9,	90,	0,	113,	76.5926
38.5,	90,	0,	113,	76.5976
17.9,	119,	0,	114,	76.7835
17.9,	119,	0,	114,	76.7835
17,	119,	0,	114,	76.7886
16.5,	120,	0,	114,	76.7937
16.4,	121,	0,	114,	76.7986
16.3,	122,	0,	114,	76.8036
16.2,	122,	0,	114,	76.8087
-5.5,	156,	0,	115,	77.0247
-5.5,	156,	0,	115,	77.0247
-6.6,	157,	0,	115,	77.0298
-6.5,	157,	0,	115,	77.0348
-6.3,	158,	0,	115,	77.0398
-6.3,	159,	0,	115,	77.0448
-6.6,	160,	0,	115,	77.0499
-36.4,	198,	0,	116,	77.2963
-36.4,	198,	0,	116,	77.2963
-37.4,	199,	0,	116,	77.3013
-38.2,	200,	0,	116,	77.3063
-38.4,	201,	0,	116,	77.3113
