
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	0,	-0.80,	-2.00,	1.00,	-3.90,	0.00,	30.11,	0.00,	0,	25.13,	4.10,	34
0.00,	-3,	-0.60,	-2.00,	1.00,	-5.32,	0.00,	29.14,	0.00,	0,	26.74,	3.97,	34
0.00,	4,	0.00,	-2.00,	2.00,	-7.80,	0.00,	25.87,	0.00,	0,	25.44,	3.52,	34
0.00,	0,	0.20,	-2.00,	2.00,	-2.00,	0.00,	28.44,	0.00,	0,	25.51,	3.87,	34
0.00,	0,	0.20,	-2.00,	2.00,	-7.80,	0.00,	25.51,	0.00,	0,	24.63,	3.47,	34
0.00,	0,	0.20,	-1.00,	2.00,	-1.93,	0.00,	30.87,	0.00,	0,	25.00,	4.20,	34
0.00,	-1,	0.60,	-1.00,	2.00,	-3.47,	0.00,	27.96,	0.00,	0,	24.88,	3.92,	33
0.00,	2,	0.20,	-1.00,	2.00,	-7.03,	0.00,	24.86,	0.00,	0,	24.30,	3.49,	33
0.00,	0,	0.20,	-2.00,	2.00,	-6.62,	0.00,	27.76,	0.00,	0,	24.27,	4.02,	32
0.00,	0,	0.20,	-1.00,	2.00,	-5.05,	0.00,	26.96,	0.00,	0,	24.39,	3.90,	32
0.00,	1,	0.40,	-2.00,	2.00,	-4.52,	0.00,	27.50,	0.00,	0,	23.92,	3.98,	32
0.00,	-2,	0.20,	-2.00,	2.00,	-5.49,	0.00,	29.77,	0.00,	0,	24.07,	4.18,	33
0.00,	0,	-0.20,	-2.00,	1.00,	-4.14,	0.00,	23.45,	0.00,	0,	25.25,	3.29,	33
0.00,	-1,	-0.40,	-1.00,	1.00,	-3.59,	0.00,	25.76,	0.00,	0,	25.77,	3.51,	34
0.00,	2,	0.00,	-1.00,	2.00,	-7.83,	0.00,	29.99,	0.00,	0,	25.51,	4.08,	34
