
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

14.8,	121,	17,	80,	20.2057
14.8,	121,	17,	80,	20.2057
14.6,	122,	17,	80,	20.2106
14,	123,	17,	80,	20.2157
13.7,	124,	17,	80,	20.2206
12.9,	125,	17,	80,	20.2256
12.5,	125,	17,	80,	20.2306
2.5,	148,	48,	81,	20.3847
2.5,	148,	48,	81,	20.3847
2.3,	149,	48,	81,	20.3896
0.5,	149,	48,	81,	20.3946
-1.2,	150,	48,	81,	20.3996
-3.5,	151,	48,	81,	20.4046
-5.4,	151,	48,	81,	20.4095
-33.6,	179,	78,	82,	20.5935
-33.6,	179,	78,	82,	20.5935
-34,	180,	78,	82,	20.5985
-34,	180,	78,	82,	20.6035
-34.5,	181,	78,	82,	20.6085
-34.9,	182,	78,	82,	20.6134
-35.1,	183,	78,	82,	20.6184
-63.8,	216,	115,	83,	20.8322
-63.8,	216,	115,	83,	20.8322
-63.8,	217,	115,	83,	20.8372
-63.2,	218,	115,	83,	20.8421
-62.5,	218,	115,	83,	20.8471
-61.8,	219,	115,	83,	20.8521
-62.4,	220,	115,	83,	20.857
-41.9,	256,	152,	84,	21.1007
-41.9,	256,	152,	84,	21.1007
-41.4,	257,	152,	84,	21.1057
-41,	258,	152,	84,	21.1106
-40.6,	259,	152,	84,	21.1156
-40.4,	259,	152,	84,	21.1205
-40.3,	260,	152,	84,	21.1255
-37.3,	284,	181,	85,	21.2796
-37.3,	284,	181,	85,	21.2796
-37.3,	285,	181,	85,	21.2846
-36.6,	285,	181,	85,	21.2896
-36.2,	286,	181,	85,	21.2946
-37,	287,	181,	85,	21.2996
-36.8,	288,	181,	85,	21.3045
-30.6,	316,	212,	86,	21.4885
-30.6,	316,	212,	86,	21.4885
-30.6,	316,	212,	86,	21.4934
-30.4,	317,	212,	86,	21.4984
-29.4,	318,	212,	86,	21.5034
-27.5,	319,	212,	86,	21.5084
-26.9,	320,	212,	86,	21.5133
6.6,	348,	251,	87,	21.6974
6.6,	348,	251,	87,	21.6974
7.2,	348,	251,	87,	21.7023
7.4,	349,	251,	87,	21.7073
7.4,	350,	251,	87,	21.7122
6.9,	351,	251,	87,	21.7172
7,	352,	251,	87,	21.7222
40.1,	24,	288,	88,	21.936
40.1,	24,	288,	88,	21.936
40.6,	24,	288,	88,	21.941
40.8,	25,	288,	88,	21.946
40.6,	26,	288,	88,	21.9509
40.7,	27,	288,	88,	21.9559
40.7,	27,	288,	88,	21.9609
58,	65,	318,	89,	22.2045
58,	65,	318,	89,	22.2045
58,	66,	318,	89,	22.2094
57.2,	66,	318,	89,	22.2144
56.6,	67,	318,	89,	22.2194
55.8,	68,	318,	89,	22.2244
53.6,	69,	318,	89,	22.2293
42.3,	92,	348,	90,	22.3835
42.3,	92,	348,	90,	22.3835
41.9,	93,	348,	90,	22.3884
40.9,	94,	348,	90,	22.3934
39.6,	95,	348,	90,	22.3984
37.6,	95,	348,	90,	22.4034
37.2,	96,	348,	90,	22.4083
15.6,	125,	21,	91,	22.5929
15.6,	125,	21,	91,	22.5929
15.7,	125,	21,	91,	22.5979
16,	126,	21,	91,	22.603
16.6,	127,	21,	91,	22.6079
16.4,	128,	21,	91,	22.6129
15.9,	128,	21,	91,	22.6179
-12.8,	160,	61,	92,	22.831
-12.8,	160,	61,	92,	22.831
-13.6,	161,	61,	92,	22.836
-13.8,	162,	61,	92,	22.8409
-13.6,	162,	61,	92,	22.8459
-14.1,	163,	61,	92,	22.8509
-14.5,	164,	61,	92,	22.8559
-57.8,	202,	99,	93,	23.0995
-57.8,	202,	99,	93,	23.0995
-59.2,	203,	99,	93,	23.1045
-59.3,	203,	99,	93,	23.1094
-60.1,	204,	99,	93,	23.1144
-60.4,	205,	99,	93,	23.1194
-60.6,	206,	99,	93,	23.1244
-65.1,	230,	129,	94,	23.2786
-65.1,	230,	129,	94,	23.2786
-65.1,	230,	129,	94,	23.2836
-64.7,	231,	129,	94,	23.2886
-64.4,	232,	129,	94,	23.2936
-63.6,	233,	129,	94,	23.2986
-62.5,	234,	129,	94,	23.3036
-50.9,	261,	169,	95,	23.4873
-50.9,	261,	169,	95,	23.4873
-51.3,	262,	169,	95,	23.4923
-50.9,	262,	169,	95,	23.4973
-50.3,	263,	169,	95,	23.5023
-49.4,	264,	169,	95,	23.5073
-49.2,	265,	169,	95,	23.5122
-35.3,	293,	200,	96,	23.6962
-35.3,	293,	200,	96,	23.6962
-36.1,	293,	200,	96,	23.7012
-37.2,	294,	200,	96,	23.7062
-37.5,	295,	200,	96,	23.7112
-38.1,	296,	200,	96,	23.7161
-38.1,	296,	200,	96,	23.7211
-22.3,	328,	241,	97,	23.9349
-22.3,	328,	241,	97,	23.9349
-20.5,	329,	241,	97,	23.9399
-17.3,	330,	241,	97,	23.9449
-16,	331,	241,	97,	23.9499
-14.5,	331,	241,	97,	23.9548
-13,	332,	241,	97,	23.9598
30.9,	8,	279,	98,	24.2035
30.9,	8,	279,	98,	24.2035
31.3,	8,	279,	98,	24.2085
32.4,	9,	279,	98,	24.2134
33.7,	10,	279,	98,	24.2184
33.8,	11,	279,	98,	24.2234
33.9,	11,	279,	98,	24.2284
51.8,	35,	309,	99,	24.3825
51.8,	35,	309,	99,	24.3825
52.9,	36,	309,	99,	24.3875
52.8,	36,	309,	99,	24.3925
53.7,	37,	309,	99,	24.3975
53.7,	38,	309,	99,	24.4024
54.4,	39,	309,	99,	24.4074
58.5,	66,	339,	100,	24.5914
58.5,	66,	339,	100,	24.5914
58.7,	67,	339,	100,	24.5964
58.5,	67,	339,	100,	24.6014
58.7,	68,	339,	100,	24.6063
58.2,	69,	339,	100,	24.6113
58.8,	70,	339,	100,	24.6163
33.4,	98,	11,	101,	24.8004
33.4,	98,	11,	101,	24.8004
32,	99,	11,	101,	24.8052
30.6,	99,	11,	101,	24.8102
29.1,	100,	11,	101,	24.8151
27.1,	101,	11,	101,	24.8201
26,	102,	11,	101,	24.8251
17.6,	133,	51,	102,	25.0388
17.6,	133,	51,	102,	25.0388
16.9,	134,	51,	102,	25.0438
16.4,	135,	51,	102,	25.0487
15.5,	136,	51,	102,	25.0537
15.2,	136,	51,	102,	25.0587
13.5,	137,	51,	102,	25.0637
-22.5,	169,	89,	103,	25.2773
-22.5,	169,	89,	103,	25.2773
-23.6,	170,	89,	103,	25.2823
-24.6,	170,	89,	103,	25.2873
-26,	171,	89,	103,	25.2923
-28,	172,	89,	103,	25.2972
-29.2,	172,	89,	103,	25.3022
-61.5,	201,	117,	104,	25.4861
-61.5,	201,	117,	104,	25.4861
-62.6,	202,	117,	104,	25.4911
-62.6,	203,	117,	104,	25.4961
-63.1,	203,	117,	104,	25.501
-63.4,	204,	117,	104,	25.506
