
Right power from force,Vector size

1.8368,	533
1.0563,	551
6.3667,	480
0.5881,	539
4.3080,	487
1.2561,	535
1.1833,	551
4.7584,	505
2.9559,	431
2.3034,	524
2.8891,	514
1.7385,	585
2.2523,	543
0.9209,	392
5.1996,	481
4.1043,	393
1.6012,	499
1.3393,	560
1.8106,	565
1.4065,	551
1.7768,	542
3.4667,	555
1.2962,	557
3.0394,	558
2.2232,	551
1.4426,	549
2.2842,	556
1.1914,	559
3.4065,	556
4.3297,	464
2.4293,	403
5.5805,	441
-0.3612,	407
2.5835,	545
1.0820,	549
0.6834,	518
1.9594,	566
0.6807,	570
2.5368,	570
0.3483,	534
3.9898,	492
0.6458,	528
3.0883,	555
2.3161,	560
0.4397,	564
2.6788,	551
0.8827,	520
3.2692,	483
-0.8355,	377
1.9858,	564
2.3940,	533
-1.2529,	522
2.4751,	543
-0.5536,	560
1.7814,	558
1.3912,	547
1.1093,	549
2.9337,	513
-0.1055,	512
0.9924,	526
0.0893,	549
1.8063,	537
3.1061,	490
2.7812,	457
-0.4749,	358
0.4137,	394
0.6323,	533
0.3513,	575
2.1532,	568
0.2655,	501
3.3023,	440
-0.1674,	484
1.1834,	469
2.2485,	515
0.7069,	563
2.1614,	539
