
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	-2.80,	-2.00,	0.00,	-2.68,	0.00,	29.10,	0.00,	0,	24.86,	4.08,	33
0.00,	0,	-2.60,	-2.00,	0.00,	-4.51,	0.00,	29.49,	0.00,	0,	25.25,	4.02,	34
0.00,	-1,	-2.60,	-2.00,	0.00,	-4.24,	0.00,	21.08,	0.00,	0,	25.51,	3.05,	32
0.00,	-12,	-3.60,	-1.00,	-1.00,	6.92,	0.00,	27.17,	0.00,	0,	25.51,	3.81,	33
0.00,	-2,	-3.60,	-2.00,	-1.00,	-3.09,	0.00,	29.05,	0.00,	0,	24.39,	4.08,	33
0.00,	0,	-3.00,	-2.00,	0.00,	-5.13,	0.00,	28.65,	0.00,	0,	24.27,	4.02,	33
0.00,	-5,	-4.00,	-2.00,	-1.00,	-4.78,	0.00,	28.51,	0.00,	0,	24.75,	4.00,	33
0.00,	2,	-3.40,	-2.00,	0.00,	-7.47,	0.00,	24.19,	0.00,	0,	25.64,	3.29,	34
0.00,	-3,	-1.60,	-3.00,	1.00,	-3.88,	0.00,	29.52,	0.00,	0,	25.77,	4.02,	34
0.00,	-1,	-1.40,	-3.00,	1.00,	-6.66,	0.00,	28.57,	0.00,	0,	26.18,	3.89,	34
0.00,	-2,	-1.80,	-3.00,	1.00,	-0.57,	0.00,	25.40,	0.00,	0,	26.88,	3.36,	35
0.00,	-4,	-1.60,	-2.00,	1.00,	-2.71,	0.00,	31.25,	0.00,	0,	25.38,	4.13,	35
0.00,	0,	-2.00,	-2.00,	1.00,	-6.50,	0.00,	30.18,	0.00,	0,	26.60,	3.99,	35
0.00,	-4,	-2.20,	-3.00,	1.00,	-3.84,	0.00,	26.16,	0.00,	0,	25.25,	3.67,	33
0.00,	0,	-2.00,	-2.00,	1.00,	-4.41,	0.00,	31.70,	0.00,	0,	24.22,	4.32,	34
0.00,	-3,	-2.20,	-3.00,	1.00,	-3.99,	0.00,	20.32,	0.00,	0,	25.13,	2.69,	35
0.00,	-3,	-2.00,	-3.00,	1.00,	-4.79,	0.00,	27.09,	0.00,	0,	24.88,	3.80,	33
0.00,	0,	-2.00,	-3.00,	1.00,	-6.36,	0.00,	28.45,	0.00,	0,	24.88,	3.99,	33
0.00,	-3,	-1.80,	-3.00,	1.00,	-2.91,	0.00,	29.18,	0.00,	0,	24.51,	4.09,	33
0.00,	0,	-1.80,	-3.00,	1.00,	-5.70,	0.00,	28.53,	0.00,	0,	24.15,	4.00,	33
0.00,	-2,	-1.60,	-3.00,	1.00,	-5.14,	0.00,	24.32,	0.00,	0,	25.13,	3.31,	34
0.00,	-2,	-1.40,	-3.00,	1.00,	-5.21,	0.00,	30.42,	0.00,	0,	24.27,	4.14,	34
0.00,	-2,	-1.80,	-3.00,	1.00,	-5.27,	0.00,	29.70,	0.00,	0,	25.08,	4.04,	34
0.00,	-2,	-1.60,	-3.00,	1.00,	-3.81,	0.00,	17.88,	0.00,	0,	24.88,	2.51,	33
0.00,	0,	-1.60,	-3.00,	1.00,	-7.42,	0.00,	28.75,	0.00,	0,	24.63,	4.03,	33
0.00,	-2,	-1.60,	-3.00,	1.00,	-6.64,	0.00,	29.00,	0.00,	0,	23.58,	4.07,	33
0.00,	0,	-1.20,	-3.00,	2.00,	-7.61,	0.00,	30.46,	0.00,	0,	23.92,	4.15,	34
0.00,	-2,	-1.20,	-3.00,	1.00,	-3.31,	0.00,	29.55,	0.00,	0,	25.64,	4.02,	34
0.00,	-2,	-1.20,	-3.00,	1.00,	-4.62,	0.00,	24.15,	0.00,	0,	25.51,	3.29,	34
0.00,	-2,	-1.60,	-3.00,	1.00,	-5.19,	0.00,	30.48,	0.00,	0,	25.00,	4.15,	34
0.00,	-5,	-2.20,	-3.00,	1.00,	-6.85,	0.00,	32.43,	0.00,	0,	25.64,	4.29,	35
0.00,	-2,	-2.60,	-3.00,	0.00,	-6.78,	0.00,	27.82,	0.00,	0,	25.51,	3.79,	34
0.00,	0,	-2.20,	-3.00,	0.00,	-2.65,	0.00,	29.55,	0.00,	0,	25.38,	4.02,	34
0.00,	-2,	-2.20,	-3.00,	0.00,	-4.13,	0.00,	34.17,	0.00,	0,	25.94,	4.39,	36
0.00,	-3,	-2.40,	-3.00,	0.00,	-3.34,	0.00,	32.02,	0.00,	0,	25.91,	4.24,	35
0.00,	-5,	-2.40,	-2.00,	0.00,	-1.12,	0.00,	29.35,	0.00,	0,	25.20,	4.00,	34
0.00,	-4,	-2.80,	-2.00,	0.00,	-3.28,	0.00,	23.53,	0.00,	0,	25.64,	3.20,	34
0.00,	-4,	-3.60,	-3.00,	0.00,	-5.06,	0.00,	31.40,	0.00,	0,	25.68,	4.15,	35
0.00,	-2,	-3.60,	-3.00,	0.00,	-6.28,	0.00,	31.09,	0.00,	0,	25.51,	4.11,	35
0.00,	-1,	-3.20,	-3.00,	0.00,	-2.81,	0.00,	26.72,	0.00,	0,	26.60,	3.53,	35
0.00,	-6,	-3.40,	-3.00,	0.00,	-3.91,	0.00,	30.06,	0.00,	0,	26.18,	3.98,	35
0.00,	0,	-2.60,	-3.00,	0.00,	-5.08,	0.00,	23.03,	0.00,	0,	26.11,	3.14,	34
0.00,	-1,	-2.00,	-3.00,	0.00,	-5.33,	0.00,	29.77,	0.00,	0,	25.00,	4.05,	34
0.00,	-6,	-2.80,	-3.00,	0.00,	-1.73,	0.00,	30.29,	0.00,	0,	25.13,	4.12,	34
0.00,	-2,	-3.00,	-3.00,	0.00,	-3.78,	0.00,	23.85,	0.00,	0,	25.63,	3.25,	34
0.00,	-1,	-2.00,	-2.00,	0.00,	-5.67,	0.00,	29.48,	0.00,	0,	25.26,	4.01,	34
0.00,	-1,	-2.20,	-2.00,	0.00,	-4.26,	0.00,	32.39,	0.00,	0,	25.13,	4.28,	35
0.00,	-3,	-2.60,	-2.00,	0.00,	-3.76,	0.00,	29.67,	0.00,	0,	25.51,	4.04,	34
0.00,	-1,	-1.60,	-2.00,	0.00,	-4.34,	0.00,	29.85,	0.00,	0,	25.38,	4.06,	34
0.00,	-3,	-1.80,	-2.00,	0.00,	-3.25,	0.00,	148.82,	0.00,	0,	25.38,	20.26,	34
0.00,	0,	-1.60,	-2.00,	0.00,	-6.00,	0.00,	30.43,	0.00,	0,	25.51,	4.14,	34
0.00,	-1,	-1.60,	-2.00,	0.00,	-3.70,	0.00,	27.19,	0.00,	0,	25.25,	3.60,	35
0.00,	-2,	-1.40,	-2.00,	1.00,	-5.87,	0.00,	29.95,	0.00,	0,	25.13,	4.08,	34
0.00,	0,	-1.20,	-2.00,	1.00,	-4.47,	0.00,	29.46,	0.00,	0,	25.77,	4.01,	34
0.00,	-4,	-1.40,	-2.00,	0.00,	-2.57,	0.00,	30.01,	0.00,	0,	25.25,	4.09,	34
0.00,	0,	-1.40,	-2.00,	0.00,	-6.01,	0.00,	30.32,	0.00,	0,	25.38,	4.13,	34
