
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-43.6,	313,	195,	107,	305.376
-43.6,	313,	195,	107,	305.376
-43.6,	314,	195,	107,	305.381
-42.6,	315,	195,	107,	305.386
-41.4,	315,	195,	107,	305.391
-41.2,	316,	195,	107,	305.396
-41,	317,	195,	107,	305.401
23,	353,	231,	108,	305.644
23,	353,	231,	108,	305.644
23,	353,	231,	108,	305.649
23.4,	354,	231,	108,	305.654
23.8,	355,	231,	108,	305.659
24,	355,	231,	108,	305.664
27.4,	356,	231,	108,	305.669
47,	18,	261,	109,	305.823
47,	18,	261,	109,	305.823
47.1,	19,	261,	109,	305.828
47,	19,	261,	109,	305.833
48,	20,	261,	109,	305.838
48.5,	21,	261,	109,	305.843
48,	22,	261,	109,	305.848
50.2,	49,	290,	110,	306.032
50.2,	49,	290,	110,	306.032
50.1,	49,	290,	110,	306.037
50.4,	50,	290,	110,	306.042
51.2,	51,	290,	110,	306.047
52.2,	52,	290,	110,	306.052
54.5,	52,	290,	110,	306.057
49.5,	80,	326,	111,	306.24
49.5,	80,	326,	111,	306.24
49.1,	81,	326,	111,	306.245
48.6,	82,	326,	111,	306.25
48.1,	83,	326,	111,	306.255
47,	83,	326,	111,	306.26
45.2,	84,	326,	111,	306.265
21.7,	116,	2,	112,	306.479
21.7,	116,	2,	112,	306.479
21.6,	116,	2,	112,	306.484
20.7,	117,	2,	112,	306.489
19.9,	118,	2,	112,	306.494
18.5,	119,	2,	112,	306.499
17.2,	119,	2,	112,	306.504
-7.2,	155,	32,	113,	306.747
-7.2,	155,	32,	113,	306.747
-7.2,	156,	32,	113,	306.752
-8,	157,	32,	113,	306.757
-8.1,	157,	32,	113,	306.762
-9.1,	158,	32,	113,	306.767
-11,	159,	32,	113,	306.772
-36.6,	182,	63,	114,	306.926
-36.6,	182,	63,	114,	306.926
-38.6,	183,	63,	114,	306.931
-40.3,	183,	63,	114,	306.936
-41.2,	184,	63,	114,	306.941
-41.7,	185,	63,	114,	306.946
-42.8,	186,	63,	114,	306.951
-62.7,	214,	92,	115,	307.135
-62.7,	214,	92,	115,	307.135
-64,	215,	92,	115,	307.14
-64.9,	215,	92,	115,	307.146
