
Right power from force,Vector size

1.6908,	566
0.2664,	563
-0.2433,	522
2.0915,	492
0.3870,	553
2.4828,	553
0.2505,	503
2.4593,	418
0.8608,	467
3.0755,	477
2.1559,	481
0.3569,	538
2.7353,	529
-0.1085,	507
1.7171,	555
1.1612,	515
0.7155,	566
2.7382,	531
-0.6780,	500
2.5534,	562
0.8710,	527
0.8330,	569
1.6042,	518
-1.1641,	384
5.9243,	370
0.5274,	474
1.8733,	513
1.2898,	452
2.1527,	537
0.2211,	502
0.7947,	565
2.1717,	565
0.0883,	566
0.9209,	556
0.3476,	492
1.4834,	513
1.1537,	553
0.3570,	549
1.8609,	539
3.7570,	465
1.1396,	444
3.1797,	434
0.4953,	428
0.1059,	538
0.9532,	513
1.9929,	563
0.8903,	556
-0.0935,	556
1.6236,	542
-1.3217,	544
1.0543,	534
0.6472,	547
1.9925,	536
1.1847,	574
-0.6691,	559
1.9089,	516
-0.8725,	455
3.4876,	402
1.7037,	432
-3.2192,	438
0.9149,	552
-1.6788,	551
1.3923,	548
-1.2860,	542
1.2222,	549
0.2352,	557
0.3512,	561
1.3091,	563
-2.0820,	573
0.5168,	567
-1.8022,	536
0.1354,	554
0.1144,	568
-4.5215,	395
1.8244,	450
