
Right power from force,Vector size

-0.3487,	519
-1.6235,	494
1.7261,	566
0.6620,	568
1.1184,	456
-0.8442,	462
0.4280,	521
0.6157,	445
-0.9150,	412
0.7079,	445
0.2938,	405
1.9098,	532
0.9133,	427
-0.3526,	519
2.8723,	501
-0.8343,	513
2.5382,	563
0.0585,	530
1.6385,	545
0.0377,	531
-1.1502,	506
1.8869,	566
-0.2469,	559
3.1667,	540
2.4442,	412
3.4406,	429
1.9442,	394
0.9187,	541
2.4673,	550
0.4482,	569
3.1616,	563
1.8155,	515
0.1711,	526
-0.0456,	504
1.1519,	566
3.2675,	557
1.2529,	526
3.1056,	549
2.0382,	576
1.2466,	515
1.3860,	399
2.7841,	403
5.9862,	363
2.6481,	412
1.1779,	506
1.6793,	552
1.8790,	504
1.8092,	566
0.6449,	552
2.5968,	558
1.7205,	551
0.9944,	539
2.4071,	538
0.3358,	542
2.2083,	552
0.7455,	554
2.0129,	541
-35.9949,	196
8.3226,	31
26.9810,	158
-7.1980,	394
-0.4232,	560
2.6342,	555
1.3060,	562
1.6065,	554
2.2389,	561
-0.7852,	554
2.2914,	556
-0.3506,	559
1.7845,	566
