
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-3.60,	-3.00,	0.00,	-4.37,	0.00,	29.07,	0.00,	0,	25.77,	3.96,	34
0.00,	-2,	-3.40,	-3.00,	0.00,	-5.46,	0.00,	23.88,	0.00,	0,	26.46,	3.25,	34
0.00,	-5,	-4.20,	-3.00,	0.00,	-1.74,	0.00,	27.74,	0.00,	0,	25.25,	3.89,	33
0.00,	-4,	-3.80,	-3.00,	0.00,	-6.45,	0.00,	18.95,	0.00,	0,	25.00,	2.66,	33
0.00,	-2,	-3.60,	-3.00,	0.00,	-4.69,	0.00,	30.52,	0.00,	0,	25.01,	4.16,	34
0.00,	-5,	-3.60,	-3.00,	0.00,	-5.28,	0.00,	30.27,	0.00,	0,	25.25,	4.12,	34
0.00,	0,	-3.20,	-3.00,	0.00,	-5.31,	0.00,	25.15,	0.00,	0,	26.74,	3.42,	34
0.00,	-3,	-2.80,	-3.00,	0.00,	-3.33,	0.00,	26.46,	0.00,	0,	23.92,	3.83,	32
0.00,	-4,	-2.80,	-3.00,	0.00,	-4.68,	0.00,	28.77,	0.00,	0,	24.04,	4.04,	33
0.00,	-3,	-3.00,	-3.00,	0.00,	-6.05,	0.00,	27.66,	0.00,	0,	24.39,	3.88,	33
0.00,	-3,	-2.60,	-3.00,	0.00,	-3.90,	0.00,	29.66,	0.00,	0,	25.25,	4.04,	34
0.00,	0,	-2.60,	-3.00,	1.00,	-8.56,	0.00,	15.11,	0.00,	0,	25.64,	2.12,	33
0.00,	-6,	-3.20,	-3.00,	0.00,	-1.43,	0.00,	30.15,	0.00,	0,	25.25,	4.11,	34
0.00,	-3,	-3.00,	-3.00,	0.00,	-4.89,	0.00,	31.57,	0.00,	0,	26.18,	4.18,	35
0.00,	-2,	-2.80,	-3.00,	0.00,	-2.47,	0.00,	25.87,	0.00,	0,	25.38,	3.63,	33
0.00,	-5,	-3.20,	-3.00,	0.00,	-2.44,	0.00,	28.06,	0.00,	0,	24.88,	3.94,	33
