
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-42.2,	268,	173,	258,	200.274
-42.2,	268,	173,	258,	200.274
-42.6,	269,	173,	258,	200.279
-42.3,	270,	173,	258,	200.284
-42.4,	271,	173,	258,	200.289
-42.6,	271,	173,	258,	200.294
-42.6,	272,	173,	258,	200.299
-56.9,	296,	202,	259,	200.453
-56.9,	296,	202,	259,	200.453
-56.4,	296,	202,	259,	200.458
-56.1,	297,	202,	259,	200.463
-55.4,	298,	202,	259,	200.468
-54.5,	299,	202,	259,	200.473
-55,	299,	202,	259,	200.478
-23.6,	327,	233,	260,	200.662
-23.6,	327,	233,	260,	200.662
-22.3,	328,	233,	260,	200.667
-20.8,	329,	233,	260,	200.672
-19.6,	329,	233,	260,	200.677
-18.4,	330,	233,	260,	200.682
-16.8,	331,	233,	260,	200.687
25.2,	358,	264,	261,	200.871
25.2,	358,	264,	261,	200.871
25.2,	359,	264,	261,	200.876
25.7,	0,	264,	261,	200.88
26.4,	1,	264,	261,	200.885
26.7,	1,	264,	261,	200.89
28.1,	2,	264,	261,	200.895
47.9,	36,	302,	262,	201.109
47.9,	36,	302,	262,	201.109
48.4,	36,	302,	262,	201.114
48.2,	37,	302,	262,	201.119
47.7,	38,	302,	262,	201.124
47.6,	39,	302,	262,	201.129
49.4,	39,	302,	262,	201.134
51.6,	77,	339,	263,	201.377
51.6,	77,	339,	263,	201.377
50.3,	78,	339,	263,	201.382
49.5,	79,	339,	263,	201.387
49.1,	79,	339,	263,	201.392
48.8,	80,	339,	263,	201.397
48.3,	81,	339,	263,	201.402
22.8,	105,	9,	264,	201.556
22.8,	105,	9,	264,	201.556
21.9,	105,	9,	264,	201.561
21.2,	106,	9,	264,	201.566
20.2,	107,	9,	264,	201.571
19.7,	108,	9,	264,	201.576
19,	109,	9,	264,	201.581
1.2,	137,	43,	265,	201.765
1.2,	137,	43,	265,	201.765
1,	138,	43,	265,	201.77
0,	139,	43,	265,	201.775
0.9,	140,	43,	265,	201.78
1.5,	141,	43,	265,	201.785
1.8,	141,	43,	265,	201.79
-27.4,	169,	75,	266,	201.974
-27.4,	169,	75,	266,	201.974
-27.8,	170,	75,	266,	201.979
-28.6,	171,	75,	266,	201.984
-28.7,	172,	75,	266,	201.988
-31.2,	172,	75,	266,	201.993
-31.3,	173,	75,	266,	201.998
-65,	206,	113,	267,	202.212
-65,	206,	113,	267,	202.212
-65.3,	207,	113,	267,	202.217
-66.5,	208,	113,	267,	202.222
-68,	209,	113,	267,	202.227
-69,	209,	113,	267,	202.232
-69.4,	210,	113,	267,	202.237
-54.9,	244,	151,	268,	202.451
-54.9,	244,	151,	268,	202.451
-54.3,	245,	151,	268,	202.456
-54,	246,	151,	268,	202.461
-53.4,	246,	151,	268,	202.465
-52.6,	247,	151,	268,	202.47
-52.3,	248,	151,	268,	202.475
-36.1,	276,	182,	269,	202.659
-36.1,	276,	182,	269,	202.659
-36.3,	277,	182,	269,	202.664
-36.5,	278,	182,	269,	202.669
-37.2,	279,	182,	269,	202.674
-37.7,	279,	182,	269,	202.679
-38,	280,	182,	269,	202.684
-35.7,	307,	214,	270,	202.868
-35.7,	307,	214,	270,	202.868
-35.5,	308,	214,	270,	202.873
-35.5,	309,	214,	270,	202.878
-35.2,	310,	214,	270,	202.883
-35.2,	311,	214,	270,	202.888
-35,	311,	214,	270,	202.893
-5,	339,	254,	271,	203.077
-5,	339,	254,	271,	203.077
-3.8,	339,	254,	271,	203.082
-2.9,	340,	254,	271,	203.087
-2.7,	341,	254,	271,	203.092
-1.4,	342,	254,	271,	203.097
-1.2,	342,	254,	271,	203.102
29.3,	15,	293,	272,	203.315
29.3,	15,	293,	272,	203.315
29.3,	15,	293,	272,	203.32
29.3,	16,	293,	272,	203.325
30.3,	17,	293,	272,	203.33
32,	18,	293,	272,	203.335
33,	18,	293,	272,	203.34
57.2,	51,	323,	273,	203.554
57.2,	51,	323,	273,	203.554
58,	52,	323,	273,	203.559
57.6,	53,	323,	273,	203.564
57.5,	54,	323,	273,	203.569
58,	54,	323,	273,	203.573
57.9,	55,	323,	273,	203.578
46.9,	83,	352,	274,	203.762
46.9,	83,	352,	274,	203.762
46.7,	84,	352,	274,	203.767
45.3,	84,	352,	274,	203.772
45,	85,	352,	274,	203.777
44.8,	86,	352,	274,	203.782
44,	87,	352,	274,	203.787
18.8,	115,	25,	275,	203.971
18.8,	115,	25,	275,	203.971
