
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-1,	-1.20,	0.00,	-1.00,	6.32,	0.00,	24.67,	0.00,	0,	24.63,	3.17,	36
0.00,	-3,	-1.60,	0.00,	-2.00,	3.81,	0.00,	30.98,	0.00,	0,	24.39,	3.98,	36
0.00,	-4,	-2.40,	0.00,	-2.00,	-2.31,	0.00,	25.08,	0.00,	0,	26.18,	3.14,	37
0.00,	0,	-1.80,	0.00,	-1.00,	2.51,	0.00,	31.30,	0.00,	0,	25.00,	3.92,	37
0.00,	-2,	-2.00,	0.00,	-2.00,	3.84,	0.00,	24.97,	0.00,	0,	26.18,	3.12,	37
0.00,	-3,	-2.40,	0.00,	-1.00,	-0.48,	0.00,	31.36,	0.00,	0,	25.91,	3.92,	37
0.00,	0,	-1.80,	0.00,	-1.00,	-0.62,	0.00,	29.01,	0.00,	0,	26.60,	3.63,	37
0.00,	0,	-1.00,	0.00,	0.00,	-4.53,	0.00,	22.75,	0.00,	0,	23.70,	2.93,	36
0.00,	-5,	-2.00,	0.00,	-1.00,	3.39,	0.00,	29.88,	0.00,	0,	24.88,	3.84,	36
0.00,	0,	-1.60,	0.00,	0.00,	3.00,	0.00,	24.78,	0.00,	0,	28.09,	3.37,	34
0.00,	0,	-1.00,	0.00,	0.00,	-1.31,	0.00,	29.53,	0.00,	0,	25.77,	3.80,	36
0.00,	-2,	-1.40,	0.00,	-1.00,	1.24,	0.00,	28.12,	0.00,	0,	26.74,	3.62,	36
0.00,	-2,	-1.80,	0.00,	-1.00,	2.72,	0.00,	26.55,	0.00,	0,	26.88,	3.51,	35
0.00,	-1,	-1.00,	0.00,	-1.00,	0.56,	0.00,	26.91,	0.00,	0,	24.75,	3.56,	35
0.00,	-3,	-1.60,	0.00,	-1.00,	0.66,	0.00,	24.77,	0.00,	0,	23.02,	3.19,	36
0.00,	-2,	-2.00,	0.00,	-1.00,	3.56,	0.00,	29.21,	0.00,	0,	26.04,	3.76,	36
0.00,	-4,	-2.40,	0.00,	-1.00,	1.59,	0.00,	22.68,	0.00,	0,	24.75,	3.00,	35
0.00,	-2,	-2.40,	0.00,	-1.00,	2.90,	0.00,	30.02,	0.00,	0,	23.81,	3.66,	38
0.00,	-5,	-3.20,	0.00,	-2.00,	2.14,	0.00,	27.87,	0.00,	0,	25.77,	3.58,	36
0.00,	-3,	-3.20,	0.00,	-2.00,	1.45,	0.00,	27.83,	0.00,	0,	25.90,	3.39,	38
0.00,	-3,	-3.40,	0.00,	-2.00,	-0.61,	0.00,	27.68,	0.00,	0,	27.03,	3.56,	36
0.00,	0,	-2.60,	0.00,	-1.00,	0.54,	0.00,	27.11,	0.00,	0,	25.77,	3.59,	35
0.00,	-3,	-2.80,	0.00,	-1.00,	3.43,	0.00,	27.96,	0.00,	0,	25.64,	3.60,	36
0.00,	-1,	-2.00,	0.00,	-1.00,	1.13,	0.00,	30.43,	0.00,	0,	26.33,	3.81,	37
0.00,	-1,	-1.60,	0.00,	-1.00,	2.52,	0.00,	19.23,	0.00,	0,	26.04,	2.41,	37
0.00,	-2,	-1.40,	0.00,	-1.00,	1.82,	0.00,	28.07,	0.00,	0,	25.77,	3.61,	36
0.00,	-2,	-1.80,	0.00,	-2.00,	2.54,	0.00,	31.74,	0.00,	0,	25.95,	3.97,	37
0.00,	-2,	-1.60,	0.00,	-1.00,	1.15,	0.00,	28.38,	0.00,	0,	27.02,	3.65,	36
0.00,	-2,	-1.80,	0.00,	-1.00,	-0.55,	0.00,	31.94,	0.00,	0,	26.31,	4.00,	37
0.00,	-1,	-1.80,	0.00,	-1.00,	4.45,	0.00,	18.09,	0.00,	0,	27.78,	2.33,	36
0.00,	-2,	-1.80,	0.00,	-1.00,	0.14,	0.00,	32.65,	0.00,	0,	28.87,	3.88,	39
0.00,	-3,	-2.00,	0.00,	-1.00,	1.61,	0.00,	26.37,	0.00,	0,	25.91,	3.49,	35
0.00,	-1,	-1.80,	0.00,	-1.00,	2.20,	0.00,	30.53,	0.00,	0,	22.94,	3.93,	36
0.00,	-4,	-2.20,	0.00,	-1.00,	2.01,	0.00,	27.34,	0.00,	0,	24.75,	3.62,	35
0.00,	-3,	-2.60,	0.00,	-1.00,	1.37,	0.00,	18.35,	0.00,	0,	25.13,	2.36,	36
0.00,	-2,	-2.60,	0.00,	-1.00,	0.21,	0.00,	28.72,	0.00,	0,	24.88,	3.69,	36
0.00,	-2,	-2.40,	0.00,	-2.00,	3.33,	0.00,	27.88,	0.00,	0,	25.25,	3.59,	36
0.00,	-3,	-2.80,	0.00,	-2.00,	1.88,	0.00,	32.32,	0.00,	0,	25.77,	4.16,	36
0.00,	-2,	-2.40,	0.00,	-1.00,	0.42,	0.00,	27.78,	0.00,	0,	27.93,	3.57,	36
0.00,	-2,	-2.20,	0.00,	-1.00,	2.50,	0.00,	27.57,	0.00,	0,	26.18,	3.55,	36
0.00,	-3,	-2.40,	0.00,	-2.00,	1.60,	0.00,	25.89,	0.00,	0,	25.13,	3.53,	34
0.00,	-2,	-2.40,	0.00,	-1.00,	1.29,	0.00,	31.23,	0.00,	0,	24.39,	3.91,	37
0.00,	-2,	-2.20,	0.00,	-1.00,	0.82,	0.00,	18.59,	0.00,	0,	27.46,	2.33,	37
0.00,	-3,	-2.40,	0.00,	-2.00,	2.47,	0.00,	29.66,	0.00,	0,	25.37,	3.81,	36
0.00,	-3,	-2.60,	0.00,	-2.00,	0.29,	0.00,	30.35,	0.00,	0,	24.88,	3.80,	37
0.00,	-5,	-3.00,	0.00,	-2.00,	0.52,	0.00,	27.90,	0.00,	0,	26.60,	3.59,	36
0.00,	-2,	-3.00,	0.00,	-2.00,	2.34,	0.00,	31.44,	0.00,	0,	26.20,	3.93,	37
0.00,	-2,	-3.00,	0.00,	-2.00,	0.89,	0.00,	19.04,	0.00,	0,	27.32,	2.45,	36
0.00,	-2,	-2.80,	0.00,	-2.00,	2.60,	0.00,	31.20,	0.00,	0,	25.80,	3.90,	37
0.00,	-3,	-2.80,	0.00,	-1.00,	-0.73,	0.00,	27.79,	0.00,	0,	26.74,	3.57,	36
0.00,	-4,	-2.60,	0.00,	-2.00,	4.11,	0.00,	28.33,	0.00,	0,	27.78,	3.45,	38
0.00,	-1,	-2.40,	0.00,	-1.00,	1.13,	0.00,	27.26,	0.00,	0,	25.25,	3.61,	35
0.00,	-3,	-2.60,	0.00,	-1.00,	-2.58,	0.00,	25.09,	0.00,	0,	24.44,	3.23,	36
0.00,	-3,	-2.80,	0.00,	-1.00,	2.96,	0.00,	28.04,	0.00,	0,	26.88,	3.61,	36
0.00,	-2,	-2.60,	0.00,	-1.00,	0.23,	0.00,	60.32,	0.00,	0,	18.87,	6.21,	45
0.00,	-5,	-2.80,	0.00,	-1.00,	2.95,	0.00,	26.07,	0.00,	0,	30.12,	3.18,	38
0.00,	-2,	-3.00,	-1.00,	-1.00,	-0.79,	0.00,	23.61,	0.00,	0,	25.64,	3.42,	32
0.00,	-9,	-4.20,	-1.00,	-2.00,	-3.85,	0.00,	30.98,	0.00,	0,	28.84,	3.88,	37
0.00,	-2,	-4.00,	-1.00,	-2.00,	2.20,	0.00,	29.04,	0.00,	0,	27.47,	3.73,	36
0.00,	-4,	-4.40,	-2.00,	-2.00,	-1.66,	0.00,	25.57,	0.00,	0,	26.46,	3.48,	34
0.00,	-5,	-4.40,	-2.00,	-1.00,	-0.03,	0.00,	26.63,	0.00,	0,	25.51,	3.63,	34
0.00,	-2,	-4.40,	-2.00,	-1.00,	1.22,	0.00,	26.54,	0.00,	0,	24.75,	3.61,	34
0.00,	-1,	-2.80,	-1.00,	-1.00,	2.48,	0.00,	23.27,	0.00,	0,	23.81,	3.17,	34
0.00,	-2,	-2.80,	-1.00,	-1.00,	-0.11,	0.00,	26.82,	0.00,	0,	25.00,	3.65,	34
0.00,	-3,	-2.60,	0.00,	-1.00,	0.57,	0.00,	28.62,	0.00,	0,	23.70,	3.79,	35
0.00,	-2,	-2.00,	0.00,	-1.00,	0.95,	0.00,	22.62,	0.00,	0,	25.64,	2.99,	35
0.00,	-3,	-2.20,	0.00,	-1.00,	-0.05,	0.00,	29.47,	0.00,	0,	27.78,	3.79,	36
0.00,	-3,	-2.60,	0.00,	-1.00,	2.49,	0.00,	21.33,	0.00,	0,	25.77,	2.90,	34
0.00,	-3,	-2.80,	0.00,	-1.00,	0.74,	0.00,	29.02,	0.00,	0,	26.11,	3.84,	35
0.00,	-3,	-2.80,	0.00,	-2.00,	2.64,	0.00,	25.98,	0.00,	0,	26.67,	3.54,	34
0.00,	-2,	-2.80,	0.00,	-2.00,	0.18,	0.00,	23.69,	0.00,	0,	25.77,	3.13,	35
0.00,	-3,	-2.80,	0.00,	-2.00,	2.43,	0.00,	27.62,	0.00,	0,	26.60,	3.65,	35
0.00,	-3,	-2.80,	0.00,	-2.00,	2.46,	0.00,	26.67,	0.00,	0,	27.03,	3.63,	34
0.00,	-2,	-2.60,	0.00,	-1.00,	0.52,	0.00,	23.05,	0.00,	0,	24.51,	3.14,	34
0.00,	-3,	-2.60,	0.00,	-1.00,	0.29,	0.00,	29.89,	0.00,	0,	27.93,	3.84,	36
0.00,	0,	-2.20,	0.00,	-1.00,	-2.85,	0.00,	22.48,	0.00,	0,	26.74,	2.97,	35
