
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-46.5,	240,	305,	87,	22.8269
-46.5,	240,	305,	87,	22.8269
-45.6,	241,	305,	87,	22.8318
-45,	242,	305,	87,	22.8368
-44,	243,	305,	87,	22.8418
-43.1,	243,	305,	87,	22.8468
-43,	244,	305,	87,	22.8517
-32.3,	297,	349,	88,	23.1848
-32.3,	297,	349,	88,	23.1848
-32.1,	298,	349,	88,	23.1898
-32,	299,	349,	88,	23.1948
-31.2,	299,	349,	88,	23.1998
-30.4,	300,	349,	88,	23.2047
-30.3,	301,	349,	88,	23.2097
1.2,	344,	25,	89,	23.4837
1.2,	344,	25,	89,	23.4837
2.2,	345,	25,	89,	23.4887
2.9,	346,	25,	89,	23.4939
3.7,	346,	25,	89,	23.4988
4.4,	347,	25,	89,	23.5038
4.5,	348,	25,	89,	23.5088
28.1,	10,	63,	90,	23.6621
28.1,	10,	63,	90,	23.6621
28.5,	11,	63,	90,	23.6671
30,	12,	63,	90,	23.6721
30.9,	12,	63,	90,	23.677
31.8,	13,	63,	90,	23.6821
31.9,	14,	63,	90,	23.687
49.6,	52,	102,	91,	23.9305
49.6,	52,	102,	91,	23.9305
49.5,	52,	102,	91,	23.9355
49.8,	53,	102,	91,	23.9405
49.8,	54,	102,	91,	23.9454
50.1,	55,	102,	91,	23.9504
50.2,	56,	102,	91,	23.9554
41.3,	100,	148,	92,	24.2295
41.3,	100,	148,	92,	24.2295
41.6,	101,	148,	92,	24.2345
41.6,	101,	148,	92,	24.2395
42.2,	102,	148,	92,	24.2445
42.3,	103,	148,	92,	24.2495
42.3,	103,	148,	92,	24.2538
36.3,	126,	183,	93,	24.4079
36.3,	126,	183,	93,	24.4079
36,	127,	183,	93,	24.4129
34.9,	127,	183,	93,	24.4179
34.7,	128,	183,	93,	24.4229
34.7,	129,	183,	93,	24.4278
34.2,	130,	183,	93,	24.4328
11,	158,	224,	94,	24.6168
11,	158,	224,	94,	24.6168
9.7,	159,	224,	94,	24.6218
7.6,	159,	224,	94,	24.6267
6.7,	160,	224,	94,	24.6317
7.3,	161,	224,	94,	24.6367
7.8,	162,	224,	94,	24.6416
-37.7,	198,	265,	95,	24.8851
