
Right power from force,Vector size

-3.4091,	352
-1.0256,	390
-1.4893,	466
-3.3699,	438
-1.6811,	486
0.0740,	473
2.1942,	417
-4.2582,	426
-1.0688,	552
0.4718,	479
-2.0456,	548
-2.5923,	542
-1.2239,	545
-1.9859,	569
-2.9907,	432
-3.1925,	483
-2.4944,	449
-3.8172,	465
-2.5509,	550
-1.2730,	575
-0.6308,	539
-3.2656,	561
-1.3225,	555
-2.2200,	541
-2.2565,	542
-2.6569,	545
-1.8377,	573
-1.1640,	567
-2.8479,	572
-1.3660,	541
-2.3875,	542
-1.6970,	505
-3.2852,	512
-2.3720,	500
-1.3587,	499
-3.0037,	542
-2.4830,	501
-1.5224,	557
-2.6306,	536
-2.3733,	517
-2.1409,	575
-1.6608,	572
-3.1929,	539
-2.0148,	542
-3.0290,	552
-2.5930,	543
-1.7760,	576
-2.4259,	540
-1.1673,	496
-4.3122,	458
-1.1932,	414
-0.3093,	472
-3.3974,	546
-1.5868,	530
-4.0882,	567
-1.0804,	485
-2.7832,	489
-2.2044,	587
-1.4940,	500
-2.9328,	536
-1.7993,	553
-1.9785,	559
-1.2422,	574
-1.8604,	566
-1.9679,	560
-1.6627,	421
-3.0158,	505
-2.1839,	473
-3.2011,	522
-1.5350,	557
-2.9313,	568
-2.8275,	539
-1.4794,	557
-2.0113,	529
1.1121,	473
-2.3734,	533
