
Right power from force,Vector size

-4.2500,	76
-3.1884,	69
-2.9737,	76
-3.7903,	62
-0.9344,	61
-3.0159,	63
-3.3065,	62
-3.4203,	69
-1.6533,	75
-0.1096,	73
-3.5875,	80
-1.5921,	76
-0.8795,	83
-4.3768,	69
-0.8158,	76
-2.8551,	69
-1.9036,	83
-3.8767,	73
-2.5823,	79
-2.7971,	69
-2.6935,	62
-1.9032,	62
-4.9818,	55
-1.2609,	69
-2.8684,	76
-0.8684,	76
-0.6184,	76
-3.8696,	69
-0.7349,	83
-1.2368,	76
-2.4605,	76
-2.6842,	76
-3.0921,	76
-0.3816,	76
-4.1159,	69
-1.8421,	76
-0.7581,	62
-0.8387,	62
-1.1452,	62
-2.7258,	62
-1.3188,	69
-3.2368,	76
-0.8675,	83
-1.6711,	76
-3.1184,	76
-1.8684,	76
-4.8375,	80
-1.3611,	72
-4.1711,	76
-1.4268,	82
-3.6234,	77
-3.4079,	76
-2.6447,	76
-3.5000,	62
-1.5273,	55
-2.4032,	62
-2.0580,	69
-2.6197,	71
-3.0617,	81
-3.3373,	83
-5.1184,	76
-1.7237,	76
-4.4342,	76
-3.5362,	69
-2.5921,	76
-4.6711,	76
-2.3289,	76
-2.6711,	76
-2.9079,	76
0.3768,	69
-3.8545,	55
-0.8507,	67
-3.0781,	64
-3.5789,	76
-2.6842,	76
