
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-6,	-4.20,	-1.00,	-2.00,	1.92,	0.00,	28.65,	0.00,	0,	28.55,	3.79,	35
0.00,	-3,	-4.40,	-1.00,	-2.00,	0.57,	0.00,	24.19,	0.00,	0,	25.64,	3.20,	35
0.00,	-1,	-3.40,	-1.00,	-1.00,	-0.03,	0.00,	30.42,	0.00,	0,	27.02,	3.91,	36
0.00,	-6,	-3.80,	-1.00,	-2.00,	3.11,	0.00,	26.20,	0.00,	0,	25.77,	3.57,	34
0.00,	-5,	-4.20,	-1.00,	-2.00,	1.13,	0.00,	133.23,	0.00,	0,	26.60,	18.14,	34
0.00,	-5,	-4.00,	-1.00,	-2.00,	1.48,	0.00,	28.67,	0.00,	0,	24.66,	3.79,	35
0.00,	-1,	-3.60,	-1.00,	-2.00,	-0.22,	0.00,	25.91,	0.00,	0,	25.77,	3.33,	36
0.00,	-6,	-4.60,	-1.00,	-2.00,	3.02,	0.00,	25.95,	0.00,	0,	27.46,	3.53,	34
0.00,	-3,	-4.00,	-1.00,	-2.00,	0.69,	0.00,	29.12,	0.00,	0,	25.51,	3.85,	35
0.00,	-3,	-3.60,	0.00,	-2.00,	2.07,	0.00,	22.28,	0.00,	0,	24.15,	3.03,	34
0.00,	-4,	-3.40,	-1.00,	-1.00,	-0.33,	0.00,	31.12,	0.00,	0,	25.25,	4.00,	36
0.00,	-3,	-3.80,	-1.00,	-2.00,	1.87,	0.00,	23.62,	0.00,	0,	24.39,	3.12,	35
0.00,	-3,	-3.20,	0.00,	-2.00,	3.78,	0.00,	28.20,	0.00,	0,	26.32,	3.73,	35
0.00,	-3,	-3.20,	0.00,	-2.00,	1.04,	0.00,	26.97,	0.00,	0,	26.04,	3.67,	34
0.00,	-5,	-3.60,	-1.00,	-2.00,	2.07,	0.00,	22.85,	0.00,	0,	26.18,	3.02,	35
0.00,	-3,	-3.40,	0.00,	-2.00,	0.61,	0.00,	27.59,	0.00,	0,	26.60,	3.65,	35
0.00,	-2,	-3.20,	0.00,	-1.00,	-0.79,	0.00,	26.92,	0.00,	0,	26.74,	3.67,	34
0.00,	-6,	-3.80,	-1.00,	-2.00,	2.89,	0.00,	22.44,	0.00,	0,	24.04,	3.06,	34
0.00,	-6,	-4.40,	-1.00,	-2.00,	0.52,	0.00,	27.90,	0.00,	0,	25.38,	3.69,	35
0.00,	-4,	-4.20,	-1.00,	-2.00,	3.03,	0.00,	23.10,	0.00,	0,	26.60,	3.06,	35
0.00,	-5,	-4.60,	-1.00,	-2.00,	2.54,	0.00,	25.80,	0.00,	0,	25.13,	3.62,	33
0.00,	-5,	-5.20,	-1.00,	-3.00,	1.84,	0.00,	27.72,	0.00,	0,	24.88,	3.77,	34
0.00,	-4,	-4.80,	-1.00,	-3.00,	0.04,	0.00,	27.91,	0.00,	0,	24.04,	3.80,	34
0.00,	-2,	-4.00,	0.00,	-2.00,	1.73,	0.00,	27.34,	0.00,	0,	26.32,	3.62,	35
0.00,	-4,	-4.00,	-1.00,	-2.00,	1.44,	0.00,	28.95,	0.00,	0,	26.98,	3.83,	35
0.00,	-5,	-4.00,	-1.00,	-2.00,	0.40,	0.00,	26.54,	0.00,	0,	26.68,	3.61,	34
0.00,	-4,	-3.80,	-1.00,	-2.00,	3.34,	0.00,	27.78,	0.00,	0,	25.51,	3.67,	35
0.00,	-3,	-3.60,	0.00,	-2.00,	0.88,	0.00,	22.12,	0.00,	0,	25.64,	3.01,	34
0.00,	-5,	-4.20,	-1.00,	-2.00,	1.63,	0.00,	27.42,	0.00,	0,	26.18,	3.73,	34
0.00,	-4,	-4.20,	-1.00,	-2.00,	1.43,	0.00,	26.86,	0.00,	0,	26.60,	3.66,	34
0.00,	-3,	-3.80,	0.00,	-2.00,	0.66,	0.00,	27.91,	0.00,	0,	26.32,	3.69,	35
0.00,	-5,	-4.00,	-1.00,	-2.00,	0.07,	0.00,	28.17,	0.00,	0,	24.75,	3.73,	35
0.00,	-3,	-4.00,	-1.00,	-2.00,	1.50,	0.00,	25.10,	0.00,	0,	27.03,	3.42,	34
0.00,	-2,	-3.40,	-1.00,	-1.00,	-0.38,	0.00,	23.18,	0.00,	0,	26.18,	3.16,	34
0.00,	-4,	-3.40,	-1.00,	-1.00,	0.89,	0.00,	26.34,	0.00,	0,	25.77,	3.59,	34
0.00,	-7,	-4.20,	-1.00,	-2.00,	2.41,	0.00,	18.13,	0.00,	0,	25.38,	2.40,	35
0.00,	-5,	-4.20,	-1.00,	-2.00,	2.96,	0.00,	24.15,	0.00,	0,	27.03,	3.39,	33
0.00,	-4,	-4.40,	-1.00,	-2.00,	0.91,	0.00,	27.14,	0.00,	0,	22.94,	3.81,	33
0.00,	-6,	-5.20,	-1.00,	-3.00,	1.82,	0.00,	25.08,	0.00,	0,	24.60,	3.52,	33
0.00,	-3,	-5.00,	-1.00,	-3.00,	1.02,	0.00,	27.23,	0.00,	0,	24.86,	3.71,	34
0.00,	-5,	-4.60,	-1.00,	-3.00,	1.57,	0.00,	21.84,	0.00,	0,	24.27,	2.97,	34
0.00,	-2,	-4.00,	-1.00,	-2.00,	0.83,	0.00,	27.20,	0.00,	0,	25.25,	3.70,	34
0.00,	-3,	-3.80,	-1.00,	-2.00,	0.04,	0.00,	26.19,	0.00,	0,	26.45,	3.57,	34
0.00,	-2,	-3.00,	-1.00,	-1.00,	0.83,	0.00,	21.42,	0.00,	0,	26.32,	2.92,	34
0.00,	-2,	-2.80,	-1.00,	-1.00,	0.25,	0.00,	26.01,	0.00,	0,	24.65,	3.54,	34
0.00,	-7,	-3.20,	-1.00,	-1.00,	1.64,	0.00,	19.84,	0.00,	0,	27.02,	2.78,	33
0.00,	-5,	-3.80,	-1.00,	-2.00,	1.42,	0.00,	27.67,	0.00,	0,	25.77,	3.77,	34
0.00,	-5,	-4.20,	-1.00,	-2.00,	1.53,	0.00,	26.81,	0.00,	0,	26.45,	3.65,	34
0.00,	-4,	-4.60,	-1.00,	-2.00,	1.13,	0.00,	25.79,	0.00,	0,	25.13,	3.62,	33
0.00,	-3,	-4.80,	-1.00,	-2.00,	0.22,	0.00,	26.26,	0.00,	0,	23.81,	3.68,	33
0.00,	-4,	-4.20,	-1.00,	-2.00,	1.22,	0.00,	26.63,	0.00,	0,	25.91,	3.63,	34
0.00,	-4,	-4.00,	-1.00,	-2.00,	0.69,	0.00,	17.46,	0.00,	0,	24.75,	2.38,	34
0.00,	-5,	-4.00,	-1.00,	-2.00,	2.99,	0.00,	25.66,	0.00,	0,	27.61,	3.49,	34
0.00,	-5,	-4.20,	-1.00,	-2.00,	3.14,	0.00,	26.39,	0.00,	0,	25.38,	3.59,	34
0.00,	-4,	-4.40,	-1.00,	-2.00,	1.07,	0.00,	25.26,	0.00,	0,	25.91,	3.54,	33
0.00,	-2,	-4.00,	-1.00,	-2.00,	0.52,	0.00,	27.25,	0.00,	0,	24.51,	3.71,	34
0.00,	-2,	-3.60,	-1.00,	-2.00,	-0.44,	0.00,	18.26,	0.00,	0,	22.94,	2.56,	33
0.00,	-6,	-3.80,	-1.00,	-2.00,	1.51,	0.00,	28.35,	0.00,	0,	26.46,	3.75,	35
0.00,	-3,	-3.40,	-1.00,	-1.00,	1.05,	0.00,	26.20,	0.00,	0,	25.38,	3.57,	34
0.00,	-5,	-3.60,	-1.00,	-1.00,	-1.10,	0.00,	21.11,	0.00,	0,	26.04,	2.87,	34
0.00,	-3,	-3.80,	-1.00,	-1.00,	0.08,	0.00,	25.10,	0.00,	0,	26.36,	3.52,	33
0.00,	-2,	-3.80,	-1.00,	-2.00,	1.45,	0.00,	20.60,	0.00,	0,	25.57,	2.89,	33
0.00,	-2,	-3.00,	-1.00,	-1.00,	0.94,	0.00,	26.34,	0.00,	0,	26.46,	3.59,	34
0.00,	-2,	-2.80,	0.00,	-1.00,	2.23,	0.00,	25.06,	0.00,	0,	27.47,	3.41,	34
0.00,	-5,	-2.80,	0.00,	-1.00,	1.52,	0.00,	28.49,	0.00,	0,	25.64,	3.77,	35
0.00,	-4,	-3.00,	0.00,	-2.00,	-0.17,	0.00,	25.22,	0.00,	0,	28.09,	3.54,	33
