
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

10.6,	359,	294,	127,	31.8546
10.6,	359,	294,	127,	31.8546
11.7,	359,	295,	127,	31.8596
12.4,	0,	295,	127,	31.8646
13.9,	1,	295,	127,	31.8696
14.3,	2,	295,	127,	31.8745
15,	2,	295,	127,	31.8795
41.5,	36,	332,	128,	32.0934
41.5,	36,	332,	128,	32.0934
42.9,	36,	332,	128,	32.0984
44.7,	37,	332,	128,	32.1033
44.7,	38,	332,	128,	32.1083
44.8,	39,	332,	128,	32.1133
44.7,	39,	332,	128,	32.1183
49.6,	79,	9,	129,	32.3624
49.6,	79,	9,	129,	32.3624
50.5,	80,	9,	129,	32.3674
51.9,	81,	9,	129,	32.3724
52,	81,	9,	129,	32.3774
52.3,	82,	9,	129,	32.3824
52.4,	83,	9,	129,	32.3874
37.5,	105,	38,	130,	32.5411
37.5,	105,	38,	130,	32.5411
36.9,	106,	38,	130,	32.5461
35.6,	107,	38,	130,	32.5511
33.9,	108,	38,	130,	32.5561
33.8,	108,	38,	130,	32.5611
33.6,	109,	38,	130,	32.566
15.1,	138,	77,	131,	32.75
15.1,	138,	77,	131,	32.75
15.3,	138,	77,	131,	32.755
15.1,	139,	77,	131,	32.76
14.8,	140,	77,	131,	32.765
14.5,	141,	77,	131,	32.7699
14,	142,	77,	131,	32.7749
-14.1,	170,	117,	132,	32.959
-14.1,	170,	117,	132,	32.959
-14.8,	171,	117,	132,	32.964
-15.2,	172,	117,	132,	32.969
-15.5,	173,	117,	132,	32.9739
-15.5,	173,	117,	132,	32.9789
-16,	174,	117,	132,	32.9839
-51.5,	208,	153,	133,	33.1982
-51.5,	208,	153,	133,	33.1982
-51.7,	209,	153,	133,	33.2032
-52.6,	210,	153,	133,	33.2082
-54.2,	210,	153,	133,	33.2133
-55,	211,	153,	133,	33.2182
-56.3,	212,	153,	133,	33.2232
-55.3,	246,	181,	134,	33.4366
-55.3,	246,	181,	134,	33.4366
-55.2,	247,	181,	134,	33.4416
-54.7,	247,	181,	134,	33.4466
-54.1,	248,	181,	134,	33.4515
-54.8,	249,	181,	134,	33.4565
-55.3,	250,	181,	134,	33.4615
-35,	280,	210,	135,	33.6454
-35,	280,	210,	135,	33.6454
-34.9,	281,	210,	135,	33.6504
-36.2,	282,	210,	135,	33.6554
-36,	283,	210,	135,	33.6604
-35.4,	284,	210,	135,	33.6653
-34.7,	285,	210,	135,	33.6703
-16.3,	324,	248,	136,	33.9141
-16.3,	324,	248,	136,	33.9141
-15.5,	325,	248,	136,	33.9191
-15.3,	326,	248,	136,	33.924
-14.9,	327,	248,	136,	33.929
-13.5,	328,	248,	136,	33.934
-11.9,	328,	248,	136,	33.939
17.7,	1,	284,	137,	34.1528
17.7,	1,	284,	137,	34.1528
17.9,	2,	284,	137,	34.1577
19,	3,	284,	137,	34.1628
19.1,	4,	284,	137,	34.1677
20.8,	5,	284,	137,	34.1727
21.7,	5,	284,	137,	34.1777
38.7,	35,	313,	138,	34.3618
38.7,	35,	313,	138,	34.3618
39.4,	36,	313,	138,	34.3668
41.4,	36,	313,	138,	34.3718
41.7,	37,	313,	138,	34.3767
42.3,	38,	313,	138,	34.3817
42.9,	39,	313,	138,	34.3867
50.9,	64,	350,	139,	34.541
50.9,	64,	350,	139,	34.541
51,	65,	350,	139,	34.546
51.2,	65,	350,	139,	34.551
51,	66,	350,	139,	34.5559
50.7,	67,	350,	139,	34.561
50.7,	68,	350,	139,	34.5659
46.6,	98,	19,	140,	34.7501
46.6,	98,	19,	140,	34.7501
46.4,	99,	19,	140,	34.7551
45.5,	100,	19,	140,	34.76
44.3,	100,	19,	140,	34.765
44.5,	101,	19,	140,	34.77
44.5,	102,	19,	140,	34.775
16,	134,	57,	141,	34.989
16,	134,	57,	141,	34.989
15.9,	135,	57,	141,	34.994
15.8,	136,	57,	141,	34.999
15.7,	137,	57,	141,	35.0039
16,	138,	57,	141,	35.009
16,	138,	57,	141,	35.0139
-17.6,	177,	97,	142,	35.2577
-17.6,	177,	97,	142,	35.2577
-19.3,	178,	97,	142,	35.2626
-21.8,	178,	97,	142,	35.2676
-23.4,	179,	97,	142,	35.2726
-26,	180,	97,	142,	35.2776
-27.6,	181,	97,	142,	35.2825
-51.5,	206,	130,	143,	35.4368
-51.5,	206,	130,	143,	35.4368
-52.3,	207,	130,	143,	35.4417
-52.4,	208,	130,	143,	35.4467
-52.5,	208,	130,	143,	35.4517
-53.4,	209,	130,	143,	35.4568
-55,	210,	130,	143,	35.4617
-58.2,	240,	161,	144,	35.6456
-58.2,	240,	161,	144,	35.6456
-58.2,	241,	161,	144,	35.6506
-58.1,	242,	161,	144,	35.6556
-58.6,	242,	161,	144,	35.6606
-57.9,	243,	161,	144,	35.6656
-57.6,	244,	161,	144,	35.6707
-44.7,	274,	190,	145,	35.8546
-44.7,	274,	190,	145,	35.8546
-43.8,	275,	190,	145,	35.8596
-43.4,	276,	190,	145,	35.8646
-42.8,	276,	190,	145,	35.8695
-40.9,	277,	190,	145,	35.8745
-40.8,	278,	190,	145,	35.8795
-18.9,	314,	227,	146,	36.0933
-18.9,	314,	227,	146,	36.0933
-18.6,	315,	227,	146,	36.0983
-18.9,	315,	227,	146,	36.1033
-18.6,	316,	227,	146,	36.1082
-18.4,	317,	227,	146,	36.1132
-18.1,	318,	227,	146,	36.1182
11.5,	356,	267,	147,	36.3621
11.5,	356,	267,	147,	36.3621
12.4,	357,	267,	147,	36.367
13.9,	358,	267,	147,	36.372
15.8,	359,	267,	147,	36.377
16.3,	0,	267,	147,	36.382
16.5,	0,	267,	147,	36.3869
32.6,	24,	299,	148,	36.5415
32.6,	24,	299,	148,	36.5415
33.9,	24,	299,	148,	36.5465
36.5,	25,	299,	148,	36.5515
37.4,	26,	299,	148,	36.5565
37.5,	27,	299,	148,	36.5618
37.6,	27,	299,	148,	36.5665
47.5,	54,	329,	149,	36.7501
47.5,	54,	329,	149,	36.7501
47.2,	55,	329,	149,	36.7551
47.4,	56,	329,	149,	36.7601
47.4,	57,	329,	149,	36.765
47.1,	57,	329,	149,	36.77
47.1,	58,	329,	149,	36.775
46,	88,	6,	150,	36.9591
46,	88,	6,	150,	36.9591
46.2,	88,	6,	150,	36.9641
47.6,	89,	6,	150,	36.969
48.7,	90,	6,	150,	36.974
48.7,	91,	6,	150,	36.979
48.8,	92,	6,	150,	36.984
21.3,	128,	53,	151,	37.1979
21.3,	128,	53,	151,	37.1979
21.8,	129,	53,	151,	37.2029
21.8,	130,	53,	151,	37.2079
21.8,	131,	53,	151,	37.2129
22.3,	132,	53,	151,	37.2178
22.9,	132,	53,	151,	37.2228
-1,	163,	85,	152,	37.4374
-1,	163,	85,	152,	37.4374
-1.7,	164,	85,	152,	37.4424
-2.4,	165,	85,	152,	37.4474
-3.6,	165,	85,	152,	37.4524
-3.8,	165,	85,	152,	37.4567
-4,	166,	85,	152,	37.4616
-42.7,	194,	118,	153,	37.6457
-42.7,	194,	118,	153,	37.6457
-44.3,	195,	118,	153,	37.6507
-47.2,	195,	118,	153,	37.6556
-48.4,	196,	118,	153,	37.6606
-49.7,	197,	118,	153,	37.6656
-50.1,	198,	118,	153,	37.6706
-64.9,	226,	155,	154,	37.8546
-64.9,	226,	155,	154,	37.8546
-64.5,	226,	155,	154,	37.8596
-64.5,	227,	155,	154,	37.8646
-64.3,	228,	155,	154,	37.8695
-64,	229,	155,	154,	37.8745
