
Right power from force,Vector size

-2.0556,	342
-0.9537,	367
-4.6747,	415
-3.1989,	538
-3.4196,	460
-0.8821,	509
-4.8094,	509
-1.9099,	544
-2.6734,	548
-2.1477,	555
-2.8741,	564
-3.5308,	552
-2.2719,	548
-3.7454,	542
-1.9858,	562
-0.6824,	510
-4.7230,	444
-3.3333,	492
-3.8768,	406
-4.2266,	481
-3.8184,	534
-2.0534,	581
-2.1078,	566
-2.9705,	543
-3.1800,	550
-4.1069,	552
-2.1828,	558
-3.4844,	545
-2.8238,	562
-1.9962,	532
-2.8164,	550
-2.7117,	555
-0.8132,	439
-2.8950,	438
-4.8182,	352
-4.0023,	444
-2.7258,	496
-4.2665,	544
-2.0761,	565
-3.5785,	567
-1.7772,	552
-1.9445,	559
-1.9139,	511
-1.2632,	513
-4.4659,	498
-3.5366,	410
-3.4118,	561
-2.6811,	533
-1.7993,	568
-2.9299,	385
-2.3775,	498
-4.3213,	445
-4.4428,	472
-2.8174,	553
-1.6691,	556
-1.2332,	566
-3.7996,	569
-2.4198,	524
-2.3092,	553
-1.8839,	508
-2.2182,	550
-1.6394,	538
-2.2865,	541
-3.3662,	538
-2.1310,	496
-4.9258,	472
-3.5128,	431
-3.7464,	414
-1.6046,	478
-2.0378,	556
-3.5564,	559
-1.6589,	560
-2.6413,	552
-4.8748,	567
-3.0335,	537
