
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-4,	-3.40,	-1.00,	-1.00,	-1.26,	0.00,	26.89,	0.00,	0,	25.64,	3.66,	34
0.00,	-1,	-2.20,	-1.00,	0.00,	-1.76,	0.00,	25.85,	0.00,	0,	25.13,	3.52,	34
0.00,	0,	-1.80,	-1.00,	0.00,	0.94,	0.00,	22.64,	0.00,	0,	23.04,	3.28,	32
0.00,	-2,	-2.00,	-1.00,	0.00,	-0.28,	0.00,	21.12,	0.00,	0,	24.75,	2.88,	34
0.00,	-2,	-1.80,	-1.00,	0.00,	-0.31,	0.00,	24.11,	0.00,	0,	25.49,	3.38,	33
0.00,	-1,	-1.20,	0.00,	0.00,	-0.39,	0.00,	23.32,	0.00,	0,	24.75,	3.37,	32
0.00,	-1,	-1.20,	-1.00,	0.00,	-2.09,	0.00,	23.52,	0.00,	0,	25.86,	3.30,	33
0.00,	-3,	-1.80,	-1.00,	0.00,	-0.78,	0.00,	24.72,	0.00,	0,	24.51,	3.47,	33
0.00,	-1,	-1.60,	-1.00,	0.00,	-0.00,	0.00,	25.93,	0.00,	0,	22.12,	3.64,	33
0.00,	-2,	-1.60,	-1.00,	0.00,	0.14,	0.00,	17.73,	0.00,	0,	27.17,	2.41,	34
0.00,	-4,	-2.20,	-1.00,	0.00,	0.13,	0.00,	27.88,	0.00,	0,	25.77,	3.69,	35
0.00,	-2,	-2.40,	-1.00,	-1.00,	0.43,	0.00,	18.69,	0.00,	0,	23.88,	2.70,	32
0.00,	-3,	-2.40,	0.00,	-1.00,	-0.20,	0.00,	28.15,	0.00,	0,	25.91,	3.72,	35
0.00,	-5,	-3.20,	-1.00,	-1.00,	1.82,	0.00,	25.60,	0.00,	0,	25.38,	3.49,	34
0.00,	-4,	-3.60,	-1.00,	-1.00,	0.75,	0.00,	25.93,	0.00,	0,	23.47,	3.64,	33
0.00,	-1,	-3.00,	0.00,	-1.00,	-0.43,	0.00,	26.09,	0.00,	0,	25.64,	3.55,	34
0.00,	-3,	-3.20,	0.00,	-1.00,	1.98,	0.00,	17.04,	0.00,	0,	25.00,	2.32,	34
0.00,	-2,	-3.00,	0.00,	-1.00,	0.55,	0.00,	25.54,	0.00,	0,	26.12,	3.48,	34
0.00,	-3,	-2.60,	0.00,	-1.00,	-0.30,	0.00,	25.89,	0.00,	0,	25.10,	3.53,	34
0.00,	-2,	-2.20,	0.00,	0.00,	-1.83,	0.00,	22.14,	0.00,	0,	27.47,	2.93,	35
0.00,	-1,	-2.20,	-1.00,	0.00,	-0.79,	0.00,	24.01,	0.00,	0,	25.38,	3.37,	33
0.00,	-3,	-2.20,	-1.00,	0.00,	0.51,	0.00,	20.04,	0.00,	0,	25.64,	2.81,	33
0.00,	0,	-1.80,	-1.00,	0.00,	-2.73,	0.00,	27.45,	0.00,	0,	25.51,	3.74,	34
0.00,	-3,	-1.80,	-1.00,	0.00,	1.59,	0.00,	29.27,	0.00,	0,	24.88,	3.76,	36
0.00,	-3,	-2.00,	0.00,	0.00,	0.08,	0.00,	22.06,	0.00,	0,	25.53,	2.92,	35
0.00,	-2,	-2.20,	-1.00,	0.00,	-1.47,	0.00,	26.14,	0.00,	0,	25.00,	3.56,	34
0.00,	-3,	-2.20,	-1.00,	0.00,	1.54,	0.00,	24.35,	0.00,	0,	25.00,	3.42,	33
0.00,	-6,	-3.40,	-1.00,	-1.00,	3.24,	0.00,	27.54,	0.00,	0,	23.36,	3.75,	34
0.00,	-5,	-3.80,	-1.00,	-2.00,	2.61,	0.00,	26.53,	0.00,	0,	25.06,	3.61,	34
0.00,	-1,	-3.40,	-1.00,	-2.00,	1.21,	0.00,	23.96,	0.00,	0,	23.58,	3.47,	32
0.00,	-4,	-3.80,	0.00,	-2.00,	0.92,	0.00,	31.00,	0.00,	0,	24.63,	4.10,	35
0.00,	-2,	-3.60,	0.00,	-2.00,	-0.10,	0.00,	16.82,	0.00,	0,	24.82,	2.29,	34
0.00,	-2,	-2.80,	-1.00,	-1.00,	-2.45,	0.00,	30.90,	0.00,	0,	26.42,	3.97,	36
0.00,	-9,	-3.60,	-2.00,	-1.00,	-5.28,	0.00,	21.52,	0.00,	0,	24.75,	2.93,	34
0.00,	-3,	-4.00,	-2.00,	-1.00,	0.48,	0.00,	22.99,	0.00,	0,	25.64,	3.13,	34
0.00,	-4,	-4.00,	-2.00,	-1.00,	3.08,	0.00,	31.26,	0.00,	0,	25.00,	4.02,	36
0.00,	-1,	-3.80,	-2.00,	0.00,	-3.85,	0.00,	22.10,	0.00,	0,	24.98,	3.10,	33
0.00,	-6,	-4.60,	-2.00,	-1.00,	2.54,	0.00,	28.80,	0.00,	0,	24.68,	3.81,	35
0.00,	-1,	-3.00,	0.00,	-1.00,	3.99,	0.00,	25.72,	0.00,	0,	26.45,	3.50,	34
0.00,	-6,	-3.60,	-1.00,	-2.00,	0.58,	0.00,	17.65,	0.00,	0,	24.59,	2.40,	34
0.00,	-4,	-3.60,	-1.00,	-2.00,	-0.79,	0.00,	26.53,	0.00,	0,	24.51,	3.61,	34
0.00,	-3,	-4.00,	-1.00,	-2.00,	-1.95,	0.00,	32.55,	0.00,	0,	23.70,	4.19,	36
0.00,	-10,	-4.80,	-1.00,	-3.00,	5.57,	0.00,	21.81,	0.00,	0,	26.32,	2.97,	34
0.00,	-5,	-5.60,	-2.00,	-3.00,	0.82,	0.00,	28.11,	0.00,	0,	25.00,	3.83,	34
0.00,	-5,	-5.40,	-1.00,	-3.00,	3.60,	0.00,	31.48,	0.00,	0,	26.45,	4.29,	34
0.00,	-6,	-5.80,	-1.00,	-3.00,	2.89,	0.00,	30.00,	0.00,	0,	25.51,	3.97,	35
0.00,	-5,	-6.20,	-1.00,	-4.00,	1.18,	0.00,	23.07,	0.00,	0,	25.51,	3.14,	34
0.00,	-3,	-4.80,	-1.00,	-3.00,	1.92,	0.00,	27.26,	0.00,	0,	27.72,	3.71,	34
0.00,	-3,	-4.40,	-1.00,	-2.00,	-0.28,	0.00,	26.23,	0.00,	0,	23.81,	3.57,	34
0.00,	-8,	-5.00,	-1.00,	-3.00,	2.70,	0.00,	20.96,	0.00,	0,	26.60,	2.85,	34
0.00,	-1,	-4.00,	-1.00,	-2.00,	3.08,	0.00,	26.98,	0.00,	0,	25.00,	3.67,	34
0.00,	-4,	-3.80,	-1.00,	-2.00,	-2.88,	0.00,	28.17,	0.00,	0,	24.75,	3.84,	34
