
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-4,	-3.40,	-1.00,	-1.00,	3.19,	0.00,	23.65,	0.00,	0,	25.64,	3.22,	34
0.00,	0,	-3.20,	-1.00,	-1.00,	-0.07,	0.00,	25.46,	0.00,	0,	26.18,	3.57,	33
0.00,	-3,	-2.60,	-1.00,	0.00,	-3.58,	0.00,	25.89,	0.00,	0,	26.31,	3.63,	33
0.00,	-3,	-2.60,	-1.00,	-1.00,	0.53,	0.00,	30.15,	0.00,	0,	27.62,	3.99,	35
0.00,	-5,	-3.00,	-1.00,	-1.00,	0.21,	0.00,	29.41,	0.00,	0,	27.03,	3.89,	35
0.00,	-5,	-3.20,	-1.00,	-1.00,	-2.55,	0.00,	25.56,	0.00,	0,	23.29,	3.70,	32
0.00,	-4,	-4.00,	-2.00,	-1.00,	0.36,	0.00,	28.64,	0.00,	0,	26.99,	3.90,	34
0.00,	-2,	-3.80,	-1.00,	-1.00,	0.54,	0.00,	27.63,	0.00,	0,	24.63,	3.76,	34
0.00,	-4,	-4.00,	-2.00,	-1.00,	0.35,	0.00,	27.29,	0.00,	0,	25.51,	3.83,	33
0.00,	-8,	-4.60,	-2.00,	-1.00,	-0.44,	0.00,	20.89,	0.00,	0,	24.63,	3.02,	32
0.00,	0,	-3.60,	-2.00,	-1.00,	-3.01,	0.00,	27.06,	0.00,	0,	25.51,	3.80,	33
0.00,	-3,	-3.40,	-1.00,	-1.00,	3.79,	0.00,	23.19,	0.00,	0,	24.51,	3.16,	34
0.00,	-3,	-3.60,	-1.00,	-1.00,	-0.63,	0.00,	26.02,	0.00,	0,	27.62,	3.65,	33
0.00,	-4,	-3.60,	-1.00,	-1.00,	0.78,	0.00,	27.07,	0.00,	0,	27.17,	3.80,	33
0.00,	-3,	-2.60,	-1.00,	-1.00,	-1.60,	0.00,	23.82,	0.00,	0,	26.60,	3.24,	34
0.00,	-4,	-3.40,	-1.00,	-1.00,	-0.02,	0.00,	26.10,	0.00,	0,	25.77,	3.66,	33
0.00,	-3,	-3.40,	-1.00,	-1.00,	0.15,	0.00,	24.94,	0.00,	0,	25.25,	3.61,	32
0.00,	-5,	-3.80,	-1.00,	-1.00,	0.34,	0.00,	28.65,	0.00,	0,	21.56,	4.02,	33
0.00,	-4,	-3.80,	-2.00,	-1.00,	-2.14,	0.00,	28.27,	0.00,	0,	25.91,	3.85,	34
0.00,	-3,	-3.80,	-1.00,	-1.00,	-0.46,	0.00,	25.73,	0.00,	0,	25.13,	3.61,	33
0.00,	-7,	-4.40,	-2.00,	-1.00,	-1.32,	0.00,	23.46,	0.00,	0,	26.45,	3.19,	34
0.00,	-4,	-4.60,	-2.00,	-1.00,	-1.59,	0.00,	28.25,	0.00,	0,	26.46,	3.85,	34
0.00,	-4,	-4.40,	-2.00,	-1.00,	1.09,	0.00,	26.64,	0.00,	0,	28.25,	3.63,	34
0.00,	-5,	-4.60,	-2.00,	-1.00,	-0.20,	0.00,	27.38,	0.00,	0,	20.83,	3.62,	35
0.00,	-3,	-4.60,	-2.00,	-1.00,	-0.33,	0.00,	26.37,	0.00,	0,	25.24,	3.70,	33
0.00,	-3,	-3.80,	-2.00,	-1.00,	-4.83,	0.00,	25.65,	0.00,	0,	26.46,	3.60,	33
0.00,	-6,	-4.20,	-2.00,	-1.00,	-2.02,	0.00,	23.74,	0.00,	0,	23.15,	3.14,	35
0.00,	-3,	-4.00,	-2.00,	-1.00,	-3.44,	0.00,	24.52,	0.00,	0,	24.75,	3.55,	32
0.00,	-3,	-3.60,	-3.00,	0.00,	-4.68,	0.00,	27.33,	0.00,	0,	24.27,	3.83,	33
0.00,	-7,	-4.40,	-3.00,	-1.00,	1.07,	0.00,	22.35,	0.00,	0,	22.03,	2.96,	35
0.00,	-4,	-4.60,	-3.00,	-1.00,	-0.26,	0.00,	27.23,	0.00,	0,	26.74,	3.71,	34
0.00,	-4,	-4.20,	-2.00,	-1.00,	-0.98,	0.00,	26.81,	0.00,	0,	26.04,	3.65,	34
0.00,	-3,	-4.20,	-2.00,	-1.00,	-1.78,	0.00,	16.45,	0.00,	0,	26.85,	2.31,	33
0.00,	-5,	-4.60,	-2.00,	-1.00,	0.11,	0.00,	39.06,	0.00,	0,	19.92,	4.89,	37
0.00,	-4,	-4.00,	-2.00,	-1.00,	-0.95,	0.00,	25.54,	0.00,	0,	26.74,	3.48,	34
0.00,	-5,	-4.20,	-2.00,	-1.00,	-2.08,	0.00,	22.27,	0.00,	0,	27.62,	3.03,	34
0.00,	-8,	-5.00,	-3.00,	-1.00,	-4.30,	0.00,	27.69,	0.00,	0,	24.06,	3.77,	34
0.00,	-4,	-5.20,	-3.00,	-1.00,	0.31,	0.00,	28.20,	0.00,	0,	24.04,	3.84,	34
0.00,	-2,	-4.60,	-3.00,	-1.00,	-2.73,	0.00,	20.98,	0.00,	0,	25.63,	2.94,	33
0.00,	-3,	-4.40,	-3.00,	-1.00,	-3.47,	0.00,	25.60,	0.00,	0,	24.27,	3.70,	32
0.00,	0,	-3.40,	-2.00,	0.00,	0.41,	0.00,	21.10,	0.00,	0,	24.39,	3.05,	32
0.00,	-5,	-2.80,	-2.00,	0.00,	-1.75,	0.00,	32.23,	0.00,	0,	19.69,	4.39,	34
0.00,	-4,	-2.80,	-2.00,	0.00,	-0.03,	0.00,	27.67,	0.00,	0,	27.03,	3.66,	35
0.00,	-5,	-3.40,	-1.00,	-1.00,	1.95,	0.00,	22.28,	0.00,	0,	24.62,	3.03,	34
0.00,	-7,	-4.20,	-2.00,	-1.00,	-1.45,	0.00,	26.05,	0.00,	0,	24.63,	3.65,	33
0.00,	-3,	-4.80,	-2.00,	-2.00,	0.40,	0.00,	37.20,	0.00,	0,	22.52,	4.78,	36
0.00,	-4,	-4.60,	-2.00,	-2.00,	-2.10,	0.00,	21.73,	0.00,	0,	25.90,	3.05,	33
0.00,	-4,	-4.60,	-2.00,	-2.00,	-1.58,	0.00,	25.69,	0.00,	0,	25.68,	3.60,	33
0.00,	-5,	-4.60,	-3.00,	-1.00,	-6.83,	0.00,	26.73,	0.00,	0,	25.26,	3.75,	33
0.00,	-1,	-3.40,	-3.00,	0.00,	-3.30,	0.00,	24.40,	0.00,	0,	27.44,	3.32,	34
0.00,	-3,	-3.40,	-3.00,	0.00,	-2.52,	0.00,	26.00,	0.00,	0,	26.04,	3.65,	33
0.00,	-6,	-3.80,	-3.00,	0.00,	-0.57,	0.00,	24.45,	0.00,	0,	25.08,	3.54,	32
0.00,	-2,	-3.40,	-3.00,	0.00,	-1.00,	0.00,	22.03,	0.00,	0,	26.12,	3.00,	34
0.00,	-3,	-3.00,	-2.00,	0.00,	-1.64,	0.00,	35.88,	0.00,	0,	21.74,	4.61,	36
