
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

45.7,	97,	16,	459,	107.641
45.7,	97,	16,	459,	107.641
45.2,	98,	16,	459,	107.646
44.7,	99,	16,	459,	107.651
44.5,	100,	16,	459,	107.656
44.3,	100,	16,	459,	107.661
44.2,	101,	16,	459,	107.666
38.7,	128,	54,	460,	107.85
38.7,	128,	54,	460,	107.85
36.3,	129,	54,	460,	107.855
35.5,	130,	54,	460,	107.859
34.3,	130,	54,	460,	107.864
31.9,	131,	54,	460,	107.869
31.6,	132,	54,	460,	107.874
-1.5,	164,	85,	461,	108.088
-1.5,	164,	85,	461,	108.088
-1.4,	165,	85,	461,	108.093
-3.4,	166,	85,	461,	108.098
-4.7,	167,	85,	461,	108.103
-7.1,	167,	85,	461,	108.108
-9.6,	168,	85,	461,	108.113
-57,	197,	115,	462,	108.297
-57,	197,	115,	462,	108.297
-57.8,	197,	115,	462,	108.302
-58.7,	198,	115,	462,	108.307
-58.9,	199,	115,	462,	108.312
-58.8,	200,	115,	462,	108.317
-58.7,	200,	115,	462,	108.322
-61.2,	229,	146,	463,	108.507
-61.2,	229,	146,	463,	108.507
-61.1,	230,	146,	463,	108.512
-61.1,	231,	146,	463,	108.517
-59.9,	232,	146,	463,	108.522
-59.4,	232,	146,	463,	108.526
-58.9,	232,	146,	463,	108.531
-40,	262,	184,	464,	108.715
-40,	262,	184,	464,	108.715
-38.7,	262,	184,	464,	108.72
-38.5,	263,	184,	464,	108.725
-38.4,	264,	184,	464,	108.73
-38.7,	265,	184,	464,	108.735
-38.8,	266,	184,	464,	108.74
-43,	309,	223,	465,	109.013
-43,	309,	223,	465,	109.013
-42.7,	310,	223,	465,	109.018
-42.6,	311,	223,	465,	109.023
-42.4,	312,	223,	465,	109.028
-41.4,	312,	223,	465,	109.033
-40.2,	313,	223,	465,	109.038
6.4,	346,	255,	466,	109.252
6.4,	346,	255,	466,	109.252
7.3,	347,	255,	466,	109.257
8.5,	348,	255,	466,	109.263
9.1,	349,	255,	466,	109.267
9.4,	349,	255,	466,	109.272
10.2,	350,	255,	466,	109.277
40.2,	18,	284,	467,	109.461
40.2,	18,	284,	467,	109.461
42.2,	19,	284,	467,	109.466
42.3,	19,	284,	467,	109.471
42.5,	20,	284,	467,	109.476
42.4,	21,	284,	467,	109.481
42.2,	22,	284,	467,	109.486
48,	45,	313,	468,	109.64
48,	45,	313,	468,	109.64
47.9,	46,	313,	468,	109.645
47.8,	47,	313,	468,	109.65
47.5,	48,	313,	468,	109.655
46.8,	49,	313,	468,	109.66
46.4,	49,	313,	468,	109.665
49.2,	79,	350,	469,	109.849
49.2,	79,	350,	469,	109.849
48.8,	80,	350,	469,	109.854
47.8,	80,	350,	469,	109.859
48.1,	81,	350,	469,	109.864
47.8,	82,	350,	469,	109.869
49,	83,	350,	469,	109.874
40.5,	115,	31,	470,	110.088
40.5,	115,	31,	470,	110.088
39.2,	115,	31,	470,	110.093
37.8,	116,	31,	470,	110.098
37.3,	117,	31,	470,	110.103
36.7,	118,	31,	470,	110.108
36.1,	118,	31,	470,	110.113
11,	155,	62,	471,	110.356
11,	155,	62,	471,	110.356
8.5,	156,	62,	471,	110.361
6.5,	156,	62,	471,	110.366
5,	157,	62,	471,	110.371
4.2,	158,	62,	471,	110.376
2.7,	158,	62,	471,	110.381
-41,	186,	93,	472,	110.565
-41,	186,	93,	472,	110.565
-42.2,	187,	93,	472,	110.57
-44.3,	188,	93,	472,	110.575
-45.4,	189,	93,	472,	110.58
-45.8,	190,	93,	472,	110.585
-46,	190,	93,	472,	110.59
-58.6,	224,	122,	473,	110.804
-58.6,	224,	122,	473,	110.804
-58.7,	225,	122,	473,	110.809
-58.8,	226,	122,	473,	110.814
-58.8,	226,	122,	473,	110.819
-58.7,	227,	122,	473,	110.824
-59.4,	228,	122,	473,	110.829
-32.4,	261,	160,	474,	111.042
-32.4,	261,	160,	474,	111.042
-32.2,	262,	160,	474,	111.047
-31.7,	263,	160,	474,	111.052
-32,	263,	160,	474,	111.057
-33.4,	264,	160,	474,	111.062
-34.6,	265,	160,	474,	111.067
-39.6,	304,	198,	475,	111.311
-39.6,	304,	198,	475,	111.311
-38.4,	305,	198,	475,	111.316
-37.7,	305,	198,	475,	111.321
-37.7,	306,	198,	475,	111.326
-37.5,	307,	198,	475,	111.331
-37.3,	308,	198,	475,	111.336
-12.1,	331,	229,	476,	111.49
-12.1,	331,	229,	476,	111.49
-11.1,	332,	229,	476,	111.495
-10.6,	333,	229,	476,	111.5
-9.5,	334,	229,	476,	111.505
-8.9,	334,	229,	476,	111.51
-7.7,	335,	229,	476,	111.515
3,	1,	260,	477,	111.698
3,	1,	260,	477,	111.698
5.1,	2,	260,	477,	111.703
5.6,	3,	260,	477,	111.708
6.1,	4,	260,	477,	111.713
6.1,	4,	260,	477,	111.718
5.6,	5,	260,	477,	111.723
24.7,	30,	296,	478,	111.907
24.7,	30,	296,	478,	111.907
24.7,	30,	296,	478,	111.912
23.8,	31,	296,	478,	111.917
23.7,	31,	296,	478,	111.922
23.8,	32,	296,	478,	111.927
23.3,	33,	296,	478,	111.932
32.4,	62,	331,	479,	112.146
32.4,	62,	331,	479,	112.146
33.2,	62,	331,	479,	112.151
33.4,	63,	331,	479,	112.156
34.5,	64,	331,	479,	112.161
34.9,	65,	331,	479,	112.166
35.3,	65,	331,	479,	112.171
38.9,	105,	1,	480,	112.414
38.9,	105,	1,	480,	112.414
38.5,	106,	1,	480,	112.419
37.9,	107,	1,	480,	112.424
37.6,	108,	1,	480,	112.429
37.5,	109,	1,	480,	112.434
36.5,	110,	1,	480,	112.439
21,	136,	33,	481,	112.593
21,	136,	33,	481,	112.593
20.3,	137,	33,	481,	112.598
20.2,	138,	33,	481,	112.603
19,	138,	33,	481,	112.608
17.6,	139,	33,	481,	112.613
16,	139,	33,	481,	112.618
-10.5,	164,	64,	482,	112.802
-10.5,	164,	64,	482,	112.802
-10.9,	165,	64,	482,	112.807
-11.3,	166,	64,	482,	112.812
-13,	166,	64,	482,	112.817
-13.9,	167,	64,	482,	112.822
-16.1,	168,	64,	482,	112.827
-46.2,	200,	102,	483,	113.041
-46.2,	200,	102,	483,	113.041
-46.3,	201,	102,	483,	113.046
-47.9,	201,	102,	483,	113.051
-48.4,	202,	102,	483,	113.056
-49.9,	203,	102,	483,	113.061
-50,	203,	102,	483,	113.065
-53.4,	239,	139,	484,	113.309
-53.4,	239,	139,	484,	113.309
-52.6,	240,	139,	484,	113.314
-51,	241,	139,	484,	113.319
-49.1,	242,	139,	484,	113.324
-48.1,	242,	139,	484,	113.329
-46.8,	243,	139,	484,	113.334
-39,	267,	169,	485,	113.488
-39,	267,	169,	485,	113.488
-37.9,	268,	169,	485,	113.493
-37.5,	268,	169,	485,	113.498
-36.6,	269,	169,	485,	113.503
-35.1,	270,	169,	485,	113.508
-34.2,	271,	169,	485,	113.513
-44.7,	299,	198,	486,	113.697
-44.7,	299,	198,	486,	113.697
-45,	300,	198,	486,	113.702
-45.3,	301,	198,	486,	113.707
