
Right power from force,Vector size

-3.8908,	476
-0.2311,	502
0.0702,	484
-2.1730,	549
-2.9776,	492
-1.3720,	535
-2.5440,	546
-1.6708,	568
-2.3897,	503
-3.8926,	391
1.9057,	435
-3.6340,	459
-1.6730,	526
-2.4774,	532
-1.1500,	500
-2.3710,	558
-1.7199,	564
-2.7827,	566
-1.1770,	582
-1.4762,	504
-3.0771,	506
-1.5670,	575
-2.9564,	551
-2.7514,	539
-1.3827,	533
0.6882,	510
-2.0620,	468
-0.0064,	468
0.6547,	417
-4.4623,	517
-2.3197,	588
-1.9222,	527
-0.8231,	554
-2.6515,	548
-1.8767,	576
-1.4818,	523
-2.0815,	540
-2.4664,	536
0.1485,	431
-0.2539,	516
-0.2299,	522
-1.9224,	580
-2.1809,	481
-3.9365,	425
-3.0501,	479
-2.1094,	466
-1.2917,	569
-1.4424,	556
0.4323,	502
1.0896,	491
-0.4762,	567
-2.9032,	506
-0.9162,	513
-1.0582,	550
-1.0251,	558
-1.0774,	517
-1.0643,	560
-1.3752,	573
1.8330,	437
-1.9453,	439
-1.0994,	473
-2.5812,	499
-0.4961,	510
-1.6772,	536
-0.4494,	563
-0.5768,	475
-1.3471,	533
-2.3565,	547
-1.5078,	577
-1.6679,	542
-2.6422,	545
-1.3601,	586
-1.9491,	530
-0.7258,	547
-2.4830,	528
-4.8175,	422
