
Right power from force,Vector size

0.9761,	461
-1.3581,	578
-0.3305,	590
-1.0242,	579
0.5935,	551
0.0000,	451
-1.3784,	547
-0.6862,	545
-2.8153,	417
-3.6222,	405
-2.9870,	384
-1.6614,	508
-2.4429,	560
0.5198,	506
-2.0557,	503
-1.9678,	466
-1.3869,	535
-0.9330,	552
-0.6210,	562
0.8782,	509
-1.0855,	468
-0.8134,	418
-0.9320,	544
-1.3740,	492
-1.6293,	410
-0.5847,	419
-1.6922,	497
-2.8742,	469
-0.9794,	535
0.4883,	512
0.6270,	496
-1.1143,	560
-0.7835,	568
-0.9337,	513
-0.9947,	571
-1.6399,	547
-2.0344,	524
-0.3537,	557
0.9290,	507
-1.9319,	499
-0.6463,	523
-1.9458,	424
-2.0837,	478
-2.8005,	381
0.2397,	559
-2.5481,	540
-0.2967,	519
-2.5633,	490
-0.1306,	559
-3.0332,	572
-1.4609,	575
-0.5337,	564
-2.2953,	569
-0.7097,	565
-1.4199,	562
-0.0710,	549
-1.8927,	466
3.6014,	429
-2.3843,	484
-3.0720,	389
1.6490,	416
-1.8441,	481
0.5774,	478
-3.1006,	507
0.5947,	528
-1.4077,	520
-2.6164,	584
-0.1552,	580
-0.8873,	568
-0.1867,	557
-2.9129,	551
-1.1691,	544
-0.0203,	542
-3.2313,	536
-0.7500,	356
