
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

24,	137,	26,	236,	260.564
24,	137,	26,	236,	260.564
24.7,	138,	26,	236,	260.569
25.8,	139,	26,	236,	260.574
26.3,	139,	26,	236,	260.579
26.4,	140,	26,	236,	260.584
26.5,	141,	26,	236,	260.589
-24.5,	177,	64,	237,	260.832
-24.5,	177,	64,	237,	260.832
-25.3,	177,	64,	237,	260.837
-25.4,	178,	64,	237,	260.842
-25.7,	179,	64,	237,	260.847
-26.4,	180,	64,	237,	260.852
-28.8,	180,	64,	237,	260.857
-59.4,	213,	101,	238,	261.071
-59.4,	213,	101,	238,	261.071
-59.8,	214,	101,	238,	261.076
-60.2,	215,	101,	238,	261.081
-60.7,	215,	101,	238,	261.086
-61.1,	216,	101,	238,	261.091
-60.6,	217,	101,	238,	261.096
-53.2,	244,	129,	239,	261.279
-53.2,	244,	129,	239,	261.279
-52.2,	245,	129,	239,	261.284
-52.1,	245,	129,	239,	261.288
-52,	246,	129,	239,	261.293
-51.7,	247,	129,	239,	261.298
-51.1,	248,	129,	239,	261.303
-36,	276,	159,	240,	261.487
-36,	276,	159,	240,	261.487
-36.6,	276,	159,	240,	261.492
-36.3,	277,	159,	240,	261.497
-37.2,	278,	159,	240,	261.502
-38.1,	279,	159,	240,	261.507
-38.1,	279,	159,	240,	261.512
-48.7,	303,	189,	241,	261.666
-48.7,	303,	189,	241,	261.666
-48.9,	304,	189,	241,	261.671
-48.3,	304,	189,	241,	261.676
-48.5,	305,	189,	241,	261.681
-47.7,	306,	189,	241,	261.686
-47.4,	307,	189,	241,	261.691
-1.6,	342,	227,	242,	261.934
-1.6,	342,	227,	242,	261.934
0,	343,	227,	242,	261.939
1.8,	344,	227,	242,	261.944
2.8,	344,	227,	242,	261.949
3.1,	345,	227,	242,	261.954
2.7,	346,	227,	242,	261.959
34.8,	18,	264,	243,	262.172
34.8,	18,	264,	243,	262.172
35.9,	18,	264,	243,	262.177
36.3,	19,	264,	243,	262.182
37.2,	20,	264,	243,	262.187
38.1,	21,	264,	243,	262.192
38.8,	21,	264,	243,	262.197
43.2,	48,	292,	244,	262.381
43.2,	48,	292,	244,	262.381
45.3,	49,	292,	244,	262.386
46.3,	50,	292,	244,	262.391
47.2,	50,	292,	244,	262.396
47.5,	51,	292,	244,	262.401
48,	52,	292,	244,	262.406
43.7,	79,	321,	245,	262.59
43.7,	79,	321,	245,	262.59
43.3,	79,	321,	245,	262.595
43,	80,	321,	245,	262.6
42.6,	81,	321,	245,	262.605
42.2,	81,	321,	245,	262.61
41.8,	82,	321,	245,	262.615
34.9,	105,	350,	246,	262.769
34.9,	105,	350,	246,	262.769
34.3,	106,	350,	246,	262.773
33.5,	106,	350,	246,	262.778
32.5,	107,	350,	246,	262.783
32.2,	108,	350,	246,	262.788
32,	109,	350,	246,	262.793
15.6,	144,	29,	247,	263.037
15.6,	144,	29,	247,	263.037
14.3,	145,	29,	247,	263.042
12.2,	145,	29,	247,	263.047
9.9,	146,	29,	247,	263.052
7.9,	147,	29,	247,	263.057
7.2,	148,	29,	247,	263.062
-30.5,	179,	69,	248,	263.275
-30.5,	179,	69,	248,	263.275
-34,	180,	69,	248,	263.28
-35.5,	181,	69,	248,	263.285
-37.3,	182,	69,	248,	263.29
-40,	182,	69,	248,	263.295
-41,	183,	69,	248,	263.3
-66.7,	211,	100,	249,	263.484
-66.7,	211,	100,	249,	263.484
-66.7,	212,	100,	249,	263.489
-66.7,	213,	100,	249,	263.494
-67.3,	213,	100,	249,	263.499
-66.6,	214,	100,	249,	263.504
