
Right power from force,Vector size

-2.3204,	543
-1.7911,	560
-1.9692,	552
0.1673,	556
-0.5804,	560
0.7720,	478
-1.8767,	503
-1.3153,	536
-0.8324,	531
-2.5115,	524
0.1941,	546
-1.7796,	549
-0.2385,	545
0.6500,	500
-0.2887,	433
-2.2532,	391
-4.4849,	464
-0.6081,	472
-17.2353,	85
531.0000,	1
-2.0000,	1
-7.8696,	69
2.9773,	44
6.3226,	341
-11.2195,	205
-2.0105,	571
0.3996,	533
-1.9010,	485
-1.0969,	547
-2.6751,	551
-1.0159,	567
-0.7135,	576
-3.4122,	427
1.3079,	419
-1.3978,	450
-3.4641,	459
0.4123,	439
-2.4008,	524
0.6053,	456
-1.3339,	542
-0.4794,	534
-1.3204,	515
-0.1279,	555
-2.8420,	538
-0.4918,	551
-1.2403,	566
-1.5989,	556
-0.9319,	514
-1.9932,	444
2.4207,	397
-2.2061,	495
1.3459,	451
-3.3800,	529
-1.6780,	559
-1.0878,	524
-0.8406,	552
-0.0901,	566
-0.5864,	544
-0.7033,	509
-0.3048,	479
-0.9540,	544
0.3002,	483
-1.7230,	538
-0.3818,	537
1.6549,	426
1.2109,	460
-3.1483,	445
-1.4387,	465
-3.2183,	458
-1.1826,	553
-0.7558,	561
-0.9664,	566
-0.4435,	566
-2.3398,	571
-0.9227,	569
