
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-2,	-3.20,	-2.00,	0.00,	-5.16,	0.00,	25.51,	0.00,	0,	25.77,	3.69,	32
0.00,	-7,	-4.00,	-2.00,	-1.00,	0.23,	0.00,	26.74,	0.00,	0,	24.58,	3.75,	33
0.00,	-3,	-4.00,	-2.00,	-1.00,	-0.33,	0.00,	25.85,	0.00,	0,	24.04,	3.74,	32
0.00,	-5,	-4.40,	-2.00,	-1.00,	-3.98,	0.00,	23.98,	0.00,	0,	24.29,	3.36,	33
0.00,	-3,	-4.00,	-2.00,	-1.00,	1.04,	0.00,	27.01,	0.00,	0,	24.27,	3.91,	32
0.00,	-4,	-4.40,	-2.00,	-1.00,	-2.29,	0.00,	26.21,	0.00,	0,	24.75,	3.79,	32
0.00,	-3,	-3.60,	-2.00,	-1.00,	-1.11,	0.00,	23.14,	0.00,	0,	25.25,	3.25,	33
0.00,	-4,	-3.80,	-2.00,	-1.00,	0.50,	0.00,	28.00,	0.00,	0,	25.43,	3.93,	33
0.00,	-3,	-3.40,	-2.00,	-1.00,	-1.54,	0.00,	28.20,	0.00,	0,	25.39,	3.84,	34
0.00,	-4,	-3.60,	-1.00,	-1.00,	2.88,	0.00,	22.10,	0.00,	0,	25.16,	3.10,	33
0.00,	-4,	-3.60,	-2.00,	-1.00,	-3.57,	0.00,	28.34,	0.00,	0,	25.25,	3.98,	33
0.00,	-1,	-3.20,	-1.00,	-1.00,	-1.19,	0.00,	29.07,	0.00,	0,	25.64,	3.96,	34
0.00,	-3,	-3.00,	-1.00,	-1.00,	-0.45,	0.00,	24.71,	0.00,	0,	24.63,	3.36,	34
0.00,	-6,	-3.60,	-1.00,	-1.00,	1.05,	0.00,	28.33,	0.00,	0,	25.77,	3.86,	34
0.00,	-3,	-3.40,	-2.00,	0.00,	-3.10,	0.00,	23.31,	0.00,	0,	25.25,	3.17,	34
0.00,	-5,	-3.60,	-1.00,	-1.00,	-0.40,	0.00,	29.05,	0.00,	0,	25.91,	3.96,	34
0.00,	-2,	-3.80,	-1.00,	-1.00,	0.59,	0.00,	27.23,	0.00,	0,	24.15,	3.82,	33
0.00,	-9,	-5.00,	-2.00,	-2.00,	1.91,	0.00,	26.84,	0.00,	0,	24.88,	3.77,	33
0.00,	-5,	-4.80,	-2.00,	-2.00,	0.94,	0.00,	26.64,	0.00,	0,	25.25,	3.74,	33
0.00,	-4,	-5.00,	-1.00,	-2.00,	-0.07,	0.00,	25.01,	0.00,	0,	25.38,	3.51,	33
0.00,	-5,	-5.00,	-2.00,	-2.00,	-0.33,	0.00,	28.26,	0.00,	0,	26.18,	3.85,	34
