
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

26.7,	117,	32,	148,	231.234
26.7,	117,	32,	148,	231.234
26.4,	118,	32,	148,	231.239
26.3,	118,	32,	148,	231.244
25.2,	119,	32,	148,	231.249
23.8,	120,	32,	148,	231.254
22.2,	121,	32,	148,	231.259
1.2,	150,	65,	149,	231.443
1.2,	150,	65,	149,	231.443
-0.2,	150,	65,	149,	231.448
-0.3,	151,	65,	149,	231.453
-0.1,	152,	65,	149,	231.458
0.5,	153,	65,	149,	231.463
0.4,	154,	65,	149,	231.468
-39.4,	187,	103,	150,	231.682
-39.4,	187,	103,	150,	231.682
-40.5,	188,	103,	150,	231.687
-42.1,	189,	103,	150,	231.692
-42.8,	189,	103,	150,	231.697
-43.2,	190,	103,	150,	231.702
-43.1,	191,	103,	150,	231.707
-63.8,	225,	140,	151,	231.92
-63.8,	225,	140,	151,	231.92
-63.3,	226,	140,	151,	231.925
-63,	226,	140,	151,	231.93
-64.5,	227,	140,	151,	231.935
-64.7,	228,	140,	151,	231.94
-64.6,	229,	140,	151,	231.945
-38.5,	258,	170,	152,	232.129
-38.5,	258,	170,	152,	232.129
-38,	259,	170,	152,	232.134
-38.1,	260,	170,	152,	232.139
-38.2,	261,	170,	152,	232.144
-37.7,	261,	170,	152,	232.149
-36.6,	262,	170,	152,	232.154
-48.5,	292,	206,	153,	232.338
-48.5,	292,	206,	153,	232.338
-48.5,	293,	206,	153,	232.343
-48.2,	293,	206,	153,	232.348
-48.1,	294,	206,	153,	232.353
-48,	295,	206,	153,	232.358
-47.7,	296,	206,	153,	232.363
-28,	324,	244,	154,	232.546
-28,	324,	244,	154,	232.546
-27.5,	325,	244,	154,	232.551
-26.6,	326,	244,	154,	232.556
-24.8,	327,	244,	154,	232.561
-24,	327,	244,	154,	232.566
-23.6,	328,	244,	154,	232.571
15.7,	1,	276,	155,	232.785
15.7,	1,	276,	155,	232.785
15.9,	2,	276,	155,	232.79
16.6,	3,	276,	155,	232.795
16.9,	4,	276,	155,	232.8
17.1,	5,	276,	155,	232.805
17.5,	5,	276,	155,	232.809
40.3,	38,	310,	156,	233.023
40.3,	38,	310,	156,	233.023
40.8,	39,	310,	156,	233.028
40.6,	39,	310,	156,	233.033
41.4,	40,	310,	156,	233.038
41.7,	41,	310,	156,	233.043
42,	42,	310,	156,	233.048
46.2,	70,	337,	157,	233.232
46.2,	70,	337,	157,	233.232
46.7,	71,	337,	157,	233.237
47.3,	72,	337,	157,	233.242
47.5,	73,	337,	157,	233.247
47.3,	73,	337,	157,	233.252
47.6,	74,	337,	157,	233.257
32.1,	107,	14,	158,	233.47
32.1,	107,	14,	158,	233.47
31.4,	108,	14,	158,	233.475
30.1,	108,	14,	158,	233.48
30.3,	109,	14,	158,	233.485
30.1,	110,	14,	158,	233.49
30,	111,	14,	158,	233.495
3.4,	147,	52,	159,	233.739
3.4,	147,	52,	159,	233.739
3.5,	148,	52,	159,	233.744
3.8,	149,	52,	159,	233.749
3.9,	150,	52,	159,	233.754
4,	150,	52,	159,	233.759
4.5,	151,	52,	159,	233.764
-31.2,	178,	82,	160,	233.948
-31.2,	178,	82,	160,	233.948
-32,	179,	82,	160,	233.953
-33,	179,	82,	160,	233.957
-32.5,	180,	82,	160,	233.962
-33.5,	181,	82,	160,	233.967
-34.2,	182,	82,	160,	233.972
-61.4,	205,	111,	161,	234.126
-61.4,	205,	111,	161,	234.126
-62.2,	206,	111,	161,	234.131
-62.3,	207,	111,	161,	234.136
-62.5,	207,	111,	161,	234.141
-63.2,	208,	111,	161,	234.146
-63,	209,	111,	161,	234.151
-57.7,	237,	141,	162,	234.335
-57.7,	237,	141,	162,	234.335
-57.5,	238,	141,	162,	234.34
-56,	239,	141,	162,	234.345
-55.2,	240,	141,	162,	234.35
-53.7,	241,	141,	162,	234.355
-53.4,	241,	141,	162,	234.36
-38.9,	274,	180,	163,	234.574
-38.9,	274,	180,	163,	234.574
-38.2,	274,	180,	163,	234.579
-38,	275,	180,	163,	234.584
-38.7,	276,	180,	163,	234.589
-39.3,	277,	180,	163,	234.594
-39.2,	278,	180,	163,	234.599
-40.7,	316,	219,	164,	234.842
-40.7,	316,	219,	164,	234.842
-39.2,	316,	219,	164,	234.847
-37,	317,	219,	164,	234.852
-36.2,	318,	219,	164,	234.857
-36.1,	319,	219,	164,	234.862
-35.5,	319,	219,	164,	234.867
-0.6,	343,	249,	165,	235.021
-0.6,	343,	249,	165,	235.021
0.9,	344,	249,	165,	235.026
2.3,	345,	249,	165,	235.031
3.7,	346,	249,	165,	235.036
4.5,	346,	249,	165,	235.041
5.4,	347,	249,	165,	235.046
35.4,	16,	279,	166,	235.23
35.4,	16,	279,	166,	235.23
37.2,	16,	279,	166,	235.235
37.7,	16,	279,	166,	235.24
38.1,	17,	279,	166,	235.245
38.2,	18,	279,	166,	235.25
38.1,	19,	279,	166,	235.254
47.2,	48,	308,	167,	235.438
47.2,	48,	308,	167,	235.438
48.4,	48,	308,	167,	235.443
48.9,	49,	308,	167,	235.448
49.6,	50,	308,	167,	235.453
49,	51,	308,	167,	235.458
48.7,	51,	308,	167,	235.463
44.3,	84,	344,	168,	235.677
44.3,	84,	344,	168,	235.677
44.1,	85,	344,	168,	235.682
43.5,	86,	344,	168,	235.687
44,	86,	344,	168,	235.692
45.1,	87,	344,	168,	235.697
45,	88,	344,	168,	235.702
28.5,	125,	23,	169,	235.945
28.5,	125,	23,	169,	235.945
28.2,	126,	23,	169,	235.95
27.7,	126,	23,	169,	235.955
27.2,	127,	23,	169,	235.96
27.2,	128,	23,	169,	235.965
26.4,	129,	23,	169,	235.97
14.2,	153,	54,	170,	236.124
14.2,	153,	54,	170,	236.124
13.5,	153,	54,	170,	236.129
11.6,	154,	54,	170,	236.134
10,	155,	54,	170,	236.139
7.3,	156,	54,	170,	236.144
5.9,	156,	54,	170,	236.149
-31,	185,	85,	171,	236.333
-31,	185,	85,	171,	236.333
-33.1,	186,	85,	171,	236.338
-33.6,	186,	85,	171,	236.343
-33.7,	187,	85,	171,	236.348
-33.6,	188,	85,	171,	236.353
-33.8,	189,	85,	171,	236.358
-60.2,	218,	121,	172,	236.542
-60.2,	218,	121,	172,	236.542
-59.9,	219,	121,	172,	236.547
-59.7,	220,	121,	172,	236.552
-59.8,	220,	121,	172,	236.557
-59.8,	221,	121,	172,	236.562
-59.9,	222,	121,	172,	236.567
-52.4,	255,	158,	173,	236.78
-52.4,	255,	158,	173,	236.78
-51.6,	256,	158,	173,	236.785
-51.3,	256,	158,	173,	236.79
-50.9,	257,	158,	173,	236.795
-49.5,	258,	158,	173,	236.8
-48.8,	259,	158,	173,	236.805
-46,	297,	188,	174,	237.048
-46,	297,	188,	174,	237.048
-46,	298,	188,	174,	237.053
-46.5,	298,	188,	174,	237.058
-46.6,	299,	188,	174,	237.063
-46.8,	300,	188,	174,	237.068
-47.1,	301,	188,	174,	237.073
-33.5,	324,	218,	175,	237.227
-33.5,	324,	218,	175,	237.227
-33.5,	325,	218,	175,	237.232
-30.7,	326,	218,	175,	237.237
-27.4,	326,	218,	175,	237.242
-24.2,	327,	218,	175,	237.247
-21.2,	328,	218,	175,	237.252
10.9,	354,	255,	176,	237.436
10.9,	354,	255,	176,	237.436
12.4,	355,	255,	176,	237.441
13.4,	355,	255,	176,	237.446
14.5,	356,	255,	176,	237.451
14.5,	357,	255,	176,	237.456
14.7,	358,	255,	176,	237.461
41.5,	28,	291,	177,	237.674
41.5,	28,	291,	177,	237.674
41.4,	29,	291,	177,	237.679
40.9,	30,	291,	177,	237.684
40.8,	31,	291,	177,	237.689
40.6,	31,	291,	177,	237.694
40.3,	32,	291,	177,	237.699
47.9,	69,	326,	178,	237.943
47.9,	69,	326,	178,	237.943
47.1,	69,	326,	178,	237.948
47,	70,	326,	178,	237.953
47,	71,	326,	178,	237.958
47.6,	72,	326,	178,	237.963
47.7,	73,	326,	178,	237.968
44.1,	97,	354,	179,	238.121
44.1,	97,	354,	179,	238.121
45,	97,	354,	179,	238.126
45.6,	98,	354,	179,	238.131
