
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	-4.40,	-2.00,	0.00,	-2.46,	0.00,	22.51,	0.00,	0,	25.64,	3.16,	33
0.00,	-3,	-3.80,	-2.00,	0.00,	-2.35,	0.00,	28.18,	0.00,	0,	24.04,	3.95,	33
0.00,	-4,	-3.80,	-2.00,	0.00,	-3.27,	0.00,	27.90,	0.00,	0,	23.92,	3.91,	33
0.00,	-4,	-3.60,	-2.00,	0.00,	-2.39,	0.00,	18.33,	0.00,	0,	25.77,	2.57,	33
0.00,	-1,	-3.00,	-2.00,	0.00,	-2.80,	0.00,	25.16,	0.00,	0,	24.15,	3.64,	32
0.00,	-2,	-2.80,	-2.00,	0.00,	-3.44,	0.00,	27.66,	0.00,	0,	26.46,	3.77,	34
0.00,	-4,	-3.00,	-2.00,	0.00,	-0.14,	0.00,	27.70,	0.00,	0,	24.17,	3.77,	34
0.00,	-5,	-3.20,	-2.00,	-1.00,	-0.39,	0.00,	26.86,	0.00,	0,	23.82,	3.77,	33
0.00,	-4,	-3.20,	-2.00,	0.00,	-2.10,	0.00,	24.34,	0.00,	0,	25.25,	3.31,	34
0.00,	-2,	-3.40,	-2.00,	0.00,	-3.68,	0.00,	26.83,	0.00,	0,	24.88,	3.76,	33
0.00,	-1,	-3.20,	-2.00,	0.00,	-2.40,	0.00,	27.97,	0.00,	0,	26.60,	3.81,	34
0.00,	-4,	-3.20,	-2.00,	0.00,	1.19,	0.00,	17.48,	0.00,	0,	25.91,	2.45,	33
0.00,	-5,	-3.20,	-2.00,	0.00,	-2.92,	0.00,	27.40,	0.00,	0,	25.77,	3.84,	33
0.00,	-2,	-2.80,	-2.00,	0.00,	-2.12,	0.00,	21.97,	0.00,	0,	25.51,	3.08,	33
0.00,	-3,	-3.00,	-2.00,	0.00,	-1.10,	0.00,	22.75,	0.00,	0,	24.63,	3.19,	33
0.00,	-3,	-3.40,	-2.00,	-1.00,	-1.47,	0.00,	30.36,	0.00,	0,	25.91,	4.02,	35
0.00,	-3,	-3.20,	-2.00,	0.00,	0.00,	0.00,	28.02,	0.00,	0,	25.29,	3.82,	34
0.00,	-2,	-2.60,	-2.00,	0.00,	-3.40,	0.00,	23.41,	0.00,	0,	25.51,	3.10,	35
0.00,	-2,	-2.60,	-1.00,	0.00,	-1.17,	0.00,	27.60,	0.00,	0,	24.33,	3.76,	34
0.00,	-2,	-2.40,	-1.00,	0.00,	-2.63,	0.00,	28.49,	0.00,	0,	25.51,	3.77,	35
0.00,	-5,	-2.80,	-1.00,	0.00,	0.53,	0.00,	27.32,	0.00,	0,	24.75,	3.72,	34
0.00,	-3,	-2.80,	-1.00,	0.00,	-0.24,	0.00,	28.35,	0.00,	0,	26.32,	3.75,	35
0.00,	-4,	-3.20,	-1.00,	-1.00,	-0.70,	0.00,	22.60,	0.00,	0,	25.25,	3.08,	34
0.00,	-5,	-3.80,	-1.00,	-1.00,	0.83,	0.00,	28.05,	0.00,	0,	25.25,	3.82,	34
0.00,	-4,	-4.20,	-2.00,	-2.00,	-1.85,	0.00,	29.48,	0.00,	0,	24.51,	3.90,	35
0.00,	-2,	-3.60,	-2.00,	-1.00,	-2.24,	0.00,	18.68,	0.00,	0,	24.51,	2.54,	34
0.00,	-2,	-3.40,	-2.00,	-1.00,	-3.41,	0.00,	29.98,	0.00,	0,	24.75,	3.97,	35
0.00,	-4,	-3.40,	-2.00,	-1.00,	-0.34,	0.00,	26.02,	0.00,	0,	26.60,	3.65,	33
0.00,	0,	-2.40,	-1.00,	0.00,	-0.85,	0.00,	23.74,	0.00,	0,	25.15,	3.14,	35
0.00,	-3,	-2.20,	-1.00,	0.00,	-1.92,	0.00,	26.79,	0.00,	0,	25.00,	3.76,	33
0.00,	-1,	-2.00,	-1.00,	0.00,	-2.02,	0.00,	28.08,	0.00,	0,	24.04,	3.82,	34
0.00,	-3,	-2.20,	-1.00,	0.00,	-0.52,	0.00,	26.27,	0.00,	0,	26.18,	3.69,	33
0.00,	-1,	-1.60,	-1.00,	0.00,	-3.28,	0.00,	28.99,	0.00,	0,	24.75,	3.95,	34
0.00,	-2,	-2.00,	-1.00,	0.00,	-2.10,	0.00,	23.78,	0.00,	0,	24.84,	3.24,	34
0.00,	-5,	-2.40,	-2.00,	0.00,	-1.21,	0.00,	27.88,	0.00,	0,	25.11,	3.91,	33
0.00,	-1,	-2.40,	-2.00,	0.00,	-3.33,	0.00,	27.10,	0.00,	0,	23.37,	3.80,	33
0.00,	-3,	-2.40,	-2.00,	0.00,	-2.57,	0.00,	17.02,	0.00,	0,	25.37,	2.39,	33
0.00,	-4,	-3.00,	-2.00,	0.00,	-0.71,	0.00,	28.02,	0.00,	0,	25.75,	3.82,	34
0.00,	-5,	-3.60,	-2.00,	-1.00,	1.39,	0.00,	26.36,	0.00,	0,	25.87,	3.70,	33
0.00,	-3,	-3.20,	-2.00,	0.00,	-3.45,	0.00,	18.40,	0.00,	0,	24.27,	2.58,	33
0.00,	-1,	-3.20,	-2.00,	0.00,	-5.45,	0.00,	27.31,	0.00,	0,	25.91,	3.83,	33
0.00,	-4,	-3.40,	-2.00,	-1.00,	-0.25,	0.00,	23.24,	0.00,	0,	26.04,	3.16,	34
0.00,	-3,	-3.20,	-2.00,	0.00,	-3.39,	0.00,	19.49,	0.00,	0,	24.15,	2.65,	34
0.00,	-3,	-2.80,	-2.00,	0.00,	-1.27,	0.00,	27.92,	0.00,	0,	26.04,	3.80,	34
0.00,	-4,	-3.00,	-2.00,	0.00,	-2.19,	0.00,	27.53,	0.00,	0,	25.00,	3.75,	34
0.00,	-3,	-3.40,	-2.00,	0.00,	-2.32,	0.00,	22.50,	0.00,	0,	23.59,	3.16,	33
0.00,	-4,	-3.40,	-2.00,	0.00,	-1.88,	0.00,	28.23,	0.00,	0,	26.32,	3.84,	34
0.00,	-1,	-3.00,	-2.00,	0.00,	-2.29,	0.00,	26.48,	0.00,	0,	26.36,	3.61,	34
0.00,	-6,	-3.60,	-2.00,	-1.00,	0.76,	0.00,	31.77,	0.00,	0,	24.99,	4.33,	34
0.00,	-3,	-3.40,	-2.00,	0.00,	-2.69,	0.00,	28.10,	0.00,	0,	24.39,	3.83,	34
0.00,	-4,	-3.60,	-2.00,	-1.00,	-0.38,	0.00,	27.07,	0.00,	0,	24.88,	3.80,	33
0.00,	-4,	-3.60,	-2.00,	-1.00,	-1.59,	0.00,	21.20,	0.00,	0,	24.39,	2.97,	33
0.00,	-4,	-4.20,	-2.00,	-1.00,	0.31,	0.00,	27.30,	0.00,	0,	24.88,	3.83,	33
