
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-2,	-2.00,	-2.00,	0.00,	-2.98,	0.00,	21.80,	0.00,	0,	24.27,	3.06,	33
0.00,	0,	-1.80,	-2.00,	0.00,	-4.45,	0.00,	25.96,	0.00,	0,	27.03,	3.64,	33
0.00,	-4,	-2.20,	-1.00,	0.00,	-0.33,	0.00,	26.76,	0.00,	0,	25.64,	3.75,	33
0.00,	-2,	-2.20,	-1.00,	0.00,	-2.92,	0.00,	16.78,	0.00,	0,	24.63,	2.43,	32
0.00,	0,	-1.60,	-1.00,	0.00,	-4.04,	0.00,	27.00,	0.00,	0,	23.92,	3.79,	33
0.00,	-3,	-1.80,	-1.00,	0.00,	-1.13,	0.00,	26.47,	0.00,	0,	26.74,	3.71,	33
0.00,	-4,	-2.60,	-1.00,	0.00,	0.69,	0.00,	27.57,	0.00,	0,	24.51,	3.75,	34
0.00,	-2,	-2.20,	-1.00,	0.00,	-2.16,	0.00,	26.99,	0.00,	0,	25.25,	3.79,	33
0.00,	-6,	-3.00,	-1.00,	0.00,	0.41,	0.00,	27.35,	0.00,	0,	24.15,	3.72,	34
0.00,	-2,	-3.40,	-1.00,	-1.00,	-0.93,	0.00,	29.07,	0.00,	0,	25.38,	3.96,	34
0.00,	-5,	-3.80,	-1.00,	-1.00,	-1.96,	0.00,	28.33,	0.00,	0,	25.91,	3.75,	35
0.00,	0,	-3.00,	-1.00,	0.00,	-2.59,	0.00,	13.22,	0.00,	0,	24.63,	1.85,	33
0.00,	2,	-2.20,	-1.00,	0.00,	2.68,	0.00,	25.79,	0.00,	0,	25.55,	3.62,	33
0.00,	8,	0.60,	0.00,	0.00,	6.38,	0.00,	22.03,	0.00,	0,	23.92,	3.09,	33
0.00,	0,	1.00,	0.00,	0.00,	-4.79,	0.00,	27.03,	0.00,	0,	26.32,	3.79,	33
0.00,	-5,	1.00,	0.00,	0.00,	1.28,	0.00,	25.31,	0.00,	0,	24.51,	3.66,	32
0.00,	-1,	0.80,	0.00,	0.00,	-1.23,	0.00,	28.54,	0.00,	0,	24.39,	4.00,	33
0.00,	-4,	-0.40,	0.00,	0.00,	-1.47,	0.00,	25.93,	0.00,	0,	25.25,	3.75,	32
0.00,	-2,	-2.40,	-2.00,	0.00,	-1.42,	0.00,	22.84,	0.00,	0,	24.15,	3.20,	33
0.00,	-6,	-3.60,	-2.00,	-1.00,	-1.34,	0.00,	28.66,	0.00,	0,	26.04,	3.90,	34
0.00,	-2,	-3.00,	-2.00,	0.00,	-0.29,	0.00,	27.98,	0.00,	0,	24.27,	3.93,	33
0.00,	-3,	-3.40,	-2.00,	0.00,	-4.73,	0.00,	18.02,	0.00,	0,	25.91,	2.53,	33
0.00,	-5,	-3.60,	-2.00,	-1.00,	0.22,	0.00,	27.57,	0.00,	0,	23.80,	3.87,	33
0.00,	-2,	-3.60,	-2.00,	-1.00,	-0.56,	0.00,	28.82,	0.00,	0,	25.38,	3.92,	34
0.00,	-4,	-3.20,	-1.00,	-1.00,	0.40,	0.00,	22.54,	0.00,	0,	24.39,	3.16,	33
0.00,	-2,	-3.20,	-2.00,	0.00,	-1.61,	0.00,	27.76,	0.00,	0,	24.29,	3.89,	33
0.00,	-5,	-3.60,	-1.00,	-1.00,	0.36,	0.00,	26.29,	0.00,	0,	23.59,	3.69,	33
0.00,	-2,	-3.00,	-2.00,	-1.00,	-3.91,	0.00,	24.04,	0.00,	0,	25.00,	3.27,	34
0.00,	-4,	-3.40,	-2.00,	-1.00,	-0.95,	0.00,	28.76,	0.00,	0,	24.51,	3.92,	34
0.00,	-7,	-4.00,	-2.00,	-1.00,	-1.62,	0.00,	26.77,	0.00,	0,	24.33,	3.76,	33
0.00,	-1,	-3.80,	-2.00,	-1.00,	-1.91,	0.00,	27.94,	0.00,	0,	25.00,	3.92,	33
0.00,	-4,	-3.60,	-2.00,	-1.00,	-0.58,	0.00,	26.89,	0.00,	0,	25.13,	3.77,	33
0.00,	-7,	-4.60,	-2.00,	-1.00,	0.36,	0.00,	23.29,	0.00,	0,	24.32,	3.27,	33
0.00,	-5,	-4.80,	-2.00,	-1.00,	-0.52,	0.00,	26.11,	0.00,	0,	24.39,	3.78,	32
0.00,	-3,	-4.00,	-2.00,	-1.00,	-1.62,	0.00,	27.81,	0.00,	0,	24.22,	3.90,	33
0.00,	-6,	-5.00,	-2.00,	-1.00,	-0.31,	0.00,	15.40,	0.00,	0,	25.13,	2.23,	32
0.00,	-5,	-5.20,	-2.00,	-2.00,	-0.68,	0.00,	27.26,	0.00,	0,	23.25,	3.94,	32
0.00,	-4,	-4.60,	-2.00,	-1.00,	-0.16,	0.00,	28.48,	0.00,	0,	24.75,	3.88,	34
0.00,	-7,	-5.00,	-2.00,	-2.00,	-0.19,	0.00,	23.78,	0.00,	0,	25.77,	3.24,	34
0.00,	-5,	-5.40,	-2.00,	-2.00,	-0.49,	0.00,	26.69,	0.00,	0,	24.39,	3.74,	33
0.00,	-5,	-5.20,	-2.00,	-2.00,	-0.03,	0.00,	21.74,	0.00,	0,	25.64,	3.05,	33
0.00,	-3,	-4.80,	-2.00,	-1.00,	-3.25,	0.00,	28.67,	0.00,	0,	25.25,	3.90,	34
0.00,	-1,	-4.20,	-2.00,	-1.00,	-1.30,	0.00,	24.45,	0.00,	0,	24.27,	3.54,	32
0.00,	-7,	-4.20,	-2.00,	-1.00,	1.62,	0.00,	18.18,	0.00,	0,	24.27,	2.55,	33
0.00,	-4,	-4.00,	-2.00,	-1.00,	-1.68,	0.00,	25.73,	0.00,	0,	24.63,	3.72,	32
0.00,	-4,	-3.80,	-2.00,	-1.00,	0.20,	0.00,	28.17,	0.00,	0,	24.50,	3.95,	33
0.00,	-4,	-4.00,	-2.00,	-1.00,	-1.61,	0.00,	22.64,	0.00,	0,	25.91,	3.18,	33
0.00,	-3,	-4.40,	-2.00,	-1.00,	-0.36,	0.00,	26.38,	0.00,	0,	23.36,	3.82,	32
0.00,	-3,	-3.60,	-2.00,	-1.00,	-4.27,	0.00,	22.21,	0.00,	0,	24.98,	3.12,	33
0.00,	-2,	-3.20,	-2.00,	0.00,	-3.14,	0.00,	28.33,	0.00,	0,	24.75,	3.97,	33
0.00,	-4,	-3.20,	-2.00,	0.00,	-3.35,	0.00,	27.96,	0.00,	0,	25.38,	3.92,	33
0.00,	0,	-2.40,	-2.00,	0.00,	-1.60,	0.00,	18.93,	0.00,	0,	24.88,	2.66,	33
0.00,	-4,	-2.60,	-2.00,	0.00,	-0.20,	0.00,	28.27,	0.00,	0,	25.51,	3.85,	34
0.00,	-5,	-3.00,	-2.00,	0.00,	-2.19,	0.00,	26.84,	0.00,	0,	24.06,	3.77,	33
0.00,	-4,	-3.40,	-2.00,	0.00,	-1.75,	0.00,	28.49,	0.00,	0,	25.02,	3.88,	34
0.00,	-2,	-3.00,	-2.00,	0.00,	-3.36,	0.00,	27.74,	0.00,	0,	24.16,	3.89,	33
0.00,	-2,	-3.40,	-2.00,	0.00,	-2.03,	0.00,	28.80,	0.00,	0,	24.63,	3.92,	34
0.00,	-5,	-3.60,	-2.00,	0.00,	-3.63,	0.00,	28.03,	0.00,	0,	25.64,	3.93,	33
0.00,	-1,	-2.80,	-2.00,	0.00,	-2.62,	0.00,	29.10,	0.00,	0,	25.25,	3.96,	34
0.00,	-4,	-2.80,	-2.00,	0.00,	-1.31,	0.00,	18.82,	0.00,	0,	26.32,	2.56,	34
0.00,	-3,	-3.00,	-2.00,	0.00,	-3.33,	0.00,	27.13,	0.00,	0,	24.04,	3.81,	33
0.00,	-5,	-3.60,	-2.00,	0.00,	0.06,	0.00,	28.48,	0.00,	0,	25.25,	3.88,	34
0.00,	-3,	-3.20,	-2.00,	0.00,	-3.35,	0.00,	28.64,	0.00,	0,	24.75,	3.90,	34
0.00,	-3,	-3.60,	-2.00,	0.00,	-3.47,	0.00,	29.13,	0.00,	0,	25.13,	3.97,	34
0.00,	-2,	-3.20,	-2.00,	0.00,	-3.74,	0.00,	14.78,	0.00,	0,	24.39,	2.01,	34
0.00,	-3,	-3.20,	-2.00,	0.00,	-0.86,	0.00,	28.83,	0.00,	0,	24.88,	3.93,	34
0.00,	-7,	-3.60,	-3.00,	0.00,	-1.25,	0.00,	26.64,	0.00,	0,	24.66,	3.74,	33
0.00,	-6,	-4.20,	-3.00,	-1.00,	-0.45,	0.00,	31.07,	0.00,	0,	25.64,	4.11,	35
0.00,	-4,	-4.40,	-2.00,	-1.00,	-1.55,	0.00,	28.05,	0.00,	0,	25.13,	3.82,	34
