
Right power from force,Vector size

0.4046,	561
2.0135,	446
-1.8509,	530
0.1014,	503
2.3030,	406
-1.2623,	446
-2.5938,	416
-0.2486,	370
-3.4016,	493
-0.9850,	533
-1.8378,	444
1.2396,	409
0.0295,	543
2.3897,	290
283.5000,	2
-15.0602,	133
2.5455,	55
-0.7918,	485
1.1613,	62
2.0022,	458
-3.4267,	450
0.0293,	375
-1.5276,	381
-0.7872,	517
-2.5687,	531
-1.0969,	485
0.7545,	505
-2.8358,	530
-0.9757,	494
-2.4908,	491
-0.6433,	513
-3.0595,	504
0.8789,	454
-1.8166,	507
-3.0586,	529
0.0419,	477
-1.9760,	417
-3.6797,	487
-2.2600,	450
-1.0784,	510
-2.9698,	563
-2.3071,	560
-2.1075,	586
-3.4286,	553
-2.7289,	546
-2.9382,	550
0.1143,	551
-0.1295,	471
-4.3550,	524
-1.5906,	574
-2.4938,	569
-1.2951,	576
-1.7723,	549
0.4342,	403
0.4015,	391
-0.7587,	431
0.4434,	442
-2.1516,	521
-1.6142,	534
-1.5946,	523
0.6402,	492
-0.4586,	543
-1.0123,	486
0.3243,	552
-1.3960,	553
-0.0613,	538
-2.5862,	522
-0.1639,	549
0.1743,	545
0.4065,	433
-1.4554,	437
-3.0087,	462
-2.8799,	508
-1.3757,	511
